timestamp,strategy,deployment,current_replicas,current_load_rps,avg_response_time_ms,evaluation_type
5,LowPowerLongTimeBinPacker,resnet50-inference,1,15.0,1302.6423435124045,scaling_check
5,LowPowerLongTimeBinPacker,speech-inference,1,3.0,0.0,scaling_check
5,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,2.8,0.0,scaling_check
5,LowPowerLongTimeBinPacker,resnet50-training,1,6.2,0.0,scaling_check
5,LowPowerLongTimeBinPacker,python-pi,1,15.4,2008.5243067018378,scaling_check
5,LowPowerLongTimeBinPacker,fio,1,13.0,0.0,scaling_check
10,LowPowerLongTimeBinPacker,resnet50-inference,2,17.8,1302.6423435124045,scaling_check
10,LowPowerLongTimeBinPacker,speech-inference,2,5.6,0.0,scaling_check
10,LowPowerLongTimeBinPacker,resnet50-preprocessing,2,6.4,0.0,scaling_check
10,LowPowerLongTimeBinPacker,resnet50-training,2,13.2,0.0,scaling_check
10,LowPowerLongTimeBinPacker,python-pi,2,29.2,2008.5243067018378,scaling_check
10,LowPowerLongTimeBinPacker,fio,2,30.4,0.0,scaling_check
15,LowPowerLongTimeBinPacker,resnet50-inference,3,24.0,0.0,scaling_check
15,LowPowerLongTimeBinPacker,speech-inference,3,3.8,0.0,scaling_check
15,LowPowerLongTimeBinPacker,resnet50-preprocessing,3,5.8,0.0,scaling_check
15,LowPowerLongTimeBinPacker,resnet50-training,3,16.4,0.0,scaling_check
15,LowPowerLongTimeBinPacker,python-pi,3,23.4,0.0,scaling_check
15,LowPowerLongTimeBinPacker,fio,3,31.4,0.0,scaling_check
20,LowPowerLongTimeBinPacker,resnet50-inference,4,23.8,0.0,scaling_check
20,LowPowerLongTimeBinPacker,speech-inference,4,8.0,0.0,scaling_check
20,LowPowerLongTimeBinPacker,resnet50-preprocessing,4,4.2,0.0,scaling_check
20,LowPowerLongTimeBinPacker,resnet50-training,4,13.6,0.0,scaling_check
20,LowPowerLongTimeBinPacker,python-pi,4,30.4,0.0,scaling_check
20,LowPowerLongTimeBinPacker,fio,4,31.8,0.0,scaling_check
25,LowPowerLongTimeBinPacker,resnet50-inference,5,24.6,0.0,scaling_check
25,LowPowerLongTimeBinPacker,speech-inference,5,2.8,0.0,scaling_check
25,LowPowerLongTimeBinPacker,resnet50-preprocessing,5,4.8,0.0,scaling_check
25,LowPowerLongTimeBinPacker,resnet50-training,5,14.6,0.0,scaling_check
25,LowPowerLongTimeBinPacker,python-pi,5,25.2,0.0,scaling_check
25,LowPowerLongTimeBinPacker,fio,5,29.8,0.0,scaling_check
30,LowPowerLongTimeBinPacker,resnet50-inference,6,20.6,0.0,scaling_check
30,LowPowerLongTimeBinPacker,speech-inference,6,6.2,0.0,scaling_check
30,LowPowerLongTimeBinPacker,resnet50-preprocessing,6,6.0,0.0,scaling_check
30,LowPowerLongTimeBinPacker,resnet50-training,6,14.2,0.0,scaling_check
30,LowPowerLongTimeBinPacker,python-pi,6,31.8,0.0,scaling_check
30,LowPowerLongTimeBinPacker,fio,6,29.0,0.0,scaling_check
35,LowPowerLongTimeBinPacker,resnet50-inference,7,22.2,0.0,scaling_check
35,LowPowerLongTimeBinPacker,speech-inference,7,3.8,0.0,scaling_check
35,LowPowerLongTimeBinPacker,resnet50-preprocessing,7,3.6,0.0,scaling_check
35,LowPowerLongTimeBinPacker,resnet50-training,7,15.2,0.0,scaling_check
35,LowPowerLongTimeBinPacker,python-pi,7,32.6,0.0,scaling_check
35,LowPowerLongTimeBinPacker,fio,7,30.2,0.0,scaling_check
40,LowPowerLongTimeBinPacker,resnet50-inference,8,26.2,5208.404505954348,scaling_check
40,LowPowerLongTimeBinPacker,speech-inference,8,5.4,9681.460871409865,scaling_check
