value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140196767988464,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140196767989328,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140196767988464,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140196767988464,nano_2,True
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140196768238608,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140196768239568,,
queue,python-pi,faas-workloads/python-pi,140196768240528,,
queue,fio,faas-workloads/fio,140196768241488,,
start,speech-inference,faas-workloads/speech-inference-tflite,140196767989328,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140196767989328,rockpi_25,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140196768238608,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140196768238608,rockpi_25,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140196768239568,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140196768239568,nano_7,True
start,python-pi,faas-workloads/python-pi,140196768240528,,
finish,python-pi,faas-workloads/python-pi,140196768240528,rpi3_18,True
start,fio,faas-workloads/fio,140196768241488,,
finish,fio,faas-workloads/fio,140196768241488,rpi3_19,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140196766098064,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140196766385872,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140196766098064,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140196766098064,nx_9,True
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140196766386016,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140196766387936,,
queue,python-pi,faas-workloads/python-pi,140196766388080,,
queue,fio,faas-workloads/fio,140196766389040,,
start,speech-inference,faas-workloads/speech-inference-tflite,140196766385872,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140196766385872,rpi3_20,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140196766386016,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140196766386016,rpi3_24,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140196766387936,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140196766387936,nano_18,True
start,python-pi,faas-workloads/python-pi,140196766388080,,
finish,python-pi,faas-workloads/python-pi,140196766388080,rpi3_25,True
start,fio,faas-workloads/fio,140196766389040,,
finish,fio,faas-workloads/fio,140196766389040,rpi3_19,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140196763705808,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140196763895888,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140196763705808,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140196763705808,nx_2,True
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140196763896752,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140196763897664,,
queue,python-pi,faas-workloads/python-pi,140196763897808,,
queue,fio,faas-workloads/fio,140196763898768,,
start,speech-inference,faas-workloads/speech-inference-tflite,140196763895888,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140196763895888,rpi3_26,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140196763896752,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140196763896752,rockpi_2,True
