deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,40,617.9581351138885,604.7284554496833,13.229679664205188,2.1408698927099623,4,79
resnet50-inference,40,617.9581351138885,604.7284554496833,13.229679664205188,2.1408698927099623,4,79
resnet50-inference-downtown,40,391.70662121789394,391.70662121789394,0.0,0.0,0,26
resnet50-inference-downtown,40,391.70662121789394,391.70662121789394,0.0,0.0,0,26
resnet50-inference-suburb,40,749.2904924036172,697.0332577300067,52.257234673610505,6.974228981069376,4,20
resnet50-inference-suburb,40,749.2904924036172,697.0332577300067,52.257234673610505,6.974228981069376,4,20
resnet50-inference-industrial,40,712.7276735206182,712.7276735206182,0.0,0.0,0,17
resnet50-inference-industrial,40,712.7276735206182,712.7276735206182,0.0,0.0,0,17
speech-inference,40,3829.585946509374,3829.585946509374,0.0,0.0,0,15
speech-inference,40,3829.585946509374,3829.585946509374,0.0,0.0,0,15
speech-inference-downtown,40,3831.673023266769,3831.673023266769,0.0,0.0,0,4
speech-inference-downtown,40,3831.673023266769,3831.673023266769,0.0,0.0,0,4
speech-inference-suburb,40,3851.1984418047664,3851.1984418047664,0.0,0.0,0,5
speech-inference-suburb,40,3851.1984418047664,3851.1984418047664,0.0,0.0,0,5
resnet50-preprocessing,40,6908.189122162224,6908.189122162224,0.0,0.0,0,2
resnet50-preprocessing,40,6908.189122162224,6908.189122162224,0.0,0.0,0,2
resnet50-preprocessing-downtown,40,6025.878979900732,6025.878979900732,0.0,0.0,0,1
resnet50-preprocessing-downtown,40,6025.878979900732,6025.878979900732,0.0,0.0,0,1
python-pi,40,1240.5261094772518,1240.5261094772518,0.0,0.0,0,88
python-pi,40,1240.5261094772518,1240.5261094772518,0.0,0.0,0,88
python-pi-downtown,40,1180.8086322998372,1180.8086322998372,0.0,0.0,0,31
python-pi-downtown,40,1180.8086322998372,1180.8086322998372,0.0,0.0,0,31
python-pi-suburb,40,1291.2324682539117,1291.2324682539117,0.0,0.0,0,34
python-pi-suburb,40,1291.2324682539117,1291.2324682539117,0.0,0.0,0,34
resnet50-inference,45,611.20281050329,611.20281050329,0.0,0.0,0,36
resnet50-inference,45,611.20281050329,611.20281050329,0.0,0.0,0,36
resnet50-inference-downtown,45,392.6605344064042,392.6605344064042,0.0,0.0,0,11
resnet50-inference-downtown,45,392.6605344064042,392.6605344064042,0.0,0.0,0,11
resnet50-inference-suburb,45,707.1673388075752,707.1673388075752,0.0,0.0,0,10
resnet50-inference-suburb,45,707.1673388075752,707.1673388075752,0.0,0.0,0,10
resnet50-inference-industrial,45,699.2679313134817,699.2679313134817,0.0,0.0,0,7
resnet50-inference-industrial,45,699.2679313134817,699.2679313134817,0.0,0.0,0,7
speech-inference,45,3761.9016290511986,3761.9016290511986,0.0,0.0,0,2
speech-inference,45,3761.9016290511986,3761.9016290511986,0.0,0.0,0,2
speech-inference-suburb,45,3750.195126612276,3750.195126612276,0.0,0.0,0,1
speech-inference-suburb,45,3750.195126612276,3750.195126612276,0.0,0.0,0,1
python-pi,45,1144.6857185569224,1144.6857185569224,0.0,0.0,0,38
python-pi,45,1144.6857185569224,1144.6857185569224,0.0,0.0,0,38
python-pi-downtown,45,1128.4287235220968,1128.4287235220968,0.0,0.0,0,18
python-pi-downtown,45,1128.4287235220968,1128.4287235220968,0.0,0.0,0,18
python-pi-suburb,45,1177.8561977787626,1177.8561977787626,0.0,0.0,0,16
python-pi-suburb,45,1177.8561977787626,1177.8561977787626,0.0,0.0,0,16
resnet50-inference,75,668.2797983097481,668.2797983097481,0.0,0.0,0,78
resnet50-inference,75,668.2797983097481,668.2797983097481,0.0,0.0,0,78
resnet50-inference-downtown,75,551.5860629784098,551.5860629784098,0.0,0.0,0,22
resnet50-inference-downtown,75,551.5860629784098,551.5860629784098,0.0,0.0,0,22
resnet50-inference-suburb,75,712.4027089912986,712.4027089912986,0.0,0.0,0,18
resnet50-inference-suburb,75,712.4027089912986,712.4027089912986,0.0,0.0,0,18
resnet50-inference-industrial,75,730.8086355199408,730.8086355199408,0.0,0.0,0,12
resnet50-inference-industrial,75,730.8086355199408,730.8086355199408,0.0,0.0,0,12
speech-inference,75,3786.603024789593,3786.603024789593,0.0,0.0,0,16
speech-inference,75,3786.603024789593,3786.603024789593,0.0,0.0,0,16
speech-inference-downtown,75,3792.602032459056,3792.602032459056,0.0,0.0,0,6
speech-inference-downtown,75,3792.602032459056,3792.602032459056,0.0,0.0,0,6
speech-inference-suburb,75,3748.0075232177055,3748.0075232177055,0.0,0.0,0,5
speech-inference-suburb,75,3748.0075232177055,3748.0075232177055,0.0,0.0,0,5
resnet50-preprocessing,75,7370.778545740838,7370.778545740838,0.0,0.0,0,7
resnet50-preprocessing,75,7370.778545740838,7370.778545740838,0.0,0.0,0,7
resnet50-preprocessing-downtown,75,7278.473515777017,7278.473515777017,0.0,0.0,0,5
resnet50-preprocessing-downtown,75,7278.473515777017,7278.473515777017,0.0,0.0,0,5
python-pi,75,1133.1797092791433,1133.1797092791433,0.0,0.0,0,73
python-pi,75,1133.1797092791433,1133.1797092791433,0.0,0.0,0,73
python-pi-downtown,75,1052.429150904691,1052.429150904691,0.0,0.0,0,24
python-pi-downtown,75,1052.429150904691,1052.429150904691,0.0,0.0,0,24
python-pi-suburb,75,1202.79329974324,1202.79329974324,0.0,0.0,0,26
python-pi-suburb,75,1202.79329974324,1202.79329974324,0.0,0.0,0,26
resnet50-inference,80,652.4997761590051,652.4997761590051,0.0,0.0,0,35
resnet50-inference,80,652.4997761590051,652.4997761590051,0.0,0.0,0,35
