value,name,type,data_type
48000000,link_rpi3_81,node,data_download
48000000,shared_25,shared,data_download
48000000,up_shared_25,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_1,node,data_download
48000000,link_rpi3_81,node,data_download
48000000,shared_25,shared,data_download
48000000,up_shared_25,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_97,node,data_download
48000000,link_rpi3_81,node,data_download
48000000,shared_25,shared,data_download
48000000,up_shared_25,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_1,node,data_download
103000000,link_rpi3_81,node,data_download
103000000,shared_25,shared,data_download
103000000,up_shared_25,uplink,data_download
103000000,down_shared_0,downlink,data_download
103000000,shared_0,shared,data_download
103000000,link_nano_47,node,data_download
103000000,link_rpi3_81,node,data_download
103000000,shared_25,shared,data_download
103000000,up_shared_25,uplink,data_download
103000000,down_shared_2,downlink,data_download
103000000,shared_2,shared,data_download
103000000,link_nano_56,node,data_download
103000000,link_rpi3_81,node,data_download
103000000,shared_25,shared,data_download
103000000,up_shared_25,uplink,data_download
103000000,down_shared_2,downlink,data_download
103000000,shared_2,shared,data_download
103000000,link_nx_46,node,data_download
103000000,link_rpi3_81,node,data_download
103000000,shared_25,shared,data_download
103000000,up_shared_25,uplink,data_download
103000000,down_shared_2,downlink,data_download
103000000,shared_2,shared,data_download
103000000,link_nano_58,node,data_download
48000000,link_rpi3_81,node,data_download
48000000,shared_25,shared,data_download
48000000,up_shared_25,uplink,data_download
48000000,down_shared_1,downlink,data_download
48000000,shared_1,shared,data_download
48000000,link_rockpi_62,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nano_0,node,data_download
48000000,link_rpi3_81,node,data_download
48000000,shared_25,shared,data_download
48000000,up_shared_25,uplink,data_download
48000000,down_shared_1,downlink,data_download
48000000,shared_1,shared,data_download
48000000,link_rockpi_62,node,data_download
48000000,link_rpi3_81,node,data_download
48000000,shared_25,shared,data_download
48000000,up_shared_25,uplink,data_download
48000000,down_shared_2,downlink,data_download
48000000,shared_2,shared,data_download
48000000,link_rockpi_28,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nx_0,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nano_0,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nx_0,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nano_0,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nano_0,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nx_52,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nx_1,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_5,downlink,data_download
58000000,shared_5,shared,data_download
58000000,link_nano_20,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_5,downlink,data_download
58000000,shared_5,shared,data_download
58000000,link_nx_3,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nx_52,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_5,downlink,data_download
58000000,shared_5,shared,data_download
58000000,link_nano_20,node,data_download
48000000,link_rpi3_81,node,data_download
48000000,shared_25,shared,data_download
48000000,up_shared_25,uplink,data_download
48000000,down_shared_3,downlink,data_download
48000000,shared_3,shared,data_download
48000000,link_rpi3_44,node,data_download
48000000,link_rpi3_81,node,data_download
48000000,shared_25,shared,data_download
48000000,up_shared_25,uplink,data_download
48000000,down_shared_3,downlink,data_download
48000000,shared_3,shared,data_download
48000000,link_rpi3_43,node,data_download
48000000,link_rpi3_81,node,data_download
48000000,shared_25,shared,data_download
48000000,up_shared_25,uplink,data_download
48000000,down_shared_3,downlink,data_download
48000000,shared_3,shared,data_download
48000000,link_rpi3_42,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nx_0,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nx_1,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_5,downlink,data_download
58000000,shared_5,shared,data_download
58000000,link_nx_3,node,data_download
58000000,link_rpi3_81,node,data_download
58000000,shared_25,shared,data_download
58000000,up_shared_25,uplink,data_download
58000000,down_shared_5,downlink,data_download
