value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140444655482912,nx_10
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140444655484112,nano_3
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140444655501760,nx_3
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140444655502960,nano_17
deploy,speech-inference,faas-workloads/speech-inference-tflite,140444655504400,rockpi_30
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140444655505600,rockpi_30
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140444655506800,rockpi_8
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140444655507712,rockpi_8
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140444655508576,nano_15
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140444655509776,nano_26
deploy,python-pi,faas-workloads/python-pi,140444655510928,nx_10
deploy,python-pi-downtown,faas-workloads/python-pi,140444655511744,coral_1
deploy,python-pi-suburb,faas-workloads/python-pi,140444655512560,coral_3
deploy,fio,faas-workloads/fio,140444655513376,rpi3_3
deploy,fio-downtown,faas-workloads/fio,140444655514192,rpi3_3
deploy,fio-suburb,faas-workloads/fio,140444655515008,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140444655482912,nx_13
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140444655484112,nano_18
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140444655501760,nano_19
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140444655502960,nx_4
deploy,speech-inference,faas-workloads/speech-inference-tflite,140444655504400,rpi3_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140444655505600,rockpi_13
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140444655506800,rockpi_13
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140444655507712,nx_3
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140444655508576,nano_9
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140444655509776,nano_12
deploy,python-pi,faas-workloads/python-pi,140444655510928,rockpi_12
deploy,python-pi-downtown,faas-workloads/python-pi,140444655511744,rockpi_12
deploy,python-pi-suburb,faas-workloads/python-pi,140444655512560,rockpi_5
deploy,fio,faas-workloads/fio,140444655513376,rpi3_4
deploy,fio-downtown,faas-workloads/fio,140444655514192,rpi3_21
deploy,fio-suburb,faas-workloads/fio,140444655515008,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140444655482912,nano_21
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140444655484112,nx_7
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140444655501760,nano_20
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140444655502960,nx_11
deploy,speech-inference,faas-workloads/speech-inference-tflite,140444655504400,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140444655505600,rockpi_21
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140444655506800,rockpi_21
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140444655507712,rockpi_19
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140444655508576,nano_22
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140444655509776,nano_10
deploy,python-pi,faas-workloads/python-pi,140444655510928,rockpi_19
deploy,python-pi-downtown,faas-workloads/python-pi,140444655511744,nx_13
deploy,python-pi-suburb,faas-workloads/python-pi,140444655512560,rockpi_16
deploy,fio,faas-workloads/fio,140444655513376,rpi3_22
deploy,fio-downtown,faas-workloads/fio,140444655514192,rpi3_22
deploy,fio-suburb,faas-workloads/fio,140444655515008,rpi3_23
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140444655482912,nano_11
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140444655484112,nano_28
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140444655501760,nano_0
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140444655502960,nano_1
deploy,speech-inference,faas-workloads/speech-inference-tflite,140444655504400,rockpi_16
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140444655505600,rockpi_14
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140444655506800,rockpi_14
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140444655507712,nx_4
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140444655508576,nano_2
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140444655509776,nano_5
deploy,python-pi,faas-workloads/python-pi,140444655510928,rockpi_10
deploy,python-pi-downtown,faas-workloads/python-pi,140444655511744,rockpi_10
deploy,python-pi-suburb,faas-workloads/python-pi,140444655512560,nx_7
deploy,fio,faas-workloads/fio,140444655513376,rpi3_23
deploy,fio-downtown,faas-workloads/fio,140444655514192,rpi3_27
deploy,fio-suburb,faas-workloads/fio,140444655515008,rpi3_27
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140444655482912,nx_5
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140444655484112,nx_12
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140444655501760,nano_6
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140444655502960,nano_7
deploy,speech-inference,faas-workloads/speech-inference-tflite,140444655504400,rockpi_0
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140444655505600,rockpi_0
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140444655506800,rockpi_28
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140444655507712,rockpi_28
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140444655508576,nano_8
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140444655509776,nano_16
deploy,python-pi,faas-workloads/python-pi,140444655510928,rpi3_28
deploy,python-pi-downtown,faas-workloads/python-pi,140444655511744,rpi3_29
deploy,python-pi-suburb,faas-workloads/python-pi,140444655512560,nx_11
deploy,fio,faas-workloads/fio,140444655513376,rpi3_0
deploy,fio-downtown,faas-workloads/fio,140444655514192,rpi3_0
deploy,fio-suburb,faas-workloads/fio,140444655515008,rpi3_1
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140444655482912,nano_27
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140444655484112,nx_6
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140444655501760,nano_14
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140444655502960,nano_23
deploy,speech-inference,faas-workloads/speech-inference-tflite,140444655504400,rockpi_4
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140444655505600,rockpi_4
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140444655506800,rpi3_2
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140444655507712,rockpi_23
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140444655508576,nano_24
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140444655509776,nx_2
deploy,python-pi,faas-workloads/python-pi,140444655510928,rockpi_23
deploy,python-pi-downtown,faas-workloads/python-pi,140444655511744,rockpi_11
deploy,python-pi-suburb,faas-workloads/python-pi,140444655512560,rockpi_11
deploy,fio,faas-workloads/fio,140444655513376,rpi3_1
deploy,fio-downtown,faas-workloads/fio,140444655514192,rpi3_9
deploy,fio-suburb,faas-workloads/fio,140444655515008,rpi3_9
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140444655482912,nx_9
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140444655484112,nano_13
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140444655501760,nx_0
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140444655502960,nx_1
deploy,speech-inference,faas-workloads/speech-inference-tflite,140444655504400,rockpi_25
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140444655505600,rockpi_25
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140444655506800,coral_0
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140444655507712,rockpi_1
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140444655508576,nano_25
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140444655509776,nx_8
deploy,python-pi,faas-workloads/python-pi,140444655510928,rockpi_1
deploy,python-pi-downtown,faas-workloads/python-pi,140444655511744,rockpi_2
deploy,python-pi-suburb,faas-workloads/python-pi,140444655512560,rockpi_2
deploy,fio,faas-workloads/fio,140444655513376,rpi3_10
deploy,fio-downtown,faas-workloads/fio,140444655514192,rpi3_10
deploy,fio-suburb,faas-workloads/fio,140444655515008,rpi3_11
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140444655482912,nano_4
deploy,speech-inference,faas-workloads/speech-inference-tflite,140444655504400,rockpi_3
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140444655505600,rockpi_3
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140444655506800,coral_2
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140444655507712,rockpi_32
deploy,python-pi,faas-workloads/python-pi,140444655510928,rockpi_32
deploy,python-pi-downtown,faas-workloads/python-pi,140444655511744,nx_5
deploy,python-pi-suburb,faas-workloads/python-pi,140444655512560,nx_12
deploy,fio,faas-workloads/fio,140444655513376,rpi3_11
deploy,fio-downtown,faas-workloads/fio,140444655514192,rpi3_15
deploy,fio-suburb,faas-workloads/fio,140444655515008,rpi3_15
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-cpu,140444655484352,rpi3_16
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-cpu,140444655502000,rpi3_17
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-cpu,140444655503200,rpi3_33
