value,name,function_id
deploy,resnet50-inference,140444655482576
deploy,resnet50-inference-downtown,140444655483632
deploy,resnet50-inference-suburb,140444655484832
deploy,resnet50-inference-industrial,140444655502480
deploy,speech-inference,140444655503680
deploy,speech-inference-downtown,140444655504880
deploy,speech-inference-suburb,140444655506080
deploy,resnet50-preprocessing,140444655507280
deploy,resnet50-training,140444655508096
deploy,resnet50-training-downtown,140444655509296
deploy,python-pi,140444655510496
deploy,python-pi-downtown,140444655511312
deploy,python-pi-suburb,140444655512128
deploy,fio,140444655512944
deploy,fio-downtown,140444655513760
deploy,fio-suburb,140444655514576
