value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140381072500736,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140381072501600,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140381072500736,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140381072500736,nx_10,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140381072799776,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140381072800736,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140381072801696,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140381072884640,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140381072885600,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140381072886560,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140381072887520,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140381072888480,,
queue,python-pi,faas-workloads/python-pi,140381072889440,,
queue,python-pi-downtown,faas-workloads/python-pi,140381072890400,,
queue,python-pi-suburb,faas-workloads/python-pi,140381072891360,,
queue,fio,faas-workloads/fio,140381072892320,,
queue,fio-downtown,faas-workloads/fio,140381072893280,,
queue,fio-suburb,faas-workloads/fio,140381072894240,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140381072501600,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140381072501600,nano_3,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140381072799776,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140381072799776,nx_3,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140381072800736,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140381072800736,nano_17,True
start,speech-inference,faas-workloads/speech-inference-tflite,140381072801696,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140381072801696,rockpi_30,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140381072884640,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140381072884640,rockpi_30,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140381072885600,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140381072885600,rockpi_8,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140381072886560,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140381072886560,rockpi_8,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140381072887520,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140381072887520,nano_15,True
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140381072888480,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140381072888480,nano_26,True
start,python-pi,faas-workloads/python-pi,140381072889440,,
finish,python-pi,faas-workloads/python-pi,140381072889440,nx_10,True
start,python-pi-downtown,faas-workloads/python-pi,140381072890400,,
finish,python-pi-downtown,faas-workloads/python-pi,140381072890400,coral_1,True
start,python-pi-suburb,faas-workloads/python-pi,140381072891360,,
finish,python-pi-suburb,faas-workloads/python-pi,140381072891360,coral_3,True
start,fio,faas-workloads/fio,140381072892320,,
finish,fio,faas-workloads/fio,140381072892320,rpi3_3,True
start,fio-downtown,faas-workloads/fio,140381072893280,,
finish,fio-downtown,faas-workloads/fio,140381072893280,rpi3_3,True
start,fio-suburb,faas-workloads/fio,140381072894240,,
