t_wait,t_exec,t_start,memory,function_name,function_image,node,replica_id
0.0,0.37203002109759087,5.201191938109767,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140687577426016
0.0,0.40537106103112563,5.201191938109767,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140687577708672
0.0,0.373002234375142,5.401623592886287,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140687577426016
0.0,0.3870262869523762,5.401623592886287,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140687577708672
0.0,0.6768209974996555,5.201191938109767,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140687577426880
0.0,0.7474965589201865,5.201191938109767,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140687577709632
0.0,0.36841906347194175,5.601303873843406,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140687577708672
0.0,0.4343107933547694,5.601303873843406,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140687577426016
0.0,0.6964356401998915,5.401623592886287,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140687577709632
0.0,0.7385138098062374,5.401623592886287,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140687577426880
0.0,0.3753590366618136,5.800241530978396,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140687577708672
0.0,0.3771318473648666,5.800241530978396,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140687577426016
0.0,0.9440274124940062,5.241156184640292,104857600,python-pi-downtown,faas-workloads/python-pi,rockpi_12,140687575488336
0.0,0.6715196224687858,5.601303873843406,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140687577426880
0.0,0.7130781500511656,5.601303873843406,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140687577709632
0.0,0.3754596459094719,5.998445158689548,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140687577426016
0.0,0.37783902696582583,5.998445158689548,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140687577708672
0.0,0.9167432799024899,5.481223522044282,104857600,python-pi-downtown,faas-workloads/python-pi,rockpi_12,140687575488336
0.0,1.2909277720045536,5.12071516286586,104857600,python-pi,faas-workloads/python-pi,nx_10,140687577831104
0.0,0.6935589288560084,5.800241530978396,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140687577426880
0.0,1.2954301523580911,5.241156184640292,104857600,python-pi,faas-workloads/python-pi,nx_10,140687577831104
0.0,0.7661254690804524,5.800241530978396,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140687577709632
0.0,0.3803228882217944,6.195923199572187,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140687577708672
0.0,0.3883444362775581,6.195923199572187,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140687577426016
0.0,0.9057405251644974,5.720217239248607,104857600,python-pi,faas-workloads/python-pi,rockpi_12,140687575487568
0.0,0.9136309065834096,5.720217239248607,104857600,python-pi-suburb,faas-workloads/python-pi,rockpi_5,140687575489104
0.0,0.9202886749302674,5.720217239248607,104857600,python-pi-downtown,faas-workloads/python-pi,rockpi_12,140687575488336
0.0,1.3174264183128992,5.3613249998326635,104857600,python-pi,faas-workloads/python-pi,nx_10,140687577831104
0.0,0.7163990547157821,5.998445158689548,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140687577709632
0.0,1.6157329265689278,5.12071516286586,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140687577832064
0.0,1.620242551812968,5.12071516286586,104857600,python-pi-suburb,faas-workloads/python-pi,coral_3,140687577833024
0.0,0.7690194907451735,5.998445158689548,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140687577426880
0.0,1.2870985632556833,5.481223522044282,104857600,python-pi,faas-workloads/python-pi,nx_10,140687577831104
0.0,0.3915652561907601,6.392683948097642,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140687577708672
0.0,0.39224167841517676,6.392683948097642,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140687577426016
0.0,1.6191255672934748,5.241156184640292,104857600,python-pi-suburb,faas-workloads/python-pi,coral_3,140687577833024
0.0,0.9075632652857326,5.9581522385643275,104857600,python-pi,faas-workloads/python-pi,rockpi_12,140687575487568
0.0,0.9077410147047233,5.9581522385643275,104857600,python-pi-suburb,faas-workloads/python-pi,rockpi_5,140687575489104
0.0,0.9119745974868589,5.9581522385643275,104857600,python-pi-downtown,faas-workloads/python-pi,rockpi_12,140687575488336
0.0,0.6770093056118291,6.195923199572187,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140687577709632
0.0,0.3803540208022671,6.588735554179538,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140687577426016
0.0,0.38171595472023423,6.588735554179538,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140687577708672
0.0,1.6161957579508472,5.3613249998326635,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140687577832064
0.0,1.631512082274484,5.3613249998326635,104857600,python-pi-suburb,faas-workloads/python-pi,coral_3,140687577833024
0.0,0.6976599354482875,6.392683948097642,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140687577426880
0.0,0.9036416211363383,6.195043107062195,104857600,python-pi-suburb,faas-workloads/python-pi,rockpi_5,140687575489104
0.0,0.9040924944549502,6.195043107062195,104857600,python-pi-downtown,faas-workloads/python-pi,rockpi_12,140687575488336
0.0,0.9076007330280209,6.195043107062195,104857600,python-pi,faas-workloads/python-pi,rockpi_12,140687575487568
0.0,1.6334749107915352,5.481223522044282,104857600,python-pi-suburb,faas-workloads/python-pi,coral_3,140687577833024
0.0,0.7246179106860771,6.392683948097642,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140687577709632
0.0,0.3928129304445651,6.784086026631561,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140687577708672
0.0,0.4078296451746617,6.784086026631561,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140687577426016
0.0,1.6178347995112619,5.600853644279107,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140687577832064
0.0,1.0719934586183593,6.195923199572187,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140687577426880
0.0,0.7218219851494885,6.588735554179538,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140687577709632
0.0,0.9030304205628754,6.430904125708264,104857600,python-pi-suburb,faas-workloads/python-pi,rockpi_5,140687575489104
0.0,0.9073469956482318,6.430904125708264,104857600,python-pi-downtown,faas-workloads/python-pi,rockpi_12,140687575488336
0.0,0.9154948543042893,6.430904125708264,104857600,python-pi,faas-workloads/python-pi,rockpi_12,140687575487568
0.0,0.37264321797740685,6.978743236520703,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140687577426016
0.0,0.3980047343957054,6.978743236520703,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140687577708672
0.0,1.6173539806265813,5.8393161596709025,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140687577832064
0.0,0.6837942693164019,6.784086026631561,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140687577426880
0.0,0.9173053112558343,6.588735554179538,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140687577426880
0.0,0.37981863610275735,7.172714920419776,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140687577426016
0.0,0.9035905249931879,6.665749278165414,104857600,python-pi-downtown,faas-workloads/python-pi,rockpi_12,140687575488336
0.0,0.9043184499073629,6.665749278165414,104857600,python-pi,faas-workloads/python-pi,rockpi_12,140687575487568
0.0,0.9138078003058219,6.665749278165414,104857600,python-pi-suburb,faas-workloads/python-pi,rockpi_5,140687575489104
0.0,0.43715121051634664,7.172714920419776,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140687577708672
0.0,0.7043150085191172,6.978743236520703,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140687577709632
0.0,2.1120845891758133,5.600853644279107,104857600,python-pi,faas-workloads/python-pi,nx_10,140687577831104
0.0,0.38529713255302767,7.36600868356286,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140687577426016
0.0,0.43067888482447003,7.36600868356286,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140687577708672
0.0,0.9125182256617093,6.899592259275472,104857600,python-pi-suburb,faas-workloads/python-pi,rockpi_5,140687575489104
0.0,0.8484202497714124,6.978743236520703,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140687577426880
0.0,0.930411800413915,6.899592259275472,104857600,python-pi,faas-workloads/python-pi,rockpi_12,140687575487568
0.0,1.9949523931043034,5.8393161596709025,104857600,python-pi,faas-workloads/python-pi,nx_10,140687577831104
0.0,1.0523591195471491,6.784086026631561,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140687577709632
0.0,0.9470073526036664,6.899592259275472,104857600,python-pi-downtown,faas-workloads/python-pi,rockpi_12,140687575488336
0.0,0.686720929145336,7.172714920419776,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140687577709632
0.0,0.3769884275629263,7.558632002907188,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140687577426016
0.0,0.39990986307228216,7.558632002907188,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140687577708672
0.0,1.910814221996552,6.076727289535523,104857600,python-pi,faas-workloads/python-pi,nx_10,140687577831104
0.0,0.827869307938168,7.172714920419776,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140687577426880
0.0,0.9038779498274447,7.132446483235936,104857600,python-pi-downtown,faas-workloads/python-pi,rockpi_12,140687575488336
0.0,0.9139891465374728,7.132446483235936,104857600,python-pi-suburb,faas-workloads/python-pi,rockpi_5,140687575489104
0.0,0.920575002874779,7.132446483235936,104857600,python-pi,faas-workloads/python-pi,rockpi_12,140687575487568
