value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140687577426016,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140687577426880,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140687577426016,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140687577426016,nx_10,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140687577708672,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140687577709632,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140687577710496,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140687577826304,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140687577827264,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140687577828224,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140687577829184,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140687577830144,,
queue,python-pi,faas-workloads/python-pi,140687577831104,,
queue,python-pi-downtown,faas-workloads/python-pi,140687577832064,,
queue,python-pi-suburb,faas-workloads/python-pi,140687577833024,,
queue,fio,faas-workloads/fio,140687577833984,,
queue,fio-downtown,faas-workloads/fio,140687577834944,,
queue,fio-suburb,faas-workloads/fio,140687577835904,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140687577426880,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140687577426880,nano_3,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140687577708672,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140687577708672,nx_3,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140687577709632,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140687577709632,nano_17,True
start,speech-inference,faas-workloads/speech-inference-tflite,140687577710496,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140687577710496,rockpi_30,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140687577826304,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140687577826304,rockpi_30,True
