value,name,image,function_id,node
deploy,python-pi,faas-workloads/python-pi,140672556515584,rpi4_172
deploy,python-pi-downtown,faas-workloads/python-pi,140672556516400,rpi4_173
deploy,python-pi-suburb,faas-workloads/python-pi,140672556517216,rpi4_60
deploy,python-pi-industrial,faas-workloads/python-pi,140672556518032,rpi4_61
deploy,python-pi-residential,faas-workloads/python-pi,140672556518848,rpi3_204
deploy,fio,faas-workloads/fio,140672556519664,rpi4_172
deploy,fio-downtown,faas-workloads/fio,140672556520480,rpi4_173
deploy,python-pi,faas-workloads/python-pi,140672556515584,coral_12
deploy,python-pi-downtown,faas-workloads/python-pi,140672556516400,rpi3_205
deploy,python-pi-suburb,faas-workloads/python-pi,140672556517216,rpi3_206
deploy,python-pi-industrial,faas-workloads/python-pi,140672556518032,rockpi_62
deploy,python-pi-residential,faas-workloads/python-pi,140672556518848,rockpi_62
deploy,fio,faas-workloads/fio,140672556519664,rpi4_60
deploy,fio-downtown,faas-workloads/fio,140672556520480,rpi4_61
deploy,python-pi,faas-workloads/python-pi,140672556515584,rpi3_84
deploy,python-pi-downtown,faas-workloads/python-pi,140672556516400,rpi3_85
deploy,python-pi-suburb,faas-workloads/python-pi,140672556517216,rpi3_86
deploy,python-pi-industrial,faas-workloads/python-pi,140672556518032,nx_0
deploy,python-pi-residential,faas-workloads/python-pi,140672556518848,nx_0
deploy,fio,faas-workloads/fio,140672556519664,rpi4_148
deploy,fio-downtown,faas-workloads/fio,140672556520480,rpi4_148
deploy,python-pi,faas-workloads/python-pi,140672556515584,rpi4_149
deploy,python-pi-downtown,faas-workloads/python-pi,140672556516400,rpi4_96
deploy,python-pi-suburb,faas-workloads/python-pi,140672556517216,rpi4_97
deploy,python-pi-industrial,faas-workloads/python-pi,140672556518032,rockpi_33
deploy,python-pi-residential,faas-workloads/python-pi,140672556518848,rockpi_33
deploy,fio,faas-workloads/fio,140672556519664,rpi4_149
deploy,fio-downtown,faas-workloads/fio,140672556520480,rpi4_96
deploy,python-pi,faas-workloads/python-pi,140672556515584,rockpi_97
deploy,python-pi-downtown,faas-workloads/python-pi,140672556516400,rockpi_97
deploy,python-pi-suburb,faas-workloads/python-pi,140672556517216,rpi4_50
deploy,python-pi-industrial,faas-workloads/python-pi,140672556518032,rpi4_51
deploy,python-pi-residential,faas-workloads/python-pi,140672556518848,rpi4_146
deploy,fio,faas-workloads/fio,140672556519664,rpi4_97
deploy,fio-downtown,faas-workloads/fio,140672556520480,rpi4_50
deploy,python-pi,faas-workloads/python-pi,140672556515584,rpi4_147
deploy,python-pi-downtown,faas-workloads/python-pi,140672556516400,rockpi_130
deploy,python-pi-suburb,faas-workloads/python-pi,140672556517216,rockpi_130
deploy,python-pi-industrial,faas-workloads/python-pi,140672556518032,rockpi_99
deploy,python-pi-residential,faas-workloads/python-pi,140672556518848,rockpi_99
deploy,fio,faas-workloads/fio,140672556519664,rpi4_51
deploy,fio-downtown,faas-workloads/fio,140672556520480,rpi4_146
deploy,python-pi,faas-workloads/python-pi,140672556515584,rpi4_118
deploy,python-pi-downtown,faas-workloads/python-pi,140672556516400,rpi4_119
deploy,python-pi-suburb,faas-workloads/python-pi,140672556517216,rpi3_159
deploy,python-pi-industrial,faas-workloads/python-pi,140672556518032,rpi3_160
deploy,python-pi-residential,faas-workloads/python-pi,140672556518848,rpi3_161
deploy,fio,faas-workloads/fio,140672556519664,rpi4_147
deploy,fio-downtown,faas-workloads/fio,140672556520480,rpi4_118
deploy,python-pi,faas-workloads/python-pi,140672556515584,rpi4_82
deploy,python-pi-downtown,faas-workloads/python-pi,140672556516400,rpi4_83
deploy,python-pi-suburb,faas-workloads/python-pi,140672556517216,rpi4_66
deploy,python-pi-industrial,faas-workloads/python-pi,140672556518032,rpi4_67
deploy,python-pi-residential,faas-workloads/python-pi,140672556518848,rpi4_46
deploy,fio,faas-workloads/fio,140672556519664,rpi4_119
deploy,fio-downtown,faas-workloads/fio,140672556520480,rpi4_82
deploy,python-pi,faas-workloads/python-pi,140672556515584,rpi4_47
deploy,python-pi-downtown,faas-workloads/python-pi,140672556516400,rpi4_108
deploy,python-pi-suburb,faas-workloads/python-pi,140672556517216,rpi4_109
deploy,python-pi-industrial,faas-workloads/python-pi,140672556518032,coral_0
deploy,python-pi-residential,faas-workloads/python-pi,140672556518848,nx_1
deploy,fio,faas-workloads/fio,140672556519664,rpi4_83
deploy,fio-downtown,faas-workloads/fio,140672556520480,rpi4_66
