timestamp,strategy,deployment,action,old_replica_count,new_replica_count,selected_node,selected_node_type,current_load_rps,avg_response_time_ms,reason,scaling_direction
5,LowPowerLongTimeBinPacker,python-pi,scale_up,1,2,coral_0,coral,0.0,2155.0809333875823,,1
5,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,1,2,coral_0,coral,0.0,2317.0593232418414,,1
5,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,1,2,coral_0,coral,0.0,2256.504070841023,,1
5,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,1,2,coral_0,coral,0.0,1924.1163099864104,,1
5,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,1,2,coral_0,coral,0.0,1992.5556970497537,,1
5,LowPowerLongTimeBinPacker,fio,scale_up,1,2,coral_0,coral,0.0,0.0,,1
5,LowPowerLongTimeBinPacker,fio-downtown,scale_up,1,2,coral_0,coral,0.0,0.0,,1
10,LowPowerLongTimeBinPacker,python-pi,scale_up,2,3,coral_0,coral,0.0,2155.0809333875823,,1
10,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,2,3,coral_0,coral,0.0,2317.0593232418414,,1
10,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,2,3,coral_0,coral,0.0,2256.504070841023,,1
10,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,2,3,coral_0,coral,0.0,1924.1163099864104,,1
10,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,2,3,coral_0,coral,0.0,1992.5556970497537,,1
10,LowPowerLongTimeBinPacker,fio,scale_up,2,3,coral_0,coral,0.0,0.0,,1
10,LowPowerLongTimeBinPacker,fio-downtown,scale_up,2,3,coral_0,coral,0.0,0.0,,1
15,LowPowerLongTimeBinPacker,python-pi,scale_up,3,4,coral_0,coral,0.0,0.0,,1
15,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,3,4,coral_0,coral,0.0,0.0,,1
15,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,3,4,coral_0,coral,0.0,0.0,,1
15,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,3,4,coral_0,coral,0.0,0.0,,1
15,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,3,4,coral_0,coral,0.0,0.0,,1
15,LowPowerLongTimeBinPacker,fio,scale_up,3,4,coral_0,coral,0.0,0.0,,1
15,LowPowerLongTimeBinPacker,fio-downtown,scale_up,3,4,coral_0,coral,0.0,0.0,,1
20,LowPowerLongTimeBinPacker,python-pi,scale_up,4,5,coral_0,coral,0.0,0.0,,1
20,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,4,5,coral_0,coral,0.0,0.0,,1
20,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,4,5,coral_0,coral,0.0,0.0,,1
20,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,4,5,coral_0,coral,0.0,0.0,,1
20,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,4,5,coral_0,coral,0.0,0.0,,1
20,LowPowerLongTimeBinPacker,fio,scale_up,4,5,coral_0,coral,0.0,0.0,,1
20,LowPowerLongTimeBinPacker,fio-downtown,scale_up,4,5,coral_0,coral,0.0,0.0,,1
25,LowPowerLongTimeBinPacker,python-pi,scale_up,5,6,coral_0,coral,0.0,0.0,,1
25,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,5,6,coral_0,coral,0.0,0.0,,1
25,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,5,6,coral_0,coral,0.0,0.0,,1
25,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,5,6,coral_0,coral,0.0,0.0,,1
25,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,5,6,coral_0,coral,0.0,0.0,,1
25,LowPowerLongTimeBinPacker,fio,scale_up,5,6,coral_0,coral,0.0,0.0,,1
25,LowPowerLongTimeBinPacker,fio-downtown,scale_up,5,6,coral_0,coral,0.0,0.0,,1
30,LowPowerLongTimeBinPacker,python-pi,scale_up,6,7,coral_0,coral,0.0,0.0,,1
30,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,6,7,coral_0,coral,0.0,0.0,,1
30,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,6,7,coral_0,coral,0.0,0.0,,1
30,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,6,7,coral_0,coral,0.0,0.0,,1
30,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,6,7,coral_0,coral,0.0,0.0,,1
30,LowPowerLongTimeBinPacker,fio,scale_up,6,7,coral_0,coral,0.0,0.0,,1
30,LowPowerLongTimeBinPacker,fio-downtown,scale_up,6,7,coral_0,coral,0.0,0.0,,1
35,LowPowerLongTimeBinPacker,python-pi,scale_up,7,8,coral_0,coral,0.0,0.0,,1
35,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,7,8,coral_0,coral,0.0,0.0,,1
35,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,7,8,coral_0,coral,0.0,0.0,,1
35,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,7,8,coral_0,coral,0.0,0.0,,1
35,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,7,8,coral_0,coral,0.0,0.0,,1
35,LowPowerLongTimeBinPacker,fio,scale_up,7,8,coral_0,coral,0.0,0.0,,1
35,LowPowerLongTimeBinPacker,fio-downtown,scale_up,7,8,coral_0,coral,0.0,0.0,,1
40,LowPowerLongTimeBinPacker,python-pi,scale_up,8,9,coral_0,coral,0.0,1518.0879148857668,,1
40,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,8,9,coral_0,coral,0.0,1608.3049053651437,,1
40,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,8,9,coral_0,coral,0.0,1691.8146101520817,,1
40,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,8,9,coral_0,coral,0.0,1349.0984887733202,,1
40,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,8,9,coral_0,coral,0.0,1365.2989598202744,,1
40,LowPowerLongTimeBinPacker,fio,scale_up,8,9,coral_0,coral,0.0,0.0,,1
40,LowPowerLongTimeBinPacker,fio-downtown,scale_up,8,9,coral_0,coral,0.0,0.0,,1
45,LowPowerLongTimeBinPacker,python-pi,scale_up,9,10,coral_0,coral,0.0,1479.3595218547596,,1
45,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,9,10,coral_0,coral,0.0,1492.130671011929,,1
45,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,9,10,coral_0,coral,0.0,1674.2337310656685,,1
45,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,9,10,coral_0,coral,0.0,1331.5933076579777,,1
45,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,9,10,coral_0,coral,0.0,1368.7199702556245,,1
45,LowPowerLongTimeBinPacker,fio,scale_up,9,10,coral_0,coral,0.0,0.0,,1
45,LowPowerLongTimeBinPacker,fio-downtown,scale_up,9,10,coral_0,coral,0.0,0.0,,1
50,LowPowerLongTimeBinPacker,python-pi,scale_up,10,11,coral_0,coral,0.0,0.0,,1
50,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,10,11,coral_0,coral,0.0,0.0,,1
50,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,10,11,coral_0,coral,0.0,0.0,,1
50,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,10,11,coral_0,coral,0.0,0.0,,1
50,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,10,11,coral_0,coral,0.0,0.0,,1
50,LowPowerLongTimeBinPacker,fio,scale_up,10,11,coral_0,coral,0.0,0.0,,1
50,LowPowerLongTimeBinPacker,fio-downtown,scale_up,10,11,coral_0,coral,0.0,0.0,,1
55,LowPowerLongTimeBinPacker,python-pi,scale_up,11,12,coral_0,coral,0.0,0.0,,1
55,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,11,12,coral_0,coral,0.0,0.0,,1
55,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,11,12,coral_0,coral,0.0,0.0,,1
55,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,11,12,coral_0,coral,0.0,0.0,,1
55,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,11,12,coral_0,coral,0.0,0.0,,1
55,LowPowerLongTimeBinPacker,fio,scale_up,11,12,coral_0,coral,0.0,0.0,,1
55,LowPowerLongTimeBinPacker,fio-downtown,scale_up,11,12,coral_0,coral,0.0,0.0,,1
60,LowPowerLongTimeBinPacker,python-pi,scale_up,12,13,coral_0,coral,0.0,0.0,,1
60,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,12,13,coral_0,coral,0.0,0.0,,1
60,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,12,13,coral_0,coral,0.0,0.0,,1
60,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,12,13,coral_0,coral,0.0,0.0,,1
60,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,12,13,coral_0,coral,0.0,0.0,,1
60,LowPowerLongTimeBinPacker,fio,scale_up,12,13,coral_0,coral,0.0,0.0,,1
60,LowPowerLongTimeBinPacker,fio-downtown,scale_up,12,13,coral_0,coral,0.0,0.0,,1
65,LowPowerLongTimeBinPacker,python-pi,scale_up,13,14,coral_0,coral,0.0,0.0,,1
65,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,13,14,coral_0,coral,0.0,0.0,,1
65,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,13,14,coral_0,coral,0.0,0.0,,1
65,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,13,14,coral_0,coral,0.0,0.0,,1
65,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,13,14,coral_0,coral,0.0,0.0,,1
65,LowPowerLongTimeBinPacker,fio,scale_up,13,14,coral_0,coral,0.0,0.0,,1
65,LowPowerLongTimeBinPacker,fio-downtown,scale_up,13,14,coral_0,coral,0.0,0.0,,1
70,LowPowerLongTimeBinPacker,python-pi,scale_up,14,15,coral_0,coral,0.0,0.0,,1
70,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,14,15,coral_0,coral,0.0,0.0,,1
70,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,14,15,coral_0,coral,0.0,0.0,,1
70,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,14,15,coral_0,coral,0.0,0.0,,1
70,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,14,15,coral_0,coral,0.0,0.0,,1
70,LowPowerLongTimeBinPacker,fio,scale_up,14,15,coral_0,coral,0.0,0.0,,1
70,LowPowerLongTimeBinPacker,fio-downtown,scale_up,14,15,coral_0,coral,0.0,0.0,,1
75,LowPowerLongTimeBinPacker,python-pi,scale_up,15,16,coral_0,coral,0.0,1470.0236066551827,,1
75,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,15,16,coral_0,coral,0.0,1544.8375987059082,,1
75,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,15,16,coral_0,coral,0.0,1557.4332795717305,,1
75,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,15,16,coral_0,coral,0.0,1405.1848078799742,,1
75,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,15,16,coral_0,coral,0.0,1281.7885839916444,,1
75,LowPowerLongTimeBinPacker,fio,scale_up,15,16,coral_0,coral,0.0,0.0,,1
75,LowPowerLongTimeBinPacker,fio-downtown,scale_up,15,16,coral_0,coral,0.0,0.0,,1
80,LowPowerLongTimeBinPacker,python-pi,scale_up,16,17,coral_0,coral,0.0,1478.9775029432033,,1
80,LowPowerLongTimeBinPacker,python-pi-downtown,scale_up,16,17,coral_0,coral,0.0,1550.7241348296905,,1
80,LowPowerLongTimeBinPacker,python-pi-suburb,scale_up,16,17,coral_0,coral,0.0,1562.4319811974417,,1
80,LowPowerLongTimeBinPacker,python-pi-industrial,scale_up,16,17,coral_0,coral,0.0,1375.247693846368,,1
80,LowPowerLongTimeBinPacker,python-pi-residential,scale_up,16,17,coral_0,coral,0.0,1247.7390809122069,,1
80,LowPowerLongTimeBinPacker,fio,scale_up,16,17,coral_0,coral,0.0,0.0,,1
