timestamp,strategy,deployment,current_replicas,current_load_rps,avg_response_time_ms,evaluation_type
5,LowPowerLongTimeBinPacker,python-pi,1,3.8,2155.0809333875823,scaling_check
5,LowPowerLongTimeBinPacker,python-pi-downtown,1,5.4,2317.0593232418414,scaling_check
5,LowPowerLongTimeBinPacker,python-pi-suburb,1,4.0,2256.504070841023,scaling_check
5,LowPowerLongTimeBinPacker,python-pi-industrial,1,4.6,1924.1163099864104,scaling_check
5,LowPowerLongTimeBinPacker,python-pi-residential,1,3.2,1992.5556970497537,scaling_check
5,LowPowerLongTimeBinPacker,fio,1,11.8,0.0,scaling_check
5,LowPowerLongTimeBinPacker,fio-downtown,1,1.2,0.0,scaling_check
10,LowPowerLongTimeBinPacker,python-pi,2,5.8,2155.0809333875823,scaling_check
10,LowPowerLongTimeBinPacker,python-pi-downtown,2,6.8,2317.0593232418414,scaling_check
10,LowPowerLongTimeBinPacker,python-pi-suburb,2,4.6,2256.504070841023,scaling_check
10,LowPowerLongTimeBinPacker,python-pi-industrial,2,4.4,1924.1163099864104,scaling_check
10,LowPowerLongTimeBinPacker,python-pi-residential,2,4.6,1992.5556970497537,scaling_check
10,LowPowerLongTimeBinPacker,fio,2,11.2,0.0,scaling_check
10,LowPowerLongTimeBinPacker,fio-downtown,2,0.8,0.0,scaling_check
15,LowPowerLongTimeBinPacker,python-pi,3,4.8,0.0,scaling_check
15,LowPowerLongTimeBinPacker,python-pi-downtown,3,4.8,0.0,scaling_check
15,LowPowerLongTimeBinPacker,python-pi-suburb,3,5.6,0.0,scaling_check
15,LowPowerLongTimeBinPacker,python-pi-industrial,3,4.0,0.0,scaling_check
15,LowPowerLongTimeBinPacker,python-pi-residential,3,5.4,0.0,scaling_check
15,LowPowerLongTimeBinPacker,fio,3,13.0,0.0,scaling_check
15,LowPowerLongTimeBinPacker,fio-downtown,3,3.0,0.0,scaling_check
20,LowPowerLongTimeBinPacker,python-pi,4,4.8,0.0,scaling_check
20,LowPowerLongTimeBinPacker,python-pi-downtown,4,4.4,0.0,scaling_check
20,LowPowerLongTimeBinPacker,python-pi-suburb,4,5.0,0.0,scaling_check
20,LowPowerLongTimeBinPacker,python-pi-industrial,4,6.4,0.0,scaling_check
20,LowPowerLongTimeBinPacker,python-pi-residential,4,5.4,0.0,scaling_check
20,LowPowerLongTimeBinPacker,fio,4,15.6,0.0,scaling_check
20,LowPowerLongTimeBinPacker,fio-downtown,4,2.8,0.0,scaling_check
25,LowPowerLongTimeBinPacker,python-pi,5,7.6,0.0,scaling_check
25,LowPowerLongTimeBinPacker,python-pi-downtown,5,6.6,0.0,scaling_check
25,LowPowerLongTimeBinPacker,python-pi-suburb,5,5.8,0.0,scaling_check
25,LowPowerLongTimeBinPacker,python-pi-industrial,5,5.8,0.0,scaling_check
25,LowPowerLongTimeBinPacker,python-pi-residential,5,4.0,0.0,scaling_check
25,LowPowerLongTimeBinPacker,fio,5,15.6,0.0,scaling_check
25,LowPowerLongTimeBinPacker,fio-downtown,5,2.0,0.0,scaling_check
30,LowPowerLongTimeBinPacker,python-pi,6,3.8,0.0,scaling_check
30,LowPowerLongTimeBinPacker,python-pi-downtown,6,5.4,0.0,scaling_check
30,LowPowerLongTimeBinPacker,python-pi-suburb,6,5.0,0.0,scaling_check
