value,function_name,node_name,replica_id
deploy,python-pi,rpi4_20,139811394573968
deploy,python-pi-downtown,rpi4_21,139811394574832
deploy,python-pi-suburb,rpi4_26,139811395358480
deploy,python-pi-industrial,rpi4_27,139811395359584
deploy,python-pi-residential,nx_13,139811395360544
deploy,python-pi-commercial,nx_13,139811395361504
startup,python-pi-commercial,nx_13,139811395361504
setup,python-pi-commercial,nx_13,139811395361504
finish,python-pi-commercial,nx_13,139811395361504
deploy,python-pi-airport,rockpi_18,139811395362464
deploy,fio,rpi4_20,139811395363424
deploy,fio-downtown,rpi4_21,139811395364384
startup,fio,rpi4_20,139811395363424
setup,fio,rpi4_20,139811395363424
finish,fio,rpi4_20,139811395363424
startup,fio-downtown,rpi4_21,139811395364384
setup,fio-downtown,rpi4_21,139811395364384
finish,fio-downtown,rpi4_21,139811395364384
startup,python-pi-suburb,rpi4_26,139811395358480
setup,python-pi-suburb,rpi4_26,139811395358480
finish,python-pi-suburb,rpi4_26,139811395358480
startup,python-pi-industrial,rpi4_27,139811395359584
setup,python-pi-industrial,rpi4_27,139811395359584
finish,python-pi-industrial,rpi4_27,139811395359584
startup,python-pi-residential,nx_13,139811395360544
setup,python-pi-residential,nx_13,139811395360544
finish,python-pi-residential,nx_13,139811395360544
startup,python-pi-airport,rockpi_18,139811395362464
setup,python-pi-airport,rockpi_18,139811395362464
finish,python-pi-airport,rockpi_18,139811395362464
startup,python-pi,rpi4_20,139811394573968
setup,python-pi,rpi4_20,139811394573968
finish,python-pi,rpi4_20,139811394573968
startup,python-pi-downtown,rpi4_21,139811394574832
setup,python-pi-downtown,rpi4_21,139811394574832
finish,python-pi-downtown,rpi4_21,139811394574832
deploy,python-pi,rockpi_18,139811390039392
startup,python-pi,rockpi_18,139811390039392
setup,python-pi,rockpi_18,139811390039392
finish,python-pi,rockpi_18,139811390039392
deploy,python-pi-downtown,rockpi_1,139811389117760
deploy,python-pi-suburb,rockpi_1,139811389119776
startup,python-pi-suburb,rockpi_1,139811389119776
setup,python-pi-suburb,rockpi_1,139811389119776
finish,python-pi-suburb,rockpi_1,139811389119776
deploy,python-pi-industrial,rockpi_25,139811389118384
deploy,python-pi-residential,rockpi_25,139811389120016
startup,python-pi-residential,rockpi_25,139811389120016
setup,python-pi-residential,rockpi_25,139811389120016
finish,python-pi-residential,rockpi_25,139811389120016
deploy,python-pi-commercial,rpi4_14,139811389119968
deploy,python-pi-airport,rpi4_15,139811389120688
deploy,fio,rpi4_26,139811389120928
deploy,fio-downtown,rpi4_27,139811389123568
startup,fio,rpi4_26,139811389120928
setup,fio,rpi4_26,139811389120928
finish,fio,rpi4_26,139811389120928
startup,fio-downtown,rpi4_27,139811389123568
setup,fio-downtown,rpi4_27,139811389123568
finish,fio-downtown,rpi4_27,139811389123568
startup,python-pi-downtown,rockpi_1,139811389117760
setup,python-pi-downtown,rockpi_1,139811389117760
finish,python-pi-downtown,rockpi_1,139811389117760
startup,python-pi-commercial,rpi4_14,139811389119968
setup,python-pi-commercial,rpi4_14,139811389119968
finish,python-pi-commercial,rpi4_14,139811389119968
startup,python-pi-airport,rpi4_15,139811389120688
setup,python-pi-airport,rpi4_15,139811389120688
finish,python-pi-airport,rpi4_15,139811389120688
startup,python-pi-industrial,rockpi_25,139811389118384
setup,python-pi-industrial,rockpi_25,139811389118384
finish,python-pi-industrial,rockpi_25,139811389118384
deploy,python-pi,rpi4_58,139811383345104
deploy,python-pi-downtown,rpi4_59,139811382276784
deploy,python-pi-suburb,rpi3_108,139811382278800
deploy,python-pi-industrial,rpi3_109,139811382277408
deploy,python-pi-residential,rpi3_110,139811382279520
deploy,python-pi-commercial,rpi4_48,139811382279664
deploy,python-pi-airport,rpi4_49,139811382461056
deploy,fio,rpi4_14,139811382460768
deploy,fio-downtown,rpi4_15,139811382462928
startup,fio,rpi4_14,139811382460768
setup,fio,rpi4_14,139811382460768
finish,fio,rpi4_14,139811382460768
startup,fio-downtown,rpi4_15,139811382462928
setup,fio-downtown,rpi4_15,139811382462928
finish,fio-downtown,rpi4_15,139811382462928
startup,python-pi,rpi4_58,139811383345104
setup,python-pi,rpi4_58,139811383345104
finish,python-pi,rpi4_58,139811383345104
startup,python-pi-downtown,rpi4_59,139811382276784
setup,python-pi-downtown,rpi4_59,139811382276784
finish,python-pi-downtown,rpi4_59,139811382276784
startup,python-pi-suburb,rpi3_108,139811382278800
setup,python-pi-suburb,rpi3_108,139811382278800
finish,python-pi-suburb,rpi3_108,139811382278800
startup,python-pi-industrial,rpi3_109,139811382277408
setup,python-pi-industrial,rpi3_109,139811382277408
finish,python-pi-industrial,rpi3_109,139811382277408
startup,python-pi-residential,rpi3_110,139811382279520
setup,python-pi-residential,rpi3_110,139811382279520
finish,python-pi-residential,rpi3_110,139811382279520
startup,python-pi-commercial,rpi4_48,139811382279664
setup,python-pi-commercial,rpi4_48,139811382279664
finish,python-pi-commercial,rpi4_48,139811382279664
startup,python-pi-airport,rpi4_49,139811382461056
setup,python-pi-airport,rpi4_49,139811382461056
finish,python-pi-airport,rpi4_49,139811382461056
deploy,python-pi,rpi3_87,139811378476944
deploy,python-pi-downtown,rpi3_88,139811377425296
deploy,python-pi-suburb,rpi3_89,139811377426064
deploy,python-pi-industrial,rpi4_98,139811377427168
deploy,python-pi-residential,rpi4_99,139811377427984
deploy,python-pi-commercial,nx_0,139811377428704
deploy,python-pi-airport,nx_0,139811377429472
startup,python-pi-airport,nx_0,139811377429472
setup,python-pi-airport,nx_0,139811377429472
finish,python-pi-airport,nx_0,139811377429472
deploy,fio,rpi4_58,139811377430240
deploy,fio-downtown,rpi4_59,139811375530432
startup,fio,rpi4_58,139811377430240
setup,fio,rpi4_58,139811377430240
finish,fio,rpi4_58,139811377430240
startup,fio-downtown,rpi4_59,139811375530432
setup,fio-downtown,rpi4_59,139811375530432
finish,fio-downtown,rpi4_59,139811375530432
startup,python-pi,rpi3_87,139811378476944
setup,python-pi,rpi3_87,139811378476944
finish,python-pi,rpi3_87,139811378476944
startup,python-pi-downtown,rpi3_88,139811377425296
setup,python-pi-downtown,rpi3_88,139811377425296
finish,python-pi-downtown,rpi3_88,139811377425296
startup,python-pi-suburb,rpi3_89,139811377426064
setup,python-pi-suburb,rpi3_89,139811377426064
finish,python-pi-suburb,rpi3_89,139811377426064
startup,python-pi-industrial,rpi4_98,139811377427168
setup,python-pi-industrial,rpi4_98,139811377427168
finish,python-pi-industrial,rpi4_98,139811377427168
startup,python-pi-residential,rpi4_99,139811377427984
setup,python-pi-residential,rpi4_99,139811377427984
finish,python-pi-residential,rpi4_99,139811377427984
startup,python-pi-commercial,nx_0,139811377428704
setup,python-pi-commercial,nx_0,139811377428704
finish,python-pi-commercial,nx_0,139811377428704
deploy,python-pi,nx_1,139811371675472
deploy,python-pi-downtown,nx_1,139811370558240
startup,python-pi-downtown,nx_1,139811370558240
setup,python-pi-downtown,nx_1,139811370558240
finish,python-pi-downtown,nx_1,139811370558240
deploy,python-pi-suburb,nx_11,139811370559008
deploy,python-pi-industrial,nx_11,139811370560016
startup,python-pi-industrial,nx_11,139811370560016
setup,python-pi-industrial,nx_11,139811370560016
finish,python-pi-industrial,nx_11,139811370560016
deploy,python-pi-residential,coral_12,139811370560784
deploy,python-pi-commercial,rpi4_104,139811370561552
deploy,python-pi-airport,rpi4_105,139811370562320
deploy,fio,rpi4_48,139811370563088
deploy,fio-downtown,rpi4_49,139811370563856
startup,fio,rpi4_48,139811370563088
setup,fio,rpi4_48,139811370563088
finish,fio,rpi4_48,139811370563088
startup,fio-downtown,rpi4_49,139811370563856
setup,fio-downtown,rpi4_49,139811370563856
finish,fio-downtown,rpi4_49,139811370563856
startup,python-pi,nx_1,139811371675472
setup,python-pi,nx_1,139811371675472
finish,python-pi,nx_1,139811371675472
startup,python-pi-commercial,rpi4_104,139811370561552
setup,python-pi-commercial,rpi4_104,139811370561552
finish,python-pi-commercial,rpi4_104,139811370561552
startup,python-pi-airport,rpi4_105,139811370562320
setup,python-pi-airport,rpi4_105,139811370562320
finish,python-pi-airport,rpi4_105,139811370562320
startup,python-pi-suburb,nx_11,139811370559008
setup,python-pi-suburb,nx_11,139811370559008
finish,python-pi-suburb,nx_11,139811370559008
startup,python-pi-residential,coral_12,139811370560784
setup,python-pi-residential,coral_12,139811370560784
finish,python-pi-residential,coral_12,139811370560784
deploy,python-pi,rpi3_6,139811366975616
deploy,python-pi-downtown,rpi3_7,139811365842096
deploy,python-pi-suburb,rpi3_8,139811365842864
deploy,python-pi-industrial,rpi3_48,139811365843872
deploy,python-pi-residential,rpi3_49,139811365844640
deploy,python-pi-commercial,rpi3_50,139811365845408
deploy,python-pi-airport,rpi4_118,139811365846176
deploy,fio,rpi4_98,139811365846320
deploy,fio-downtown,rpi4_99,139811364012528
startup,fio,rpi4_98,139811365846320
setup,fio,rpi4_98,139811365846320
finish,fio,rpi4_98,139811365846320
startup,fio-downtown,rpi4_99,139811364012528
setup,fio-downtown,rpi4_99,139811364012528
finish,fio-downtown,rpi4_99,139811364012528
startup,python-pi,rpi3_6,139811366975616
setup,python-pi,rpi3_6,139811366975616
finish,python-pi,rpi3_6,139811366975616
startup,python-pi-downtown,rpi3_7,139811365842096
setup,python-pi-downtown,rpi3_7,139811365842096
finish,python-pi-downtown,rpi3_7,139811365842096
startup,python-pi-suburb,rpi3_8,139811365842864
setup,python-pi-suburb,rpi3_8,139811365842864
finish,python-pi-suburb,rpi3_8,139811365842864
startup,python-pi-industrial,rpi3_48,139811365843872
setup,python-pi-industrial,rpi3_48,139811365843872
finish,python-pi-industrial,rpi3_48,139811365843872
startup,python-pi-residential,rpi3_49,139811365844640
setup,python-pi-residential,rpi3_49,139811365844640
finish,python-pi-residential,rpi3_49,139811365844640
startup,python-pi-commercial,rpi3_50,139811365845408
setup,python-pi-commercial,rpi3_50,139811365845408
finish,python-pi-commercial,rpi3_50,139811365845408
startup,python-pi-airport,rpi4_118,139811365846176
setup,python-pi-airport,rpi4_118,139811365846176
finish,python-pi-airport,rpi4_118,139811365846176
deploy,python-pi,rpi4_112,139811360923536
deploy,python-pi-downtown,rpi4_113,139811358992336
deploy,python-pi-suburb,rpi4_10,139811358993104
deploy,python-pi-industrial,rpi4_11,139811358994112
deploy,python-pi-residential,rpi3_105,139811358994880
deploy,python-pi-commercial,rpi3_106,139811358995648
deploy,python-pi-airport,rpi3_107,139811358996416
deploy,fio,rpi4_104,139811358997184
deploy,fio-downtown,rpi4_105,139811358997952
startup,fio,rpi4_104,139811358997184
setup,fio,rpi4_104,139811358997184
finish,fio,rpi4_104,139811358997184
startup,fio-downtown,rpi4_105,139811358997952
setup,fio-downtown,rpi4_105,139811358997952
finish,fio-downtown,rpi4_105,139811358997952
startup,python-pi,rpi4_112,139811360923536
setup,python-pi,rpi4_112,139811360923536
finish,python-pi,rpi4_112,139811360923536
startup,python-pi-downtown,rpi4_113,139811358992336
setup,python-pi-downtown,rpi4_113,139811358992336
finish,python-pi-downtown,rpi4_113,139811358992336
startup,python-pi-suburb,rpi4_10,139811358993104
setup,python-pi-suburb,rpi4_10,139811358993104
finish,python-pi-suburb,rpi4_10,139811358993104
startup,python-pi-industrial,rpi4_11,139811358994112
setup,python-pi-industrial,rpi4_11,139811358994112
finish,python-pi-industrial,rpi4_11,139811358994112
startup,python-pi-residential,rpi3_105,139811358994880
setup,python-pi-residential,rpi3_105,139811358994880
finish,python-pi-residential,rpi3_105,139811358994880
startup,python-pi-commercial,rpi3_106,139811358995648
setup,python-pi-commercial,rpi3_106,139811358995648
finish,python-pi-commercial,rpi3_106,139811358995648
startup,python-pi-airport,rpi3_107,139811358996416
setup,python-pi-airport,rpi3_107,139811358996416
finish,python-pi-airport,rpi3_107,139811358996416
deploy,python-pi,nx_20,139811382472240
deploy,python-pi-downtown,nx_20,139811354378736
startup,python-pi-downtown,nx_20,139811354378736
setup,python-pi-downtown,nx_20,139811354378736
