deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,5,876.5516249936617,380.1565600703516,496.39506492331,56.63044260820341,20,24
resnet50-inference,5,876.5516249936617,380.1565600703516,496.39506492331,56.63044260820341,20,24
python-pi,5,1297.9757499830039,914.5662039089628,383.409546074041,29.53903769612502,4,8
python-pi,5,1297.9757499830039,914.5662039089628,383.409546074041,29.53903769612502,4,8
resnet50-inference,40,1773.4684651710088,556.2998861291726,1217.168579041836,68.63209597157788,82,178
resnet50-inference,40,1773.4684651710088,556.2998861291726,1217.168579041836,68.63209597157788,82,178
speech-inference,40,4616.532675266347,3814.622290786403,801.9103844799442,17.37040417316398,3,4
speech-inference,40,4616.532675266347,3814.622290786403,801.9103844799442,17.37040417316398,3,4
python-pi,40,11601.565121544329,1096.8846463483087,10504.680475196019,90.54537353489165,99,103
python-pi,40,11601.565121544329,1096.8846463483087,10504.680475196019,90.54537353489165,99,103
resnet50-inference,75,623.5776245743959,623.5776245743959,0.0,0.0,0,185
resnet50-inference,75,623.5776245743959,623.5776245743959,0.0,0.0,0,185
speech-inference,75,9294.62047571582,3775.393223360889,5519.227252354933,59.38087807646468,3,9
speech-inference,75,9294.62047571582,3775.393223360889,5519.227252354933,59.38087807646468,3,9
python-pi,75,13068.801471861618,1045.5803160369674,12023.22115582465,91.99941694509477,116,197
python-pi,75,13068.801471861618,1045.5803160369674,12023.22115582465,91.99941694509477,116,197
resnet50-inference,110,623.1330211488389,623.1330211488389,0.0,0.0,0,161
resnet50-inference,110,623.1330211488389,623.1330211488389,0.0,0.0,0,161
speech-inference,110,3745.577969439818,3717.6176391294416,27.960330310376946,0.74648907427653,1,10
speech-inference,110,3745.577969439818,3717.6176391294416,27.960330310376946,0.74648907427653,1,10
python-pi,110,15511.878015672582,1109.3581337232927,14402.519881949289,92.84833124266164,65,188
python-pi,110,15511.878015672582,1109.3581337232927,14402.519881949289,92.84833124266164,65,188
resnet50-inference,145,622.7153894886592,622.7153894886592,0.0,0.0,0,82
resnet50-inference,145,622.7153894886592,622.7153894886592,0.0,0.0,0,82
speech-inference,145,3791.682648174188,3791.682648174188,0.0,0.0,0,6
speech-inference,145,3791.682648174188,3791.682648174188,0.0,0.0,0,6
python-pi,145,18912.55886221328,1211.9353134928829,17700.6235487204,93.59190196143004,49,145
python-pi,145,18912.55886221328,1211.9353134928829,17700.6235487204,93.59190196143004,49,145
resnet50-inference,180,723.3139776949971,723.3139776949971,0.0,0.0,0,32
resnet50-inference,180,723.3139776949971,723.3139776949971,0.0,0.0,0,32
speech-inference,180,3800.9485266588285,3800.9485266588285,0.0,0.0,0,2
speech-inference,180,3800.9485266588285,3800.9485266588285,0.0,0.0,0,2
python-pi,180,31391.652378048835,1332.086126513859,30059.566251534976,95.7565593856877,16,58
python-pi,180,31391.652378048835,1332.086126513859,30059.566251534976,95.7565593856877,16,58
resnet50-inference,215,590.5763457312503,590.5763457312503,0.0,0.0,0,3
resnet50-inference,215,590.5763457312503,590.5763457312503,0.0,0.0,0,3
python-pi,215,90867.12253329277,1613.1740023838142,89253.94853090897,98.22468902127636,16,21
python-pi,215,90867.12253329277,1613.1740023838142,89253.94853090897,98.22468902127636,16,21
resnet50-inference,250,631.6683026607911,631.6683026607911,0.0,0.0,0,9
resnet50-inference,250,631.6683026607911,631.6683026607911,0.0,0.0,0,9
python-pi,250,65278.18480147434,1470.359847399825,63807.82495407451,97.74754789540867,15,25
python-pi,250,65278.18480147434,1470.359847399825,63807.82495407451,97.74754789540867,15,25
resnet50-inference,285,863.5781728605549,863.5781728605549,0.0,0.0,0,36
resnet50-inference,285,863.5781728605549,863.5781728605549,0.0,0.0,0,36
python-pi,285,1170.7143452223265,1170.7143452223265,0.0,0.0,0,62
python-pi,285,1170.7143452223265,1170.7143452223265,0.0,0.0,0,62
resnet50-inference,320,822.4786305448904,822.4786305448904,0.0,0.0,0,64
resnet50-inference,320,822.4786305448904,822.4786305448904,0.0,0.0,0,64
speech-inference,320,3191.15950586086,3191.15950586086,0.0,0.0,0,9
speech-inference,320,3191.15950586086,3191.15950586086,0.0,0.0,0,9
python-pi,320,1178.0514216774595,1178.0514216774595,0.0,0.0,0,131
python-pi,320,1178.0514216774595,1178.0514216774595,0.0,0.0,0,131
resnet50-inference,355,1074.894051487842,1074.894051487842,0.0,0.0,0,101
resnet50-inference,355,1074.894051487842,1074.894051487842,0.0,0.0,0,101
speech-inference,355,3492.921930041453,3492.921930041453,0.0,0.0,0,13
speech-inference,355,3492.921930041453,3492.921930041453,0.0,0.0,0,13
python-pi,355,1161.1143006846385,1161.1143006846385,0.0,0.0,0,177
python-pi,355,1161.1143006846385,1161.1143006846385,0.0,0.0,0,177
resnet50-inference,390,954.0128562253193,954.0128562253193,0.0,0.0,0,94
resnet50-inference,390,954.0128562253193,954.0128562253193,0.0,0.0,0,94
speech-inference,390,3219.7627037821494,3219.7627037821494,0.0,0.0,0,13
speech-inference,390,3219.7627037821494,3219.7627037821494,0.0,0.0,0,13
python-pi,390,1168.582584800969,1168.582584800969,0.0,0.0,0,195
python-pi,390,1168.582584800969,1168.582584800969,0.0,0.0,0,195
