bytes,duration,source,sink,action_type
20000000,0.1683434256934779,registry,rpi3_3,docker_pull
62000000,0.5146765805356527,registry,rockpi_8,docker_pull
40000000,0.6598276536130867,registry,rockpi_30,docker_pull
100000000,0.8262255274850616,registry,nx_10,docker_pull
100000000,0.82615512929614,registry,nano_3,docker_pull
48000000,0.7978637168758524,rockpi_4,rockpi_30,data_download
103000000,1.1690228555583253,rockpi_4,nx_10,data_download
191000000,2.30110359658091,registry,rockpi_30,docker_pull
58000000,1.5757872201555951,rockpi_4,nano_3,data_download
58000000,1.7073580777316044,rockpi_4,nano_3,data_download
58000000,1.7008373991957408,rockpi_4,nano_3,data_download
58000000,1.6252243573515162,rockpi_4,nano_3,data_download
40000000,0.3327773095730615,registry,rockpi_8,docker_pull
62000000,0.513133621299013,registry,coral_1,docker_pull
48000000,0.40214586707782907,rockpi_4,rockpi_8,data_download
100000000,0.8263491901806859,registry,nx_3,docker_pull
100000000,0.8263233271206083,registry,nano_17,docker_pull
191000000,1.5769401709579638,registry,nx_10,docker_pull
58000000,2.039340336249169,rockpi_4,nano_17,data_download
58000000,2.1685360331066255,rockpi_4,nano_17,data_download
58000000,2.135066076841797,rockpi_4,nano_17,data_download
58000000,2.005945192233715,rockpi_4,nano_17,data_download
103000000,2.6893304437761696,rockpi_4,nx_3,data_download
20000000,0.16795459533528145,registry,rpi3_21,docker_pull
40000000,0.331427343462412,registry,coral_3,docker_pull
55000000,0.4564804645271501,registry,rpi3_5,docker_pull
48000000,0.40039484953822857,rockpi_4,coral_3,data_download
100000000,0.8264317088703077,registry,nano_15,docker_pull
100000000,0.8262218017067671,registry,nano_26,docker_pull
137000000,1.1329352477804466,registry,rpi3_4,docker_pull
58000000,1.906602457107061,rockpi_4,nano_26,data_download
58000000,2.0420031248239354,rockpi_4,nano_26,data_download
58000000,1.9907264170278083,rockpi_4,nano_26,data_download
103000000,2.6624541189487374,rockpi_4,nano_15,data_download
58000000,1.9065569108414593,rockpi_4,nano_26,data_download
62000000,0.5126975147567716,registry,nx_3,docker_pull
40000000,0.6612121228361865,registry,rockpi_13,docker_pull
100000000,0.8262539948719674,registry,nx_13,docker_pull
100000000,0.8262120416357757,registry,nano_18,docker_pull
48000000,1.4098040497445083,rockpi_4,rockpi_13,data_download
191000000,2.302435596742111,registry,rockpi_13,docker_pull
58000000,1.7921525871197375,rockpi_4,nano_18,data_download
58000000,2.1693146373142476,rockpi_4,nano_18,data_download
58000000,2.0321126292742626,rockpi_4,nano_18,data_download
58000000,1.788809916500366,rockpi_4,nano_18,data_download
103000000,2.780557998814851,rockpi_4,nx_13,data_download
20000000,0.16821668878391804,registry,rpi3_22,docker_pull
62000000,0.5143909556378574,registry,rockpi_5,docker_pull
40000000,0.6606401866933318,registry,rockpi_12,docker_pull
100000000,0.8262428105346267,registry,nano_19,docker_pull
100000000,0.8263000341679145,registry,nx_4,docker_pull
48000000,1.0940528801185039,rockpi_4,rockpi_12,data_download
191000000,2.301999406750774,registry,rockpi_12,docker_pull
58000000,2.063485746484691,rockpi_4,nx_4,data_download
58000000,2.173450940712222,rockpi_4,nx_4,data_download
58000000,2.008219792595753,rockpi_4,nx_4,data_download
58000000,1.8048704835144456,rockpi_4,nx_4,data_download
103000000,2.949946821263879,rockpi_4,nano_19,data_download
40000000,0.33289940477838087,registry,rockpi_5,docker_pull
48000000,0.40207499476448305,rockpi_4,rockpi_5,data_download
100000000,0.8262273413653247,registry,nano_9,docker_pull
100000000,0.8263111293874559,registry,nano_12,docker_pull
62000000,1.0257779656371397,registry,rockpi_21,docker_pull
191000000,2.0897362564621034,registry,rockpi_21,docker_pull
58000000,1.6022672632529762,rockpi_4,nano_12,data_download
58000000,1.9313834907794352,rockpi_4,nano_12,data_download
58000000,1.7800418638548905,rockpi_4,nano_12,data_download
103000000,2.572583918800184,rockpi_4,nano_9,data_download
58000000,1.508657558671331,rockpi_4,nano_12,data_download
20000000,0.16804302799156545,registry,rpi3_23,docker_pull
62000000,0.5129592250553117,registry,nx_13,docker_pull
40000000,0.6610623160263636,registry,rockpi_19,docker_pull
100000000,0.8262374712824112,registry,nano_21,docker_pull
100000000,0.8263033662280357,registry,nx_7,docker_pull
48000000,1.009044189361937,rockpi_4,rockpi_19,data_download
191000000,2.3020358115711446,registry,rockpi_19,docker_pull
58000000,1.7484036092032866,rockpi_4,nx_7,data_download
58000000,1.9241919514158674,rockpi_4,nx_7,data_download
103000000,2.8443113154007875,rockpi_4,nano_21,data_download
58000000,1.8326861976471278,rockpi_4,nx_7,data_download
58000000,1.5333757623342308,rockpi_4,nx_7,data_download
62000000,0.5146272306564441,registry,rockpi_14,docker_pull
40000000,0.6604448165815242,registry,rockpi_16,docker_pull
100000000,0.8263191514362305,registry,nano_20,docker_pull
100000000,0.8263261336159218,registry,nx_11,docker_pull
48000000,0.9880148769971413,rockpi_4,rockpi_16,data_download
191000000,2.3017279204157575,registry,rockpi_16,docker_pull
58000000,1.7646532662216003,rockpi_4,nx_11,data_download
58000000,1.7789744813326038,rockpi_4,nx_11,data_download
