value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140438396041200,nx_10
deploy,speech-inference,faas-workloads/speech-inference-tflite,140438396042640,rockpi_30
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140438396060000,rockpi_30
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140438396060864,nano_3
deploy,python-pi,faas-workloads/python-pi,140438396062016,rockpi_8
deploy,fio,faas-workloads/fio,140438396062832,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140438396041200,nx_3
deploy,speech-inference,faas-workloads/speech-inference-tflite,140438396042640,rockpi_8
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140438396060000,nx_10
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140438396060864,nano_17
deploy,python-pi,faas-workloads/python-pi,140438396062016,coral_1
deploy,fio,faas-workloads/fio,140438396062832,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140438396041200,nano_15
deploy,speech-inference,faas-workloads/speech-inference-tflite,140438396042640,coral_3
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140438396060000,rpi3_4
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140438396060864,nano_26
deploy,python-pi,faas-workloads/python-pi,140438396062016,rpi3_5
deploy,fio,faas-workloads/fio,140438396062832,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140438396041200,nx_13
deploy,speech-inference,faas-workloads/speech-inference-tflite,140438396042640,rockpi_13
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140438396060000,rockpi_13
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140438396060864,nano_18
deploy,python-pi,faas-workloads/python-pi,140438396062016,nx_3
deploy,fio,faas-workloads/fio,140438396062832,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140438396041200,nano_19
deploy,speech-inference,faas-workloads/speech-inference-tflite,140438396042640,rockpi_12
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140438396060000,rockpi_12
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140438396060864,nx_4
deploy,python-pi,faas-workloads/python-pi,140438396062016,rockpi_5
