value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_10,140438395938672
deploy,speech-inference,rockpi_30,140438395939536
deploy,resnet50-preprocessing,rockpi_30,140438396178192
deploy,resnet50-training,nano_3,140438396179152
deploy,python-pi,rockpi_8,140438396180112
deploy,fio,rpi3_3,140438396181072
startup,fio,rpi3_3,140438396181072
setup,fio,rpi3_3,140438396181072
finish,fio,rpi3_3,140438396181072
startup,python-pi,rockpi_8,140438396180112
setup,python-pi,rockpi_8,140438396180112
finish,python-pi,rockpi_8,140438396180112
startup,speech-inference,rockpi_30,140438395939536
setup,speech-inference,rockpi_30,140438395939536
startup,resnet50-inference,nx_10,140438395938672
setup,resnet50-inference,nx_10,140438395938672
startup,resnet50-training,nano_3,140438396179152
setup,resnet50-training,nano_3,140438396179152
finish,resnet50-training,nano_3,140438396179152
finish,speech-inference,rockpi_30,140438395939536
finish,resnet50-inference,nx_10,140438395938672
startup,resnet50-preprocessing,rockpi_30,140438396178192
setup,resnet50-preprocessing,rockpi_30,140438396178192
finish,resnet50-preprocessing,rockpi_30,140438396178192
deploy,resnet50-inference,nx_3,140438393993440
deploy,speech-inference,rockpi_8,140438394266736
deploy,resnet50-preprocessing,nx_10,140438394266880
deploy,resnet50-training,nano_17,140438394268800
deploy,python-pi,coral_1,140438394268944
deploy,fio,rpi3_3,140438394269904
startup,fio,rpi3_3,140438394269904
setup,fio,rpi3_3,140438394269904
finish,fio,rpi3_3,140438394269904
startup,speech-inference,rockpi_8,140438394266736
setup,speech-inference,rockpi_8,140438394266736
startup,python-pi,coral_1,140438394268944
setup,python-pi,coral_1,140438394268944
finish,python-pi,coral_1,140438394268944
finish,speech-inference,rockpi_8,140438394266736
startup,resnet50-inference,nx_3,140438393993440
setup,resnet50-inference,nx_3,140438393993440
startup,resnet50-training,nano_17,140438394268800
setup,resnet50-training,nano_17,140438394268800
finish,resnet50-training,nano_17,140438394268800
startup,resnet50-preprocessing,nx_10,140438394266880
setup,resnet50-preprocessing,nx_10,140438394266880
finish,resnet50-preprocessing,nx_10,140438394266880
finish,resnet50-inference,nx_3,140438393993440
deploy,resnet50-inference,nano_15,140438391770368
deploy,speech-inference,coral_3,140438391782416
deploy,resnet50-preprocessing,rpi3_4,140438391783376
deploy,resnet50-training,nano_26,140438391997152
deploy,python-pi,rpi3_5,140438391998160
deploy,fio,rpi3_21,140438391998928
startup,fio,rpi3_21,140438391998928
setup,fio,rpi3_21,140438391998928
finish,fio,rpi3_21,140438391998928
startup,speech-inference,coral_3,140438391782416
setup,speech-inference,coral_3,140438391782416
startup,python-pi,rpi3_5,140438391998160
setup,python-pi,rpi3_5,140438391998160
finish,python-pi,rpi3_5,140438391998160
finish,speech-inference,coral_3,140438391782416
startup,resnet50-inference,nano_15,140438391770368
setup,resnet50-inference,nano_15,140438391770368
startup,resnet50-training,nano_26,140438391997152
setup,resnet50-training,nano_26,140438391997152
finish,resnet50-training,nano_26,140438391997152
startup,resnet50-preprocessing,rpi3_4,140438391783376
setup,resnet50-preprocessing,rpi3_4,140438391783376
finish,resnet50-preprocessing,rpi3_4,140438391783376
finish,resnet50-inference,nano_15,140438391770368
deploy,resnet50-inference,nx_13,140438391540128
deploy,speech-inference,rockpi_13,140438391552128
deploy,resnet50-preprocessing,rockpi_13,140438391553280
deploy,resnet50-training,nano_18,140438391553424
deploy,python-pi,nx_3,140438389654096
deploy,fio,rpi3_21,140438389655104
startup,fio,rpi3_21,140438389655104
setup,fio,rpi3_21,140438389655104
finish,fio,rpi3_21,140438389655104
startup,python-pi,nx_3,140438389654096
setup,python-pi,nx_3,140438389654096
finish,python-pi,nx_3,140438389654096
startup,speech-inference,rockpi_13,140438391552128
setup,speech-inference,rockpi_13,140438391552128
startup,resnet50-inference,nx_13,140438391540128
setup,resnet50-inference,nx_13,140438391540128
startup,resnet50-training,nano_18,140438391553424
setup,resnet50-training,nano_18,140438391553424
finish,resnet50-training,nano_18,140438391553424
finish,speech-inference,rockpi_13,140438391552128
startup,resnet50-preprocessing,rockpi_13,140438391553280
setup,resnet50-preprocessing,rockpi_13,140438391553280
finish,resnet50-preprocessing,rockpi_13,140438391553280
finish,resnet50-inference,nx_13,140438391540128
deploy,resnet50-inference,nano_19,140438389267216
deploy,speech-inference,rockpi_12,140438389426880
deploy,resnet50-preprocessing,rockpi_12,140438389427744
deploy,resnet50-training,nx_4,140438389428656
deploy,python-pi,rockpi_5,140438389429424
deploy,fio,rpi3_22,140438389430192
startup,fio,rpi3_22,140438389430192
setup,fio,rpi3_22,140438389430192
finish,fio,rpi3_22,140438389430192
startup,python-pi,rockpi_5,140438389429424
setup,python-pi,rockpi_5,140438389429424
finish,python-pi,rockpi_5,140438389429424
startup,speech-inference,rockpi_12,140438389426880
setup,speech-inference,rockpi_12,140438389426880
startup,resnet50-inference,nano_19,140438389267216
setup,resnet50-inference,nano_19,140438389267216
startup,resnet50-training,nx_4,140438389428656
setup,resnet50-training,nx_4,140438389428656
finish,resnet50-training,nx_4,140438389428656
finish,speech-inference,rockpi_12,140438389426880
startup,resnet50-preprocessing,rockpi_12,140438389427744
setup,resnet50-preprocessing,rockpi_12,140438389427744
finish,resnet50-preprocessing,rockpi_12,140438389427744
finish,resnet50-inference,nano_19,140438389267216
deploy,resnet50-inference,nano_9,140438386982816
deploy,speech-inference,rockpi_5,140438387126288
deploy,resnet50-preprocessing,rockpi_21,140438387127152
deploy,resnet50-training,nano_12,140438387128064
deploy,python-pi,rockpi_21,140438387128880
deploy,fio,rpi3_22,140438387129648
startup,fio,rpi3_22,140438387129648
setup,fio,rpi3_22,140438387129648
finish,fio,rpi3_22,140438387129648
startup,speech-inference,rockpi_5,140438387126288
setup,speech-inference,rockpi_5,140438387126288
finish,speech-inference,rockpi_5,140438387126288
startup,resnet50-inference,nano_9,140438386982816
setup,resnet50-inference,nano_9,140438386982816
startup,resnet50-training,nano_12,140438387128064
setup,resnet50-training,nano_12,140438387128064
finish,resnet50-training,nano_12,140438387128064
startup,python-pi,rockpi_21,140438387128880
setup,python-pi,rockpi_21,140438387128880
finish,python-pi,rockpi_21,140438387128880
startup,resnet50-preprocessing,rockpi_21,140438387127152
setup,resnet50-preprocessing,rockpi_21,140438387127152
finish,resnet50-preprocessing,rockpi_21,140438387127152
finish,resnet50-inference,nano_9,140438386982816
deploy,resnet50-inference,nano_21,140438384930160
deploy,speech-inference,rockpi_19,140438385057056
deploy,resnet50-preprocessing,rockpi_19,140438385057920
deploy,resnet50-training,nx_7,140438385058832
deploy,python-pi,nx_13,140438385059744
deploy,fio,rpi3_23,140438385060416
startup,fio,rpi3_23,140438385060416
setup,fio,rpi3_23,140438385060416
finish,fio,rpi3_23,140438385060416
startup,python-pi,nx_13,140438385059744
setup,python-pi,nx_13,140438385059744
finish,python-pi,nx_13,140438385059744
startup,speech-inference,rockpi_19,140438385057056
setup,speech-inference,rockpi_19,140438385057056
startup,resnet50-inference,nano_21,140438384930160
setup,resnet50-inference,nano_21,140438384930160
startup,resnet50-training,nx_7,140438385058832
setup,resnet50-training,nx_7,140438385058832
finish,resnet50-training,nx_7,140438385058832
finish,speech-inference,rockpi_19,140438385057056
startup,resnet50-preprocessing,rockpi_19,140438385057920
setup,resnet50-preprocessing,rockpi_19,140438385057920
finish,resnet50-preprocessing,rockpi_19,140438385057920
finish,resnet50-inference,nano_21,140438384930160
deploy,resnet50-inference,nano_20,140438382737632
deploy,speech-inference,rockpi_16,140438382930928
deploy,resnet50-preprocessing,rockpi_16,140438382931792
deploy,resnet50-training,nx_11,140438382932704
deploy,python-pi,rockpi_14,140438382933472
deploy,fio,rpi3_23,140438382934288
startup,fio,rpi3_23,140438382934288
setup,fio,rpi3_23,140438382934288
finish,fio,rpi3_23,140438382934288
startup,python-pi,rockpi_14,140438382933472
setup,python-pi,rockpi_14,140438382933472
finish,python-pi,rockpi_14,140438382933472
startup,speech-inference,rockpi_16,140438382930928
setup,speech-inference,rockpi_16,140438382930928
startup,resnet50-inference,nano_20,140438382737632
setup,resnet50-inference,nano_20,140438382737632
startup,resnet50-training,nx_11,140438382932704
setup,resnet50-training,nx_11,140438382932704
finish,resnet50-training,nx_11,140438382932704
finish,speech-inference,rockpi_16,140438382930928
startup,resnet50-preprocessing,rockpi_16,140438382931792
setup,resnet50-preprocessing,rockpi_16,140438382931792
finish,resnet50-preprocessing,rockpi_16,140438382931792
finish,resnet50-inference,nano_20,140438382737632
deploy,resnet50-inference,nano_22,140438380922336
deploy,speech-inference,rockpi_14,140438380934672
deploy,resnet50-preprocessing,nx_4,140438380934768
deploy,resnet50-training,nano_10,140438380936880
deploy,python-pi,rockpi_10,140438380935392
deploy,fio,rpi3_27,140438378989264
startup,fio,rpi3_27,140438378989264
setup,fio,rpi3_27,140438378989264
finish,fio,rpi3_27,140438378989264
startup,speech-inference,rockpi_14,140438380934672
setup,speech-inference,rockpi_14,140438380934672
startup,python-pi,rockpi_10,140438380935392
setup,python-pi,rockpi_10,140438380935392
finish,python-pi,rockpi_10,140438380935392
finish,speech-inference,rockpi_14,140438380934672
startup,resnet50-inference,nano_22,140438380922336
setup,resnet50-inference,nano_22,140438380922336
startup,resnet50-training,nano_10,140438380936880
setup,resnet50-training,nano_10,140438380936880
finish,resnet50-training,nano_10,140438380936880
startup,resnet50-preprocessing,nx_4,140438380934768
setup,resnet50-preprocessing,nx_4,140438380934768
finish,resnet50-preprocessing,nx_4,140438380934768
finish,resnet50-inference,nano_22,140438380922336
deploy,resnet50-inference,nano_11,140438378948080
deploy,speech-inference,rockpi_10,140438376994256
deploy,resnet50-preprocessing,nx_7,140438376995120
deploy,resnet50-training,nano_28,140438376996032
deploy,python-pi,rockpi_0,140438376996800
deploy,fio,rpi3_27,140438376997568
startup,fio,rpi3_27,140438376997568
setup,fio,rpi3_27,140438376997568
finish,fio,rpi3_27,140438376997568
startup,speech-inference,rockpi_10,140438376994256
setup,speech-inference,rockpi_10,140438376994256
startup,python-pi,rockpi_0,140438376996800
