value,name,function_id
deploy,resnet50-inference,140491439798304
deploy,resnet50-inference-downtown,140491439799360
deploy,resnet50-inference-suburb,140491439817008
deploy,resnet50-inference-industrial,140491439818208
deploy,speech-inference,140491439819408
deploy,speech-inference-downtown,140491439820608
deploy,speech-inference-suburb,140491439821808
deploy,resnet50-preprocessing,140491439823008
deploy,resnet50-training,140491439823824
deploy,resnet50-training-downtown,140491439825024
deploy,python-pi,140491439826224
deploy,python-pi-downtown,140491439827040
deploy,python-pi-suburb,140491439827856
deploy,python-pi-industrial,140491439828672
deploy,python-pi-residential,140491439829488
deploy,fio,140491439830304
deploy,fio-downtown,140491439831120
