t_fet_start,t_fet_end,t_wait_start,t_wait_end,function_name,function_image,node,replica_id,request_id
5.021948428408071,5.694750845789234,5.021948428408071,5.021948428408071,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_0,140386780856176,2
5.060953361697662,5.734365716095231,5.060953361697662,5.060953361697662,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_15,140386780572896,5
5.487308367976924,5.86057756432524,5.487308367976924,5.487308367976924,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140386780572032,24
5.227993959508214,5.92070351398065,5.227993959508214,5.227993959508214,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nano_17,140386780855216,11
5.3923224842011575,6.062228752846805,5.3923224842011575,5.3923224842011575,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nano_17,140386780855216,17
5.2030374928090835,6.108361303821514,5.2030374928090835,5.2030374928090835,python-pi-downtown,faas-workloads/python-pi,rockpi_16,140386780945840,9
5.453719670272056,6.135913833823371,5.453719670272056,5.453719670272056,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_15,140386780572896,21
5.476272500178067,6.153124099256139,5.476272500178067,5.476272500178067,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_15,140386780572896,23
5.279419310145846,6.190876771499586,5.279419310145846,5.279419310145846,python-pi-suburb,faas-workloads/python-pi,rockpi_23,140386780946800,14
5.839498492940165,6.220359307050839,5.839498492940165,5.839498492940165,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140386780572032,40
5.566192869621165,6.253279206858145,5.566192869621165,5.566192869621165,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_15,140386780572896,26
5.444022027681724,6.348852746022318,5.444022027681724,5.444022027681724,python-pi-industrial,faas-workloads/python-pi,rockpi_23,140386780947760,20
5.5230891422451,6.437560978875391,5.5230891422451,5.5230891422451,python-pi-downtown,faas-workloads/python-pi,rockpi_16,140386780945840,25
5.772995353238174,6.452650010866513,5.772995353238174,5.772995353238174,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nano_17,140386780855216,36
