value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140491439679728,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140491439680592,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140491439679728,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140491439679728,nx_0,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140491439979392,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140491439980352,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140491440063296,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140491440064256,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140491440065216,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140491440066176,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140491440067136,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140491440068096,,
queue,python-pi,faas-workloads/python-pi,140491440069056,,
queue,python-pi-downtown,faas-workloads/python-pi,140491440070016,,
queue,python-pi-suburb,faas-workloads/python-pi,140491440070976,,
queue,python-pi-industrial,faas-workloads/python-pi,140491440071936,,
queue,python-pi-residential,faas-workloads/python-pi,140491440072896,,
queue,fio,faas-workloads/fio,140491440073856,,
queue,fio-downtown,faas-workloads/fio,140491440074816,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140491439680592,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140491439680592,nano_15,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140491439979392,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140491439979392,nano_17,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140491439980352,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140491439980352,nano_0,True
start,speech-inference,faas-workloads/speech-inference-tflite,140491440063296,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140491440063296,rockpi_30,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140491440064256,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140491440064256,rockpi_30,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140491440065216,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140491440065216,rockpi_25,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140491440066176,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140491440066176,rockpi_25,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140491440067136,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140491440067136,nx_12,True
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140491440068096,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140491440068096,nano_1,True
start,python-pi,faas-workloads/python-pi,140491440069056,,
finish,python-pi,faas-workloads/python-pi,140491440069056,rockpi_16,True
start,python-pi-downtown,faas-workloads/python-pi,140491440070016,,
finish,python-pi-downtown,faas-workloads/python-pi,140491440070016,rockpi_16,True
start,python-pi-suburb,faas-workloads/python-pi,140491440070976,,
finish,python-pi-suburb,faas-workloads/python-pi,140491440070976,rockpi_23,True
start,python-pi-industrial,faas-workloads/python-pi,140491440071936,,
finish,python-pi-industrial,faas-workloads/python-pi,140491440071936,rockpi_23,True
start,python-pi-residential,faas-workloads/python-pi,140491440072896,,
finish,python-pi-residential,faas-workloads/python-pi,140491440072896,nx_0,True
start,fio,faas-workloads/fio,140491440073856,,
finish,fio,faas-workloads/fio,140491440073856,rpi3_21,True
start,fio-downtown,faas-workloads/fio,140491440074816,,
finish,fio-downtown,faas-workloads/fio,140491440074816,rpi3_21,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140491429127568,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140491429549424,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140491429127568,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140491429127568,nano_2,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140491429550048,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140491429551248,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140491429551776,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140491429552640,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140491429553504,,
queue,python-pi,faas-workloads/python-pi,140491429555184,,
queue,python-pi-downtown,faas-workloads/python-pi,140491429555952,,
queue,python-pi-suburb,faas-workloads/python-pi,140491429556384,,
queue,python-pi-industrial,faas-workloads/python-pi,140491429557248,,
queue,python-pi-residential,faas-workloads/python-pi,140491429558112,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140491429549424,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140491429549424,nx_10,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140491429550048,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140491429550048,nano_12,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140491429551248,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140491429551248,nx_13,True
start,speech-inference,faas-workloads/speech-inference-tflite,140491429551776,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140491429551776,coral_0,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140491429552640,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140491429552640,rpi3_22,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140491429553504,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140491429553504,rpi3_23,True
start,python-pi,faas-workloads/python-pi,140491429555184,,
finish,python-pi,faas-workloads/python-pi,140491429555184,rpi3_27,True
start,python-pi-downtown,faas-workloads/python-pi,140491429555952,,
finish,python-pi-downtown,faas-workloads/python-pi,140491429555952,rpi3_28,True
start,python-pi-suburb,faas-workloads/python-pi,140491429556384,,
finish,python-pi-suburb,faas-workloads/python-pi,140491429556384,rpi3_29,True
start,python-pi-industrial,faas-workloads/python-pi,140491429557248,,
finish,python-pi-industrial,faas-workloads/python-pi,140491429557248,rockpi_4,True
start,python-pi-residential,faas-workloads/python-pi,140491429558112,,
finish,python-pi-residential,faas-workloads/python-pi,140491429558112,rockpi_4,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140491437838048,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140491428329600,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140491437838048,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140491437838048,nx_14,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140491426610432,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140491426891808,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140491426891232,,
