value,name,function_id
deploy,resnet50-inference,140659373537360
deploy,resnet50-inference-downtown,140659373538416
deploy,resnet50-inference-suburb,140659373539680
deploy,resnet50-inference-industrial,140659373540880
deploy,speech-inference,140659373542080
deploy,speech-inference-downtown,140659373543280
deploy,speech-inference-suburb,140659373544480
deploy,resnet50-preprocessing,140659373545680
deploy,resnet50-training,140659373546496
deploy,resnet50-training-downtown,140659373547696
deploy,python-pi,140659373548896
deploy,python-pi-downtown,140659373549712
deploy,python-pi-suburb,140659373550528
deploy,python-pi-industrial,140659373551344
deploy,python-pi-residential,140659373552160
deploy,fio,140659373552976
deploy,fio-downtown,140659373553792
