value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140386780572032,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140386780572896,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140386780572032,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140386780572032,nx_0,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140386780855216,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140386780856176,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140386780939120,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140386780940080,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140386780941040,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140386780942000,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140386780942960,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140386780943920,,
queue,python-pi,faas-workloads/python-pi,140386780944880,,
queue,python-pi-downtown,faas-workloads/python-pi,140386780945840,,
queue,python-pi-suburb,faas-workloads/python-pi,140386780946800,,
queue,python-pi-industrial,faas-workloads/python-pi,140386780947760,,
queue,python-pi-residential,faas-workloads/python-pi,140386780948720,,
queue,fio,faas-workloads/fio,140386780949680,,
queue,fio-downtown,faas-workloads/fio,140386780950640,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140386780572896,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140386780572896,nano_15,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140386780855216,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140386780855216,nano_17,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140386780856176,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140386780856176,nano_0,True
start,speech-inference,faas-workloads/speech-inference-tflite,140386780939120,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140386780939120,rockpi_30,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140386780940080,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140386780940080,rockpi_30,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140386780941040,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140386780941040,rockpi_25,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140386780942000,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140386780942000,rockpi_25,True
