t_wait,t_exec,t_start,memory,function_name,function_image,node,replica_id
0.0,0.3934641795405316,6.134671811746219,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_0,140329645875280
0.0,0.394814770701986,6.149519248416497,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_0,140329645875280
0.0,0.38731115929296145,6.270181299348979,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_0,140329645875280
0.0,0.6989006485743259,6.12989674180602,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_9,140329646147856
0.0,0.6850797087232818,6.185312592097267,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_16,140329646148816
0.0,0.38915770272249883,6.524324612281853,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_1,140329646146896
0.0,0.7467387149667823,6.268176878503687,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_15,140329646149776
0.0,0.38121729004239935,6.696872346717482,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_0,140329645875280
0.0,0.7181622180423677,6.390440598699014,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_21,140329645874416
0.0,0.38365717251646103,6.759958841768913,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_0,140329645875280
0.0,0.7047083839928643,6.469128533661896,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_16,140329646148816
0.0,0.7085402946134822,6.488789492103222,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_9,140329646147856
0.0,0.3843976108600593,6.834908286902573,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_1,140329646146896
0.0,0.6839876784123913,6.591881451174929,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_15,140329646149776
0.0,0.6878940395312769,6.624137041676901,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_15,140329646149776
0.0,0.4171289786427774,6.995072773720602,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_0,140329645875280
0.0,0.3881300310926292,7.04489631311588,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_1,140329646146896
0.0,0.7731106998708528,6.689328211984174,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_9,140329646147856
0.0,0.7684964066922344,6.735027766161043,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_9,140329646147856
0.0,0.8410980639336625,6.664545704026588,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_15,140329646149776
0.0,0.9331725269480096,6.620949373397898,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_21,140329645874416
0.0,0.6950327473982787,6.88804372520549,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_16,140329646148816
0.0,0.7582222573780575,6.891239508672919,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_9,140329646147856
0.0,0.7623296410495897,6.923803241693518,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_15,140329646149776
0.0,0.7628036249974564,7.092630552693024,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_16,140329646148816
0.0,0.6963548160367781,7.16915042218019,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_9,140329646147856
0.0,0.6949906746625505,7.175466138624423,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_21,140329645874416
0.0,0.3837512630291462,7.519156262889476,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_1,140329646146896
0.0,1.0048026337845188,6.9720126170173495,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_15,140329646149776
0.0,0.7864886372269897,7.263330881191155,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_15,140329646149776
0.0,0.7287133827164469,7.338978158764143,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_16,140329646148816
0.0,0.7219372940816369,7.4634626186594675,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_9,140329646147856
0.0,0.3840464214876853,7.8192520820544935,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_0,140329645875280
0.0,0.7322979927593876,7.476381320700342,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_9,140329646147856
0.0,0.7346831024111236,7.499602387050393,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_21,140329645874416
0.0,0.8940078628964834,7.377438989832738,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_15,140329646149776
