value,function_name,node_name,replica_id
deploy,resnet50-inference,nano_21,140329645874416
deploy,resnet50-inference-downtown,tx2_0,140329645875280
deploy,resnet50-inference-suburb,tx2_1,140329646146896
deploy,resnet50-inference-industrial,nano_9,140329646147856
deploy,resnet50-inference-residential,nano_16,140329646148816
deploy,resnet50-inference-commercial,nano_15,140329646149776
deploy,resnet50-training,nano_0,140329646150736
deploy,resnet50-training-downtown,nano_0,140329646151696
startup,resnet50-training-downtown,nano_0,140329646151696
setup,resnet50-training-downtown,nano_0,140329646151696
finish,resnet50-training-downtown,nano_0,140329646151696
startup,resnet50-inference,nano_21,140329645874416
setup,resnet50-inference,nano_21,140329645874416
startup,resnet50-inference-downtown,tx2_0,140329645875280
setup,resnet50-inference-downtown,tx2_0,140329645875280
startup,resnet50-inference-suburb,tx2_1,140329646146896
setup,resnet50-inference-suburb,tx2_1,140329646146896
startup,resnet50-inference-industrial,nano_9,140329646147856
setup,resnet50-inference-industrial,nano_9,140329646147856
startup,resnet50-inference-residential,nano_16,140329646148816
setup,resnet50-inference-residential,nano_16,140329646148816
startup,resnet50-inference-commercial,nano_15,140329646149776
setup,resnet50-inference-commercial,nano_15,140329646149776
startup,resnet50-training,nano_0,140329646150736
setup,resnet50-training,nano_0,140329646150736
finish,resnet50-training,nano_0,140329646150736
deploy,resnet50-inference,nano_1,140329645506368
deploy,resnet50-inference-industrial,nano_17,140329643875712
deploy,resnet50-inference-residential,nano_19,140329643876672
deploy,resnet50-inference-commercial,nano_14,140329643877392
deploy,resnet50-training,nano_20,140329643878160
deploy,resnet50-training-downtown,nano_20,140329643878928
startup,resnet50-training-downtown,nano_20,140329643878928
setup,resnet50-training-downtown,nano_20,140329643878928
finish,resnet50-training-downtown,nano_20,140329643878928
startup,resnet50-inference-industrial,nano_17,140329643875712
setup,resnet50-inference-industrial,nano_17,140329643875712
startup,resnet50-inference,nano_1,140329645506368
setup,resnet50-inference,nano_1,140329645506368
startup,resnet50-inference-residential,nano_19,140329643876672
setup,resnet50-inference-residential,nano_19,140329643876672
startup,resnet50-inference-commercial,nano_14,140329643877392
setup,resnet50-inference-commercial,nano_14,140329643877392
startup,resnet50-training,nano_20,140329643878160
setup,resnet50-training,nano_20,140329643878160
finish,resnet50-training,nano_20,140329643878160
finish,resnet50-inference,nano_21,140329645874416
finish,resnet50-inference-residential,nano_16,140329646148816
finish,resnet50-inference-industrial,nano_9,140329646147856
finish,resnet50-inference-downtown,tx2_0,140329645875280
finish,resnet50-inference-commercial,nano_15,140329646149776
finish,resnet50-inference-suburb,tx2_1,140329646146896
deploy,resnet50-inference,nano_8,140329641591760
deploy,resnet50-inference-industrial,nano_12,140329641828768
deploy,resnet50-inference-residential,tx2_2,140329641829728
deploy,resnet50-inference-commercial,tx2_3,140329641830448
deploy,resnet50-training,nano_10,140329641831216
deploy,resnet50-training-downtown,nano_10,140329641831984
startup,resnet50-training-downtown,nano_10,140329641831984
setup,resnet50-training-downtown,nano_10,140329641831984
finish,resnet50-training-downtown,nano_10,140329641831984
startup,resnet50-inference,nano_8,140329641591760
setup,resnet50-inference,nano_8,140329641591760
startup,resnet50-inference-industrial,nano_12,140329641828768
setup,resnet50-inference-industrial,nano_12,140329641828768
startup,resnet50-inference-residential,tx2_2,140329641829728
setup,resnet50-inference-residential,tx2_2,140329641829728
startup,resnet50-inference-commercial,tx2_3,140329641830448
setup,resnet50-inference-commercial,tx2_3,140329641830448
startup,resnet50-training,nano_10,140329641831216
setup,resnet50-training,nano_10,140329641831216
finish,resnet50-training,nano_10,140329641831216
deploy,resnet50-inference,nano_13,140329639368288
deploy,resnet50-inference-industrial,nano_18,140329639556144
deploy,resnet50-inference-residential,nano_22,140329639557104
deploy,resnet50-inference-commercial,nx_0,140329639557824
deploy,resnet50-training,nx_0,140329639558592
deploy,resnet50-training-downtown,nx_1,140329639756032
startup,resnet50-inference,nano_13,140329639368288
setup,resnet50-inference,nano_13,140329639368288
startup,resnet50-inference-industrial,nano_18,140329639556144
setup,resnet50-inference-industrial,nano_18,140329639556144
startup,resnet50-inference-residential,nano_22,140329639557104
setup,resnet50-inference-residential,nano_22,140329639557104
startup,resnet50-training-downtown,nx_1,140329639756032
setup,resnet50-training-downtown,nx_1,140329639756032
finish,resnet50-training-downtown,nx_1,140329639756032
startup,resnet50-inference-commercial,nx_0,140329639557824
setup,resnet50-inference-commercial,nx_0,140329639557824
startup,resnet50-training,nx_0,140329639558592
setup,resnet50-training,nx_0,140329639558592
finish,resnet50-training,nx_0,140329639558592
deploy,resnet50-inference,nx_0,140329637430992
startup,resnet50-inference,nx_0,140329637430992
setup,resnet50-inference,nx_0,140329637430992
deploy,resnet50-inference-industrial,tx2_4,140329637602464
deploy,resnet50-inference-residential,nx_1,140329637603424
deploy,resnet50-inference-commercial,nx_1,140329637604144
startup,resnet50-inference-commercial,nx_1,140329637604144
setup,resnet50-inference-commercial,nx_1,140329637604144
deploy,resnet50-training,nano_11,140329637604912
deploy,resnet50-training-downtown,nano_11,140329637605680
startup,resnet50-training-downtown,nano_11,140329637605680
setup,resnet50-training-downtown,nano_11,140329637605680
finish,resnet50-training-downtown,nano_11,140329637605680
startup,resnet50-inference-industrial,tx2_4,140329637602464
setup,resnet50-inference-industrial,tx2_4,140329637602464
startup,resnet50-training,nano_11,140329637604912
setup,resnet50-training,nano_11,140329637604912
finish,resnet50-training,nano_11,140329637604912
startup,resnet50-inference-residential,nx_1,140329637603424
setup,resnet50-inference-residential,nx_1,140329637603424
deploy,resnet50-inference,tx2_5,140329640048000
deploy,resnet50-inference-industrial,tx2_6,140329635408016
deploy,resnet50-inference-residential,nano_2,140329635408976
deploy,resnet50-training,nano_3,140329635409792
deploy,resnet50-training-downtown,nano_3,140329635410560
startup,resnet50-training-downtown,nano_3,140329635410560
setup,resnet50-training-downtown,nano_3,140329635410560
finish,resnet50-training-downtown,nano_3,140329635410560
startup,resnet50-inference,tx2_5,140329640048000
setup,resnet50-inference,tx2_5,140329640048000
startup,resnet50-inference-industrial,tx2_6,140329635408016
setup,resnet50-inference-industrial,tx2_6,140329635408016
startup,resnet50-inference-residential,nano_2,140329635408976
setup,resnet50-inference-residential,nano_2,140329635408976
startup,resnet50-training,nano_3,140329635409792
setup,resnet50-training,nano_3,140329635409792
finish,resnet50-training,nano_3,140329635409792
finish,resnet50-inference,nano_1,140329645506368
deploy,resnet50-inference,nano_4,140329636805456
deploy,resnet50-inference-industrial,nano_5,140329633259984
deploy,resnet50-inference-residential,nano_6,140329633260944
deploy,resnet50-training,nano_7,140329633261760
deploy,resnet50-training-downtown,nano_7,140329633262528
startup,resnet50-training-downtown,nano_7,140329633262528
setup,resnet50-training-downtown,nano_7,140329633262528
finish,resnet50-training-downtown,nano_7,140329633262528
finish,resnet50-inference-residential,nano_19,140329643876672
finish,resnet50-inference-industrial,nano_17,140329643875712
finish,resnet50-inference-commercial,nano_14,140329643877392
startup,resnet50-inference,nano_4,140329636805456
setup,resnet50-inference,nano_4,140329636805456
startup,resnet50-inference-industrial,nano_5,140329633259984
setup,resnet50-inference-industrial,nano_5,140329633259984
startup,resnet50-inference-residential,nano_6,140329633260944
setup,resnet50-inference-residential,nano_6,140329633260944
startup,resnet50-training,nano_7,140329633261760
setup,resnet50-training,nano_7,140329633261760
finish,resnet50-training,nano_7,140329633261760
deploy,resnet50-inference,xeongpu_0,140329637875904
deploy,resnet50-inference-industrial,xeongpu_1,140329631085568
deploy,resnet50-inference-residential,xeongpu_2,140329631086528
deploy,resnet50-training,nano_21,140329631087344
deploy,resnet50-training-downtown,nano_9,140329631088112
startup,resnet50-training,nano_21,140329631087344
setup,resnet50-training,nano_21,140329631087344
finish,resnet50-training,nano_21,140329631087344
startup,resnet50-training-downtown,nano_9,140329631088112
setup,resnet50-training-downtown,nano_9,140329631088112
finish,resnet50-training-downtown,nano_9,140329631088112
startup,resnet50-inference,xeongpu_0,140329637875904
setup,resnet50-inference,xeongpu_0,140329637875904
startup,resnet50-inference-industrial,xeongpu_1,140329631085568
setup,resnet50-inference-industrial,xeongpu_1,140329631085568
startup,resnet50-inference-residential,xeongpu_2,140329631086528
setup,resnet50-inference-residential,xeongpu_2,140329631086528
deploy,resnet50-inference,tx2_0,140329630805168
startup,resnet50-inference,tx2_0,140329630805168
setup,resnet50-inference,tx2_0,140329630805168
deploy,resnet50-inference-downtown,tx2_1,140329629156832
startup,resnet50-inference-downtown,tx2_1,140329629156832
setup,resnet50-inference-downtown,tx2_1,140329629156832
deploy,resnet50-inference-suburb,nano_16,140329629158848
startup,resnet50-inference-suburb,nano_16,140329629158848
setup,resnet50-inference-suburb,nano_16,140329629158848
deploy,resnet50-inference-industrial,nano_15,140329629157456
startup,resnet50-inference-industrial,nano_15,140329629157456
setup,resnet50-inference-industrial,nano_15,140329629157456
deploy,resnet50-inference-residential,nano_1,140329629159088
startup,resnet50-inference-residential,nano_1,140329629159088
setup,resnet50-inference-residential,nano_1,140329629159088
deploy,resnet50-inference-commercial,nano_17,140329629159040
startup,resnet50-inference-commercial,nano_17,140329629159040
