timestamp,strategy,deployment,action,old_replica_count,new_replica_count,selected_node,selected_node_type,current_load_rps,avg_response_time_ms,reason,scaling_direction
5,HighPerformanceShortTimeBinPacker,resnet50-inference,scale_up,1,2,xeongpu_0,xeongpu,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,resnet50-inference-downtown,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,HighPerformanceShortTimeBinPacker,resnet50-inference-suburb,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,HighPerformanceShortTimeBinPacker,resnet50-inference-industrial,scale_up,1,2,xeongpu_0,xeongpu,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,resnet50-inference-residential,scale_up,1,2,xeongpu_0,xeongpu,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,resnet50-inference-commercial,scale_up,1,2,xeongpu_0,xeongpu,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,resnet50-training,scale_up,1,2,xeongpu_0,xeongpu,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,resnet50-training-downtown,scale_up,1,2,xeongpu_0,xeongpu,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,resnet50-inference,scale_up,2,3,xeongpu_0,xeongpu,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,resnet50-inference-downtown,no_action,1,1,,,2.8,0.0,Within thresholds,0
10,HighPerformanceShortTimeBinPacker,resnet50-inference-suburb,no_action,1,1,,,1.2,0.0,Within thresholds,0
10,HighPerformanceShortTimeBinPacker,resnet50-inference-industrial,scale_up,2,3,xeongpu_0,xeongpu,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,resnet50-inference-residential,scale_up,2,3,xeongpu_0,xeongpu,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,resnet50-inference-commercial,scale_up,2,3,xeongpu_0,xeongpu,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,resnet50-training,scale_up,2,3,xeongpu_0,xeongpu,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,resnet50-training-downtown,scale_up,2,3,xeongpu_0,xeongpu,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,resnet50-inference,scale_up,3,4,xeongpu_0,xeongpu,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,resnet50-inference-downtown,no_action,1,1,,,2.8,0.0,Within thresholds,0
15,HighPerformanceShortTimeBinPacker,resnet50-inference-suburb,no_action,1,1,,,3.4,0.0,Within thresholds,0
15,HighPerformanceShortTimeBinPacker,resnet50-inference-industrial,scale_up,3,4,xeongpu_0,xeongpu,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,resnet50-inference-residential,scale_up,3,4,xeongpu_0,xeongpu,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,resnet50-inference-commercial,scale_up,3,4,xeongpu_0,xeongpu,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,resnet50-training,scale_up,3,4,xeongpu_0,xeongpu,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,resnet50-training-downtown,scale_up,3,4,xeongpu_0,xeongpu,0.0,0.0,,1
20,HighPerformanceShortTimeBinPacker,resnet50-inference,scale_up,4,5,xeongpu_0,xeongpu,0.0,0.0,,1
20,HighPerformanceShortTimeBinPacker,resnet50-inference-downtown,no_action,1,1,,,2.6,0.0,Within thresholds,0
20,HighPerformanceShortTimeBinPacker,resnet50-inference-suburb,no_action,1,1,,,2.8,0.0,Within thresholds,0
20,HighPerformanceShortTimeBinPacker,resnet50-inference-industrial,scale_up,4,5,xeongpu_0,xeongpu,0.0,0.0,,1
20,HighPerformanceShortTimeBinPacker,resnet50-inference-residential,scale_up,4,5,xeongpu_0,xeongpu,0.0,0.0,,1
