bytes,duration,source,sink,action_type
100000000,2.4588497290071643,registry,nx_0,docker_pull
103000000,2.5477520486143623,nuc_15,nx_0,data_download
103000000,2.5452403499311993,nuc_15,nx_0,data_download
103000000,0.9158264894406956,nuc_15,nx_0,data_download
100000000,0.8275957952384019,registry,tx2_0,docker_pull
100000000,0.8277509076409517,registry,nano_0,docker_pull
100000000,0.8262953577880596,registry,tx2_16,docker_pull
103000000,2.538226251896008,nuc_15,tx2_0,data_download
103000000,2.5418579258639893,nuc_15,nano_0,data_download
103000000,2.5402989600766324,nuc_15,tx2_16,data_download
100000000,0.8264216176780224,registry,nano_14,docker_pull
100000000,0.8261107152440896,registry,nano_34,docker_pull
100000000,0.8261698344805897,registry,nano_39,docker_pull
103000000,2.5380378310875447,nuc_15,nano_14,data_download
103000000,2.5431796444222705,nuc_15,nano_34,data_download
103000000,2.538547497537232,nuc_15,nano_39,data_download
100000000,2.4568998657838748,registry,nx_7,docker_pull
103000000,2.5452147593851784,nuc_15,nx_7,data_download
103000000,2.546457284356986,nuc_15,nx_7,data_download
103000000,0.9161116111339851,nuc_15,nx_7,data_download
100000000,2.4574961312927286,registry,nx_8,docker_pull
103000000,2.5450185145943145,nuc_15,nx_8,data_download
103000000,2.544351489314735,nuc_15,nx_8,data_download
103000000,0.9157889583498502,nuc_15,nx_8,data_download
100000000,2.4573012818675224,registry,nx_9,docker_pull
103000000,2.5468551045590644,nuc_15,nx_9,data_download
103000000,2.5445334490857654,nuc_15,nx_9,data_download
103000000,0.9162565147337922,nuc_15,nx_9,data_download
100000000,0.8277167610882685,registry,tx2_1,docker_pull
100000000,0.8276487804355597,registry,tx2_2,docker_pull
100000000,0.8262815970085953,registry,nx_13,docker_pull
103000000,2.5417687041042356,nuc_15,tx2_1,data_download
103000000,2.541460368867874,nuc_15,nx_13,data_download
103000000,2.5461190220281367,nuc_15,tx2_2,data_download
100000000,0.8262312432465606,registry,nano_13,docker_pull
103000000,2.121206103219542,nuc_15,nx_13,data_download
103000000,2.125003105817676,nuc_15,nx_13,data_download
103000000,1.7106856352433795,nuc_15,nano_13,data_download
100000000,0.8275856202181657,registry,tx2_3,docker_pull
100000000,1.6430220514773595,registry,nx_15,docker_pull
103000000,1.7328631093322855,nuc_15,nx_15,data_download
103000000,1.7348023190259596,nuc_15,tx2_3,data_download
103000000,1.1871284226778158,nuc_15,nx_15,data_download
100000000,0.8261791480002074,registry,tx2_15,docker_pull
100000000,0.8277881378144727,registry,nano_1,docker_pull
103000000,0.880013002146022,nuc_15,nx_15,data_download
103000000,1.2964317593014698,nuc_15,tx2_15,data_download
103000000,1.501649016992559,nuc_15,nano_1,data_download
100000000,0.8279363195980594,registry,nano_2,docker_pull
100000000,0.8275569309430111,registry,nano_3,docker_pull
100000000,0.8275871390919818,registry,tx2_4,docker_pull
103000000,2.5372472668451067,nuc_15,nano_2,data_download
103000000,2.5405734291814426,nuc_15,nano_3,data_download
103000000,2.539223900744993,nuc_15,tx2_4,data_download
