value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_0,140241966488816
deploy,resnet50-inference-downtown,nx_0,140241966489680
startup,resnet50-inference-downtown,nx_0,140241966489680
setup,resnet50-inference-downtown,nx_0,140241966489680
deploy,resnet50-inference-suburb,nx_0,140241965281536
startup,resnet50-inference-suburb,nx_0,140241965281536
setup,resnet50-inference-suburb,nx_0,140241965281536
startup,resnet50-inference,nx_0,140241966488816
setup,resnet50-inference,nx_0,140241966488816
finish,resnet50-inference-downtown,nx_0,140241966489680
finish,resnet50-inference-suburb,nx_0,140241965281536
finish,resnet50-inference,nx_0,140241966488816
deploy,resnet50-inference,tx2_0,140241959507024
deploy,resnet50-inference-downtown,nano_0,140241956951696
deploy,resnet50-inference-suburb,tx2_16,140241956953712
startup,resnet50-inference,tx2_0,140241959507024
setup,resnet50-inference,tx2_0,140241959507024
startup,resnet50-inference-downtown,nano_0,140241956951696
setup,resnet50-inference-downtown,nano_0,140241956951696
startup,resnet50-inference-suburb,tx2_16,140241956953712
setup,resnet50-inference-suburb,tx2_16,140241956953712
finish,resnet50-inference,tx2_0,140241959507024
finish,resnet50-inference-downtown,nano_0,140241956951696
finish,resnet50-inference-suburb,tx2_16,140241956953712
deploy,resnet50-inference,nano_14,140241951140704
deploy,resnet50-inference-downtown,nano_34,140241948552944
deploy,resnet50-inference-suburb,nano_39,140241948554960
startup,resnet50-inference,nano_14,140241951140704
setup,resnet50-inference,nano_14,140241951140704
startup,resnet50-inference-downtown,nano_34,140241948552944
setup,resnet50-inference-downtown,nano_34,140241948552944
startup,resnet50-inference-suburb,nano_39,140241948554960
setup,resnet50-inference-suburb,nano_39,140241948554960
finish,resnet50-inference,nano_14,140241951140704
finish,resnet50-inference-downtown,nano_34,140241948552944
finish,resnet50-inference-suburb,nano_39,140241948554960
deploy,resnet50-inference,nx_7,140241942787648
deploy,resnet50-inference-downtown,nx_7,140241940118640
startup,resnet50-inference-downtown,nx_7,140241940118640
setup,resnet50-inference-downtown,nx_7,140241940118640
