value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241966488816,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241966489680,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241966488816,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241966488816,nx_0,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241965281536,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241966489680,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241966489680,nx_0,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241965281536,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241965281536,nx_0,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241959507024,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241956951696,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241959507024,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241959507024,tx2_0,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241956953712,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241956951696,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241956951696,nano_0,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241956953712,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241956953712,tx2_16,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241951140704,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241948552944,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241951140704,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241951140704,nano_14,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241948554960,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241948552944,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241948552944,nano_34,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241948554960,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241948554960,nano_39,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241942787648,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241940118640,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241942787648,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241942787648,nx_7,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241940119456,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241940118640,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241940118640,nx_7,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241940119456,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241940119456,nx_7,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241934432960,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241931862512,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241934432960,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241934432960,nx_8,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241931863376,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241931862512,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241931862512,nx_8,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241931863376,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241931863376,nx_8,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241929081504,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241923446032,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241929081504,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241929081504,nx_9,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241923446896,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241923446032,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241923446032,nx_9,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241923446896,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241923446896,nx_9,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241931878160,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241914854560,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241931878160,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241931878160,tx2_1,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241914855328,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241914854560,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241914854560,tx2_2,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241914855328,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241914855328,nx_13,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241922975264,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241906464944,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241922975264,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241922975264,nx_13,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241906465808,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241906464944,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241906464944,nx_13,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241906465808,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241906465808,nano_13,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241959504432,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241926082320,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241959504432,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241959504432,tx2_3,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241926080688,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241926082320,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241926082320,nx_15,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241926080688,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241926080688,nx_15,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241937370608,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241889541952,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241937370608,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241937370608,nx_15,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241889541664,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241889541952,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241889541952,tx2_15,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241889541664,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241889541664,nano_1,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241915072416,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241881225712,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241915072416,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241915072416,nano_2,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241881226576,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241881225712,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241881225712,nano_3,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241881226576,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241881226576,tx2_4,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241875525328,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241872807168,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241875525328,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241875525328,nano_29,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241872808032,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241872807168,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241872807168,nx_12,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241872808032,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241872808032,nx_12,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241875912640,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241866357248,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241875912640,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241875912640,nx_12,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241866358064,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241866357248,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241866357248,nano_35,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241866358064,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241866358064,nano_40,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241856916032,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241856376992,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241856916032,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241856916032,nano_42,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241856377856,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241856376992,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241856376992,nano_31,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241856377856,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241856377856,nano_19,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241851148672,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241848019808,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241851148672,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241851148672,nano_24,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241848020672,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241848019808,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241848019808,tx2_12,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241848020672,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241848020672,nano_30,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241859579040,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241837736816,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241859579040,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241859579040,tx2_5,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241837738832,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241837736816,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241837736816,nano_4,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241837738832,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241837738832,nano_17,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241937813408,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241845742528,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241937813408,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241937813408,tx2_6,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241845744688,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241845742528,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241845742528,tx2_7,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241845744688,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241845744688,nano_21,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140241821788832,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241821233360,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140241821788832,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140241821788832,nano_44,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140241821234224,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241821233360,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140241821233360,tx2_17,True
