value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139821409552944,nano_21
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139821409554144,tx2_0
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139821409555344,tx2_1
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139821409556544,nano_9
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139821409557744,nano_16
deploy,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139821409558944,nano_15
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139821409560144,nano_0
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139821409561344,nano_0
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139821409552944,nano_1
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139821409554144,nano_17
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139821409555344,nano_19
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139821409556544,nano_14
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139821409557744,nano_20
deploy,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139821409558944,nano_8
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139821409560144,nano_12
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139821409561344,nano_12
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139821409552944,tx2_2
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139821409554144,tx2_3
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139821409555344,nano_10
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139821409556544,nano_13
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139821409557744,nano_18
deploy,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139821409558944,nano_22
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139821409560144,nx_0
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139821409561344,nx_0
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139821409552944,nx_0
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139821409554144,tx2_4
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139821409555344,nx_1
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139821409556544,nx_1
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139821409557744,nx_1
deploy,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139821409558944,tx2_5
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139821409560144,nano_11
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139821409561344,nano_11
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139821409552944,tx2_6
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139821409554144,nano_2
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139821409555344,nano_3
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139821409556544,nano_4
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139821409557744,nano_5
deploy,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139821409558944,nano_6
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139821409560144,nano_7
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139821409561344,nano_7
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139821409552944,xeongpu_0
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139821409554144,xeongpu_1
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139821409555344,xeongpu_2
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139821409556544,nano_21
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139821409557744,tx2_0
deploy,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139821409558944,tx2_1
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139821409560144,nano_9
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139821409561344,nano_16
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139821409552944,nano_15
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139821409554144,nano_1
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139821409555344,nano_17
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139821409556544,nano_19
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139821409557744,nano_14
deploy,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139821409558944,nano_20
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139821409560144,nano_0
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139821409561344,nano_8
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139821409552944,tx2_2
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139821409554144,tx2_3
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139821409555344,nano_10
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139821409556544,nano_13
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139821409557744,nano_18
deploy,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139821409558944,nano_22
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139821409560144,nano_12
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139821409561344,nx_0
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139821409552944,tx2_4
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139821409554144,nx_1
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139821409555344,tx2_5
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139821409556544,tx2_6
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139821409557744,nano_2
deploy,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139821409558944,nano_3
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139821409560144,nano_11
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139821409561344,nano_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139821409552944,nano_5
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139821409554144,nano_6
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139821409555344,xeongpu_0
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139821409556544,xeongpu_1
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139821409557744,xeongpu_2
deploy,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139821409558944,nano_21
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139821409560144,nano_7
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139821409561344,nano_9
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139821409552944,nano_16
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139821409554144,nano_15
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139821409555344,nano_1
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139821409556544,nano_17
