t_fet_start,t_fet_end,t_wait_start,t_wait_end,function_name,function_image,node,replica_id,request_id
165.54427613924634,363.65599116490847,165.54427613924634,165.54427613924634,resnet50-training-downtown,faas-workloads/resnet-training-cpu,nuc_9,139866065441632,32896
166.19315939483678,365.0124449908605,166.19315939483678,166.19315939483678,resnet50-training-downtown,faas-workloads/resnet-training-cpu,nuc_9,139866065441632,33004
166.91843188816088,365.2877370178088,166.91843188816088,166.91843188816088,resnet50-training-downtown,faas-workloads/resnet-training-cpu,nuc_9,139866065441632,33159
167.71782442104242,366.2436729510882,167.71782442104242,167.71782442104242,resnet50-training-downtown,faas-workloads/resnet-training-cpu,nuc_9,139866065441632,33305
230.14332733800336,429.28215339672806,230.14332733800336,230.14332733800336,resnet50-training-downtown,faas-workloads/resnet-training-cpu,nuc_9,139866038447808,45795
231.07175664091133,429.39736134160194,231.07175664091133,231.07175664091133,resnet50-training-downtown,faas-workloads/resnet-training-cpu,nuc_9,139866038447808,45956
231.81919044735855,430.39739765965004,231.81919044735855,231.81919044735855,resnet50-training-downtown,faas-workloads/resnet-training-cpu,nuc_9,139866038447808,46107
232.66310369887086,430.6539520478041,232.66310369887086,232.66310369887086,resnet50-training-downtown,faas-workloads/resnet-training-cpu,nuc_9,139866038447808,46283
295.3946829648885,493.65077276938,295.3946829648885,295.3946829648885,resnet50-training-downtown,faas-workloads/resnet-training-cpu,nuc_9,139866005410176,58822
296.57261477802246,494.5208831087678,296.57261477802246,296.57261477802246,resnet50-training-downtown,faas-workloads/resnet-training-cpu,nuc_9,139866005410176,59070
297.7523069483563,496.349269875802,297.7523069483563,297.7523069483563,resnet50-training-downtown,faas-workloads/resnet-training-cpu,nuc_9,139866005410176,59318
298.94528548931106,497.02456183151554,298.94528548931106,298.94528548931106,resnet50-training-downtown,faas-workloads/resnet-training-cpu,nuc_9,139866005410176,59529
