value,function_name,image,replica_id,node_name,successful
queue,resnet50-training,faas-workloads/resnet-training-gpu,139866289142704,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139866289143568,,
start,resnet50-training,faas-workloads/resnet-training-gpu,139866289142704,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139866289142704,nx_0,True
queue,resnet50-training-suburb,faas-workloads/resnet-training-gpu,139866290044016,,
queue,resnet50-training-industrial,faas-workloads/resnet-training-gpu,139866288079008,,
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139866289143568,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139866289143568,nx_0,True
start,resnet50-training-suburb,faas-workloads/resnet-training-gpu,139866290044016,,
finish,resnet50-training-suburb,faas-workloads/resnet-training-gpu,139866290044016,nx_1,True
start,resnet50-training-industrial,faas-workloads/resnet-training-gpu,139866288079008,,
finish,resnet50-training-industrial,faas-workloads/resnet-training-gpu,139866288079008,nx_1,True
queue,resnet50-training,faas-workloads/resnet-training-gpu,139866284304096,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139866283035568,,
start,resnet50-training,faas-workloads/resnet-training-gpu,139866284304096,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139866284304096,nx_2,True
queue,resnet50-training-suburb,faas-workloads/resnet-training-gpu,139866283036528,,
queue,resnet50-training-industrial,faas-workloads/resnet-training-gpu,139866283037248,,
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139866283035568,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139866283035568,nx_2,True
start,resnet50-training-suburb,faas-workloads/resnet-training-gpu,139866283036528,,
finish,resnet50-training-suburb,faas-workloads/resnet-training-gpu,139866283036528,nx_3,True
start,resnet50-training-industrial,faas-workloads/resnet-training-gpu,139866283037248,,
finish,resnet50-training-industrial,faas-workloads/resnet-training-gpu,139866283037248,nx_3,True
queue,resnet50-training,faas-workloads/resnet-training-gpu,139866277669440,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139866278381312,,
start,resnet50-training,faas-workloads/resnet-training-gpu,139866277669440,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139866277669440,nano_0,True
queue,resnet50-training-suburb,faas-workloads/resnet-training-gpu,139866278382272,,
queue,resnet50-training-industrial,faas-workloads/resnet-training-gpu,139866278382992,,
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139866278381312,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139866278381312,nano_0,True
start,resnet50-training-suburb,faas-workloads/resnet-training-gpu,139866278382272,,
finish,resnet50-training-suburb,faas-workloads/resnet-training-gpu,139866278382272,nano_1,True
start,resnet50-training-industrial,faas-workloads/resnet-training-gpu,139866278382992,,
finish,resnet50-training-industrial,faas-workloads/resnet-training-gpu,139866278382992,nano_1,True
queue,resnet50-training,faas-workloads/resnet-training-gpu,139866273085952,,
