value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139846902610256,nx_7
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139846902609680,nano_11
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139846902609296,nano_16
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139846902608912,nano_19
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139846902608528,tx2_0
deploy,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139846902608144,tx2_1
deploy,resnet50-inference-airport,faas-workloads/resnet-inference-gpu,139846902607760,nx_1
deploy,resnet50-inference-port,faas-workloads/resnet-inference-gpu,139846902607376,nx_2
deploy,resnet50-inference-university,faas-workloads/resnet-inference-gpu,139846902606896,nano_7
deploy,speech-inference,faas-workloads/speech-inference-tflite,139846902606128,coral_6
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139846902605552,rockpi_2
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139846902604976,rockpi_2
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,139846902604400,rpi3_6
deploy,speech-inference-residential,faas-workloads/speech-inference-tflite,139846902603824,rpi3_7
deploy,speech-inference-commercial,faas-workloads/speech-inference-tflite,139846902603248,rpi3_8
deploy,speech-inference-airport,faas-workloads/speech-inference-tflite,139846902602576,nx_7
deploy,speech-inference-port,faas-workloads/speech-inference-tflite,139846902601904,coral_5
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139846902601424,rpi4_4
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139846902600944,rpi4_5
deploy,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139846902600464,rpi3_9
deploy,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139846902599984,rpi3_10
deploy,resnet50-preprocessing-residential,faas-workloads/resnet-preprocessing,139846902599504,nx_1
deploy,resnet50-preprocessing-commercial,faas-workloads/resnet-preprocessing,139846902599024,nx_2
deploy,resnet50-preprocessing-airport,faas-workloads/resnet-preprocessing,139846902598544,coral_3
deploy,resnet50-preprocessing-port,faas-workloads/resnet-preprocessing,139846902598064,rockpi_4
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139846902597584,nano_9
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139846902596912,nano_14
deploy,resnet50-training-suburb,faas-workloads/resnet-training-gpu,139846902596240,nano_18
deploy,resnet50-training-industrial,faas-workloads/resnet-training-gpu,139846900711504,nano_24
deploy,resnet50-training-residential,faas-workloads/resnet-training-gpu,139846900712176,nano_26
