value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_7,139846902636496
deploy,resnet50-inference-downtown,nano_11,139846901531664
deploy,resnet50-inference-suburb,nano_16,139846901536464
deploy,resnet50-inference-industrial,nano_19,139846902115088
deploy,resnet50-inference-residential,tx2_0,139846902118432
deploy,resnet50-inference-commercial,tx2_1,139846902331248
deploy,resnet50-inference-airport,nx_1,139846902410208
deploy,resnet50-inference-port,nx_2,139846902413472
deploy,resnet50-inference-university,nano_7,139846902279504
deploy,speech-inference,coral_6,139846902282320
deploy,speech-inference-downtown,rockpi_2,139846901629968
deploy,speech-inference-suburb,rockpi_2,139846901632608
startup,speech-inference-suburb,rockpi_2,139846901632608
setup,speech-inference-suburb,rockpi_2,139846901632608
deploy,speech-inference-industrial,rpi3_6,139846902692368
deploy,speech-inference-residential,rpi3_7,139846901662896
deploy,speech-inference-commercial,rpi3_8,139846902498608
deploy,speech-inference-airport,nx_7,139846901505808
deploy,speech-inference-port,coral_5,139846901508112
deploy,resnet50-preprocessing,rpi4_4,139846902247712
deploy,resnet50-preprocessing-downtown,rpi4_5,139846902249648
deploy,resnet50-preprocessing-suburb,rpi3_9,139846901441360
deploy,resnet50-preprocessing-industrial,rpi3_10,139846901443120
deploy,resnet50-preprocessing-residential,nx_1,139846902207488
deploy,resnet50-preprocessing-commercial,nx_2,139846899611472
deploy,resnet50-preprocessing-airport,coral_3,139846899630544
deploy,resnet50-preprocessing-port,rockpi_4,139846901380416
deploy,resnet50-training,nano_9,139846901381200
deploy,resnet50-training-downtown,nano_14,139846901381872
deploy,resnet50-training-suburb,nano_18,139846901382208
deploy,resnet50-training-industrial,nano_24,139846901382544
deploy,resnet50-training-residential,nano_26,139846901382880
startup,speech-inference-industrial,rpi3_6,139846902692368
setup,speech-inference-industrial,rpi3_6,139846902692368
startup,speech-inference-residential,rpi3_7,139846901662896
setup,speech-inference-residential,rpi3_7,139846901662896
startup,speech-inference-commercial,rpi3_8,139846902498608
setup,speech-inference-commercial,rpi3_8,139846902498608
startup,speech-inference,coral_6,139846902282320
setup,speech-inference,coral_6,139846902282320
startup,speech-inference-port,coral_5,139846901508112
setup,speech-inference-port,coral_5,139846901508112
startup,speech-inference-downtown,rockpi_2,139846901629968
setup,speech-inference-downtown,rockpi_2,139846901629968
startup,speech-inference-airport,nx_7,139846901505808
setup,speech-inference-airport,nx_7,139846901505808
startup,resnet50-inference-downtown,nano_11,139846901531664
setup,resnet50-inference-downtown,nano_11,139846901531664
startup,resnet50-inference-suburb,nano_16,139846901536464
setup,resnet50-inference-suburb,nano_16,139846901536464
startup,resnet50-inference-industrial,nano_19,139846902115088
setup,resnet50-inference-industrial,nano_19,139846902115088
startup,resnet50-inference,nx_7,139846902636496
setup,resnet50-inference,nx_7,139846902636496
startup,resnet50-inference-residential,tx2_0,139846902118432
setup,resnet50-inference-residential,tx2_0,139846902118432
startup,resnet50-inference-commercial,tx2_1,139846902331248
setup,resnet50-inference-commercial,tx2_1,139846902331248
startup,resnet50-inference-university,nano_7,139846902279504
setup,resnet50-inference-university,nano_7,139846902279504
startup,resnet50-training,nano_9,139846901381200
setup,resnet50-training,nano_9,139846901381200
finish,resnet50-training,nano_9,139846901381200
startup,resnet50-training-downtown,nano_14,139846901381872
setup,resnet50-training-downtown,nano_14,139846901381872
finish,resnet50-training-downtown,nano_14,139846901381872
startup,resnet50-training-suburb,nano_18,139846901382208
setup,resnet50-training-suburb,nano_18,139846901382208
finish,resnet50-training-suburb,nano_18,139846901382208
startup,resnet50-training-industrial,nano_24,139846901382544
setup,resnet50-training-industrial,nano_24,139846901382544
finish,resnet50-training-industrial,nano_24,139846901382544
startup,resnet50-training-residential,nano_26,139846901382880
setup,resnet50-training-residential,nano_26,139846901382880
finish,resnet50-training-residential,nano_26,139846901382880
startup,resnet50-preprocessing-port,rockpi_4,139846901380416
setup,resnet50-preprocessing-port,rockpi_4,139846901380416
finish,resnet50-preprocessing-port,rockpi_4,139846901380416
startup,resnet50-inference-airport,nx_1,139846902410208
setup,resnet50-inference-airport,nx_1,139846902410208
startup,resnet50-inference-port,nx_2,139846902413472
setup,resnet50-inference-port,nx_2,139846902413472
startup,resnet50-preprocessing,rpi4_4,139846902247712
setup,resnet50-preprocessing,rpi4_4,139846902247712
finish,resnet50-preprocessing,rpi4_4,139846902247712
startup,resnet50-preprocessing-downtown,rpi4_5,139846902249648
