value,name,function_id
deploy,resnet50-inference,139949852508240
deploy,resnet50-inference-downtown,139949852223248
deploy,resnet50-inference-suburb,139949852223568
deploy,resnet50-inference-industrial,139949854052224
deploy,resnet50-inference-residential,139949852494544
deploy,resnet50-inference-commercial,139949852494800
deploy,resnet50-inference-airport,139949852366160
deploy,resnet50-inference-port,139949852366496
deploy,resnet50-inference-university,139949852366832
deploy,speech-inference,139949852366944
deploy,speech-inference-downtown,139949852367056
deploy,speech-inference-suburb,139949852367168
deploy,speech-inference-industrial,139949852367280
deploy,speech-inference-residential,139949852367504
deploy,speech-inference-commercial,139949852367728
deploy,speech-inference-airport,139949852367840
deploy,speech-inference-port,139949852367952
deploy,resnet50-preprocessing,139949852368064
deploy,resnet50-preprocessing-downtown,139949852368176
deploy,resnet50-preprocessing-suburb,139949852368288
deploy,resnet50-preprocessing-industrial,139949852368400
deploy,resnet50-preprocessing-residential,139949852368512
deploy,resnet50-preprocessing-commercial,139949852368624
deploy,resnet50-preprocessing-airport,139949852368736
deploy,resnet50-preprocessing-port,139949852368848
deploy,resnet50-training,139949852368960
deploy,resnet50-training-downtown,139949852369072
deploy,resnet50-training-suburb,139949852369184
deploy,resnet50-training-industrial,139949852369296
deploy,resnet50-training-residential,139949852369408
