value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140444969606448,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140444967879056,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140444969606448,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140444969606448,tx2_0,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140444967884176,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140444970838496,,
queue,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140444970841840,,
queue,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,140444967657136,,
queue,resnet50-inference-airport,faas-workloads/resnet-inference-gpu,140444971067296,,
queue,resnet50-inference-port,faas-workloads/resnet-inference-gpu,140444971070560,,
queue,resnet50-inference-university,faas-workloads/resnet-inference-gpu,140444970953296,,
queue,resnet50-inference-hospital,faas-workloads/resnet-inference-gpu,140444970956112,,
queue,resnet50-inference-mall,faas-workloads/resnet-inference-gpu,140444967857008,,
queue,resnet50-inference-stadium,faas-workloads/resnet-inference-gpu,140444967859648,,
queue,resnet50-inference-park,faas-workloads/resnet-inference-gpu,140444969679376,,
queue,resnet50-inference-transit,faas-workloads/resnet-inference-gpu,140444966339760,,
queue,resnet50-inference-highway,faas-workloads/resnet-inference-gpu,140444969536432,,
queue,resnet50-inference-border,faas-workloads/resnet-inference-gpu,140444967900304,,
queue,resnet50-inference-zone16,faas-workloads/resnet-inference-gpu,140444967902608,,
queue,resnet50-inference-zone17,faas-workloads/resnet-inference-gpu,140444971216656,,
queue,resnet50-inference-zone18,faas-workloads/resnet-inference-gpu,140444971218592,,
queue,resnet50-inference-zone19,faas-workloads/resnet-inference-gpu,140444967929648,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140444967931408,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140444970881760,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140444966381392,,
queue,speech-inference-industrial,faas-workloads/speech-inference-tflite,140444966383952,,
queue,speech-inference-residential,faas-workloads/speech-inference-tflite,140444968269568,,
queue,speech-inference-commercial,faas-workloads/speech-inference-tflite,140444968270352,,
queue,speech-inference-airport,faas-workloads/speech-inference-tflite,140444968271024,,
queue,speech-inference-port,faas-workloads/speech-inference-tflite,140444968271360,,
queue,speech-inference-university,faas-workloads/speech-inference-tflite,140444968271696,,
queue,speech-inference-hospital,faas-workloads/speech-inference-tflite,140444966404400,,
queue,speech-inference-mall,faas-workloads/speech-inference-tflite,140444966404736,,
queue,speech-inference-stadium,faas-workloads/speech-inference-tflite,140444966405072,,
queue,speech-inference-park,faas-workloads/speech-inference-tflite,140444966405408,,
queue,speech-inference-transit,faas-workloads/speech-inference-tflite,140444966405744,,
queue,speech-inference-highway,faas-workloads/speech-inference-tflite,140444966406080,,
queue,speech-inference-border,faas-workloads/speech-inference-tflite,140444966406416,,
queue,speech-inference-zone16,faas-workloads/speech-inference-tflite,140444966406752,,
queue,speech-inference-zone17,faas-workloads/speech-inference-tflite,140444966407088,,
queue,speech-inference-zone18,faas-workloads/speech-inference-tflite,140444966407424,,
queue,speech-inference-zone19,faas-workloads/speech-inference-tflite,140444966407760,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140444966408096,,
queue,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140444966408432,,
queue,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140444966408768,,
queue,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,140444966409104,,
queue,resnet50-preprocessing-residential,faas-workloads/resnet-preprocessing,140444966409440,,
queue,resnet50-preprocessing-commercial,faas-workloads/resnet-preprocessing,140444966409776,,
queue,resnet50-preprocessing-airport,faas-workloads/resnet-preprocessing,140444966410112,,
queue,resnet50-preprocessing-port,faas-workloads/resnet-preprocessing,140444966410448,,
queue,resnet50-preprocessing-university,faas-workloads/resnet-preprocessing,140444966410784,,
queue,resnet50-preprocessing-hospital,faas-workloads/resnet-preprocessing,140444966411120,,
queue,resnet50-preprocessing-mall,faas-workloads/resnet-preprocessing,140444966411456,,
queue,resnet50-preprocessing-stadium,faas-workloads/resnet-preprocessing,140444966411792,,
queue,resnet50-preprocessing-park,faas-workloads/resnet-preprocessing,140444966412128,,
queue,resnet50-preprocessing-transit,faas-workloads/resnet-preprocessing,140444966412464,,
queue,resnet50-preprocessing-highway,faas-workloads/resnet-preprocessing,140444966412800,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140444966413136,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140444966413472,,
queue,resnet50-training-suburb,faas-workloads/resnet-training-gpu,140444966413808,,
queue,resnet50-training-industrial,faas-workloads/resnet-training-gpu,140444966414144,,
queue,resnet50-training-residential,faas-workloads/resnet-training-gpu,140444966414480,,
queue,resnet50-training-commercial,faas-workloads/resnet-training-gpu,140444966414816,,
queue,resnet50-training-airport,faas-workloads/resnet-training-gpu,140444966415152,,
queue,resnet50-training-port,faas-workloads/resnet-training-gpu,140444966415488,,
queue,resnet50-training-university,faas-workloads/resnet-training-gpu,140444966415824,,
queue,resnet50-training-hospital,faas-workloads/resnet-training-gpu,140444966416160,,
queue,resnet50-training-mall,faas-workloads/resnet-training-gpu,140444966416496,,
queue,resnet50-training-stadium,faas-workloads/resnet-training-gpu,140444966416832,,
queue,resnet50-training-park,faas-workloads/resnet-training-gpu,140444966417168,,
