value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140580320410480,nx_0
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140580320659888,tx2_0
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140580320424144,tx2_1
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140580320711680,nano_0
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140580320804592,nano_1
deploy,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,140580320870768,nano_2
deploy,speech-inference,faas-workloads/speech-inference-tflite,140580320871344,rpi4_2
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140580320871728,rpi4_3
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140580320872112,rpi4_4
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,140580320872496,rpi4_5
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140580320872688,rpi3_3
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140580320872880,rpi3_0
deploy,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140580320873072,rpi3_1
deploy,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,140580320873264,rpi3_2
deploy,resnet50-preprocessing-residential,faas-workloads/resnet-preprocessing,140580320873456,rockpi_0
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140580320873648,nano_3
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140580320874128,nano_4
