bytes,duration,source,sink,action_type
1000000000,32.99304544123179,registry,nano_0,docker_pull
328000000,173.11337362097768,registry,rpi4_16,docker_pull
328000000,173.11725004830006,registry,rpi4_17,docker_pull
328000000,173.1216983272954,registry,rpi3_18,docker_pull
328000000,173.12463710052725,registry,rpi3_19,docker_pull
48000000,25.339586056868455,nuc_3,rpi4_16,data_download
48000000,25.33855509437737,nuc_3,rpi4_17,data_download
48000000,25.3381013130319,nuc_3,rpi3_18,data_download
48000000,25.336702157300692,nuc_3,rpi3_19,data_download
1000000000,422.58452491834726,registry,nano_19,docker_pull
1000000000,427.69211920814325,registry,tx2_0,docker_pull
1000000000,429.2694225266017,registry,tx2_2,docker_pull
1000000000,436.95686526726786,registry,nano_18,docker_pull
1000000000,438.9207950419815,registry,nx_5,docker_pull
1000000000,440.637357910488,registry,tx2_1,docker_pull
1000000000,442.18360519017455,registry,nano_14,docker_pull
103000000,37.37755061461468,nuc_3,tx2_0,data_download
103000000,37.18170648308984,nuc_3,tx2_2,data_download
103000000,35.65297530282652,nuc_3,nano_18,data_download
103000000,34.819331719627314,nuc_3,nx_5,data_download
103000000,33.689960633268754,nuc_3,tx2_1,data_download
103000000,33.64751915805988,nuc_3,nano_14,data_download
1370000000,506.13541169359536,registry,rpi3_13,docker_pull
1370000000,508.46221930506056,registry,rpi3_14,docker_pull
1370000000,510.0895983372756,registry,rpi3_20,docker_pull
1370000000,510.3564693482476,registry,rpi3_12,docker_pull
1910000000,528.6234541759543,registry,nx_5,docker_pull
58000000,15.145656377815385,nuc_3,nano_0,data_download
58000000,15.14801136017229,nuc_3,nano_19,data_download
58000000,15.217071004027957,nuc_3,nano_19,data_download
58000000,15.224732252671174,nuc_3,nano_19,data_download
58000000,15.215756612740506,nuc_3,nano_19,data_download
58000000,15.195617883439695,nuc_3,nano_0,data_download
58000000,15.204970857929652,nuc_3,nano_0,data_download
58000000,15.193446548337647,nuc_3,nano_0,data_download
103000000,6.201105961838493,nano_0,nuc_3,data_upload
103000000,6.199323905498204,nano_19,nuc_3,data_upload
58000000,3.2330382335410377,nuc_3,nano_0,data_download
58000000,3.2316308571614627,nuc_3,nano_19,data_download
103000000,3.4013160006295493,nano_19,nuc_3,data_upload
58000000,1.9167283841520657,nuc_3,nano_19,data_download
103000000,3.402650022045691,nano_0,nuc_3,data_upload
58000000,1.918294631952449,nuc_3,nano_0,data_download
103000000,3.4027707399907285,nano_0,nuc_3,data_upload
58000000,1.918481528558459,nuc_3,nano_0,data_download
103000000,3.401267464463217,nano_19,nuc_3,data_upload
58000000,1.9166939339681903,nuc_3,nano_19,data_download
