value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140093683064112,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140093681074256,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140093683064112,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140093683064112,tx2_0,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140093681079376,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140093684132624,,
queue,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140093684135968,,
queue,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,140093680869616,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140093684442496,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140093684445760,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140093684394576,,
queue,speech-inference-industrial,faas-workloads/speech-inference-tflite,140093684397392,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140093684415568,,
queue,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140093681551072,,
queue,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140093683086992,,
queue,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,140093681582384,,
queue,resnet50-preprocessing-residential,faas-workloads/resnet-preprocessing,140093682958832,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140093682985744,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140093682988048,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140093681074256,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140093681074256,tx2_1,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140093681079376,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140093681079376,tx2_2,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140093684132624,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140093684132624,nx_5,True
start,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140093684135968,,
finish,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140093684135968,nano_14,True
start,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,140093680869616,,
finish,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,140093680869616,nano_18,True
start,speech-inference,faas-workloads/speech-inference-tflite,140093684442496,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140093684442496,rpi4_16,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140093684445760,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140093684445760,rpi4_17,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140093684394576,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140093684394576,rpi3_18,True
start,speech-inference-industrial,faas-workloads/speech-inference-tflite,140093684397392,,
finish,speech-inference-industrial,faas-workloads/speech-inference-tflite,140093684397392,rpi3_19,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140093684415568,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140093684415568,rpi3_20,True
start,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140093681551072,,
finish,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140093681551072,rpi3_12,True
start,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140093683086992,,
finish,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140093683086992,rpi3_13,True
start,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,140093681582384,,
finish,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,140093681582384,rpi3_14,True
start,resnet50-preprocessing-residential,faas-workloads/resnet-preprocessing,140093682958832,,
finish,resnet50-preprocessing-residential,faas-workloads/resnet-preprocessing,140093682958832,nx_5,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140093682985744,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140093682985744,nano_19,True
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140093682988048,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140093682988048,nano_0,True
