value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139764843986480,nx_0
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139764843985904,tx2_0
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139764843985520,tx2_1
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139764843985136,nano_0
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139764843984752,nano_1
deploy,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139764843984368,nano_2
deploy,resnet50-inference-airport,faas-workloads/resnet-inference-gpu,139764843983984,nano_3
deploy,resnet50-inference-port,faas-workloads/resnet-inference-gpu,139764843983600,nano_4
deploy,speech-inference,faas-workloads/speech-inference-tflite,139764843982928,rpi4_2
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139764843982352,rpi4_3
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139764843981776,rpi4_4
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,139764843981200,rpi4_5
deploy,speech-inference-residential,faas-workloads/speech-inference-tflite,139764843980624,rpi3_3
deploy,speech-inference-commercial,faas-workloads/speech-inference-tflite,139764843980048,rpi3_0
deploy,speech-inference-airport,faas-workloads/speech-inference-tflite,139764843979472,rpi3_1
deploy,speech-inference-port,faas-workloads/speech-inference-tflite,139764843978800,rpi3_2
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139764843978320,rockpi_0
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139764843977840,rockpi_0
deploy,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139764843977360,rpi4_0
deploy,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139764843976880,rpi4_1
deploy,resnet50-preprocessing-residential,faas-workloads/resnet-preprocessing,139764843976400,nx_0
deploy,resnet50-preprocessing-commercial,faas-workloads/resnet-preprocessing,139764843975920,coral_0
deploy,resnet50-preprocessing-airport,faas-workloads/resnet-preprocessing,139764843975440,nuc_0
deploy,resnet50-preprocessing-port,faas-workloads/resnet-preprocessing,139764843974960,rpi4_2
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139764843974480,xeongpu_0
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139764843973808,xeongpu_1
deploy,resnet50-training-suburb,faas-workloads/resnet-training-gpu,139764843973136,xeongpu_2
deploy,resnet50-training-industrial,faas-workloads/resnet-training-gpu,139764843972464,xeongpu_3
