value,name,function_id
deploy,resnet50-inference,139764845706976
deploy,resnet50-inference-downtown,139764843843728
deploy,resnet50-inference-suburb,139764843844048
deploy,resnet50-inference-industrial,139764845678032
deploy,resnet50-inference-residential,139764845674192
deploy,resnet50-inference-commercial,139764844101712
deploy,resnet50-inference-airport,139764845835360
deploy,resnet50-inference-port,139764845835696
deploy,speech-inference,139764845836032
deploy,speech-inference-downtown,139764845836144
deploy,speech-inference-suburb,139764845836256
deploy,speech-inference-industrial,139764845836368
deploy,speech-inference-residential,139764845836480
deploy,speech-inference-commercial,139764845836704
deploy,speech-inference-airport,139764845836928
deploy,speech-inference-port,139764845837040
deploy,resnet50-preprocessing,139764845837152
deploy,resnet50-preprocessing-downtown,139764845837264
deploy,resnet50-preprocessing-suburb,139764845837376
deploy,resnet50-preprocessing-industrial,139764845837488
deploy,resnet50-preprocessing-residential,139764845837600
deploy,resnet50-preprocessing-commercial,139764845837712
deploy,resnet50-preprocessing-airport,139764845837824
deploy,resnet50-preprocessing-port,139764845837936
deploy,resnet50-training,139764845838048
deploy,resnet50-training-downtown,139764845838160
deploy,resnet50-training-suburb,139764844167248
deploy,resnet50-training-industrial,139764844167360
