value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_0,140599413005952
deploy,resnet50-inference-downtown,tx2_0,140599413571984
deploy,resnet50-inference-suburb,tx2_1,140599413577104
deploy,resnet50-inference-industrial,nano_0,140599414663648
deploy,resnet50-inference-residential,nano_1,140599414666992
deploy,resnet50-inference-commercial,nano_2,140599414799920
deploy,resnet50-inference-airport,nano_3,140599412811136
deploy,resnet50-inference-port,nano_4,140599412814400
deploy,speech-inference,rpi4_2,140599414778704
deploy,speech-inference-downtown,rpi4_3,140599414781520
deploy,speech-inference-suburb,rpi4_4,140599413735504
deploy,speech-inference-industrial,rpi4_5,140599413738144
deploy,speech-inference-residential,rpi3_3,140599413078320
deploy,speech-inference-commercial,rpi3_0,140599411672016
deploy,resnet50-preprocessing,rpi3_1,140599412916720
deploy,resnet50-preprocessing-downtown,rpi3_2,140599411704272
deploy,resnet50-preprocessing-suburb,rockpi_0,140599411706576
deploy,resnet50-preprocessing-industrial,rockpi_0,140599413081376
startup,resnet50-preprocessing-industrial,rockpi_0,140599413081376
setup,resnet50-preprocessing-industrial,rockpi_0,140599413081376
finish,resnet50-preprocessing-industrial,rockpi_0,140599413081376
deploy,resnet50-preprocessing-residential,rpi4_0,140599413083312
deploy,resnet50-preprocessing-commercial,rpi4_1,140599413517168
deploy,resnet50-preprocessing-airport,nx_0,140599413518928
deploy,resnet50-preprocessing-port,coral_0,140599414706912
deploy,resnet50-training,xeongpu_0,140599411700048
deploy,resnet50-training-downtown,xeongpu_1,140599411702608
deploy,resnet50-training-suburb,xeongpu_2,140599413627648
deploy,resnet50-training-industrial,xeongpu_3,140599413628432
startup,speech-inference,rpi4_2,140599414778704
setup,speech-inference,rpi4_2,140599414778704
startup,speech-inference-downtown,rpi4_3,140599414781520
setup,speech-inference-downtown,rpi4_3,140599414781520
startup,speech-inference-suburb,rpi4_4,140599413735504
setup,speech-inference-suburb,rpi4_4,140599413735504
startup,speech-inference-industrial,rpi4_5,140599413738144
setup,speech-inference-industrial,rpi4_5,140599413738144
startup,speech-inference-residential,rpi3_3,140599413078320
setup,speech-inference-residential,rpi3_3,140599413078320
startup,speech-inference-commercial,rpi3_0,140599411672016
setup,speech-inference-commercial,rpi3_0,140599411672016
startup,resnet50-inference-downtown,tx2_0,140599413571984
setup,resnet50-inference-downtown,tx2_0,140599413571984
startup,resnet50-inference-suburb,tx2_1,140599413577104
setup,resnet50-inference-suburb,tx2_1,140599413577104
startup,resnet50-inference-industrial,nano_0,140599414663648
setup,resnet50-inference-industrial,nano_0,140599414663648
startup,resnet50-inference-commercial,nano_2,140599414799920
setup,resnet50-inference-commercial,nano_2,140599414799920
startup,resnet50-inference-residential,nano_1,140599414666992
setup,resnet50-inference-residential,nano_1,140599414666992
startup,resnet50-inference-port,nano_4,140599412814400
setup,resnet50-inference-port,nano_4,140599412814400
startup,resnet50-inference-airport,nano_3,140599412811136
setup,resnet50-inference-airport,nano_3,140599412811136
startup,resnet50-inference,nx_0,140599413005952
setup,resnet50-inference,nx_0,140599413005952
startup,resnet50-preprocessing,rpi3_1,140599412916720
setup,resnet50-preprocessing,rpi3_1,140599412916720
finish,resnet50-preprocessing,rpi3_1,140599412916720
startup,resnet50-preprocessing-downtown,rpi3_2,140599411704272
setup,resnet50-preprocessing-downtown,rpi3_2,140599411704272
finish,resnet50-preprocessing-downtown,rpi3_2,140599411704272
startup,resnet50-preprocessing-residential,rpi4_0,140599413083312
setup,resnet50-preprocessing-residential,rpi4_0,140599413083312
finish,resnet50-preprocessing-residential,rpi4_0,140599413083312
startup,resnet50-preprocessing-commercial,rpi4_1,140599413517168
setup,resnet50-preprocessing-commercial,rpi4_1,140599413517168
finish,resnet50-preprocessing-commercial,rpi4_1,140599413517168
startup,resnet50-preprocessing-suburb,rockpi_0,140599411706576
setup,resnet50-preprocessing-suburb,rockpi_0,140599411706576
finish,resnet50-preprocessing-suburb,rockpi_0,140599411706576
startup,resnet50-preprocessing-port,coral_0,140599414706912
setup,resnet50-preprocessing-port,coral_0,140599414706912
finish,resnet50-preprocessing-port,coral_0,140599414706912
startup,resnet50-preprocessing-airport,nx_0,140599413518928
setup,resnet50-preprocessing-airport,nx_0,140599413518928
finish,resnet50-preprocessing-airport,nx_0,140599413518928
finish,speech-inference,rpi4_2,140599414778704
