t_fet_start,t_fet_end,t_wait_start,t_wait_end,function_name,function_image,node,replica_id,request_id
128.04559997910738,128.42696197761055,128.04559997910738,128.04559997910738,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,12
128.02615005832317,128.46111497294262,128.02615005832317,128.02615005832317,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,9
128.06297855991815,128.46229295751243,128.06297855991815,128.06297855991815,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,17
128.06979086776963,128.538940840775,128.06979086776963,128.06979086776963,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,20
128.0154238241831,128.5472521839612,128.0154238241831,128.0154238241831,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140012574500944,5
128.015864140267,128.56115396844206,128.015864140267,128.015864140267,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140012574500944,6
128.01517296692208,128.56724486636216,128.01517296692208,128.01517296692208,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140012574500944,2
128.0223957696796,128.58451742829394,128.0223957696796,128.0223957696796,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140012574500944,7
128.42696197761055,128.80211826927697,128.07884521419444,128.42696197761055,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,22
128.46111497294262,128.8694482374706,128.0831559083789,128.46111497294262,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,23
128.46229295751243,128.87399961274343,128.08722761759267,128.46229295751243,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,26
128.538940840775,128.9260710110275,128.11538083340088,128.538940840775,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,34
128.5472521839612,129.09451406945644,128.05199686838588,128.5472521839612,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140012574500944,13
128.56115396844206,129.11084914723114,128.05449421114577,128.56115396844206,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140012574500944,14
128.56724486636216,129.11830323535273,128.05553070255954,128.56724486636216,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140012574500944,15
128.58451742829394,129.13996809543664,128.08463907469363,128.58451742829394,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140012574500944,24
128.80211826927697,129.18048831605824,128.12955119630908,128.80211826927697,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,37
128.87399961274343,129.2631022189883,128.13575842427224,128.87399961274343,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,39
128.8694482374706,129.26721428658576,128.1332573981816,128.8694482374706,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,38
128.9260710110275,129.3139285689904,128.13789908499916,128.9260710110275,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,42
129.18048831605824,129.56916063426783,128.1411450740764,129.18048831605824,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,43
129.2631022189883,129.63250260531797,128.1572410130119,129.2631022189883,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,50
129.09451406945644,129.63338737910715,128.09580642528988,129.09451406945644,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140012574500944,29
129.26721428658576,129.65939628762092,128.1911023221894,129.26721428658576,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,55
129.11084914723114,129.66442781082628,128.10092320379465,129.11084914723114,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140012574500944,30
129.11830323535273,129.67021168066918,128.10204272660044,129.11830323535273,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140012574500944,31
129.13996809543664,129.67285084707163,128.11305885566853,129.13996809543664,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140012574500944,33
129.3139285689904,129.70168965003216,128.19570470327156,129.3139285689904,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,56
129.56916063426783,129.94258408569658,128.19817418378483,129.56916063426783,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,59
129.63250260531797,130.01854193293744,128.21043137355278,129.63250260531797,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140012574484064,64
