bytes,duration,source,sink,action_type
173000000,28.535767850716734,registry,coral_0,docker_pull
4000000,0.03617799367953012,nuc_0,coral_0,data_download
328000000,48.99166427987195,registry,rpi4_2,docker_pull
48000000,0.4005652794674788,nuc_0,rpi4_2,data_download
1000000000,115.49550105106803,registry,nx_0,docker_pull
1000000000,115.49597233388967,registry,nx_0,docker_pull
103000000,0.8523480970030306,nuc_0,nx_0,data_download
1370000000,127.70059106633398,registry,rpi4_3,docker_pull
58000000,0.4814425013346124,nuc_0,nx_0,data_download
58000000,0.48144900669601043,nuc_0,nx_0,data_download
58000000,0.48145299382747453,nuc_0,nx_0,data_download
58000000,0.48160972945268554,nuc_0,nx_0,data_download
103000000,0.8525557511397324,nx_0,nuc_0,data_upload
58000000,0.4814102363490065,nuc_0,nx_0,data_download
103000000,0.8523992986870326,nx_0,nuc_0,data_upload
58000000,0.4812132690636872,nuc_0,nx_0,data_download
103000000,0.8526626422293475,nx_0,nuc_0,data_upload
58000000,0.4814148166139489,nuc_0,nx_0,data_download
103000000,0.8523642279935189,nx_0,nuc_0,data_upload
58000000,0.48129144328589746,nuc_0,nx_0,data_download
103000000,0.8526480030008656,nx_0,nuc_0,data_upload
58000000,0.48122943416933595,nuc_0,nx_0,data_download
103000000,0.8524811034486106,nx_0,nuc_0,data_upload
58000000,0.48128196645149046,nuc_0,nx_0,data_download
103000000,0.8525199985111271,nx_0,nuc_0,data_upload
58000000,0.4815217736995123,nuc_0,nx_0,data_download
103000000,0.8524262534783134,nx_0,nuc_0,data_upload
58000000,0.4813039532367043,nuc_0,nx_0,data_download
103000000,0.8525766858117549,nx_0,nuc_0,data_upload
58000000,0.48135319885841454,nuc_0,nx_0,data_download
103000000,0.8523333232677714,nx_0,nuc_0,data_upload
58000000,0.4815625223858433,nuc_0,nx_0,data_download
103000000,0.852409929060741,nx_0,nuc_0,data_upload
58000000,0.4814350836279573,nuc_0,nx_0,data_download
103000000,0.8527531110647715,nx_0,nuc_0,data_upload
58000000,0.48150727391612236,nuc_0,nx_0,data_download
103000000,0.8523699811686356,nx_0,nuc_0,data_upload
58000000,0.4814708057929238,nuc_0,nx_0,data_download
103000000,0.8526941394768528,nx_0,nuc_0,data_upload
58000000,0.48141660088367644,nuc_0,nx_0,data_download
103000000,0.8524705329397193,nx_0,nuc_0,data_upload
58000000,0.48128370079848537,nuc_0,nx_0,data_download
103000000,0.8526054594341304,nx_0,nuc_0,data_upload
58000000,0.4816205619699758,nuc_0,nx_0,data_download
