value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_0,140012574484064
deploy,resnet50-training,nx_0,140012574495824
deploy,mobilenet-inference,coral_0,140012574500944
deploy,speech-inference,rpi4_2,140012576175552
deploy,resnet50-preprocessing,rpi4_3,140012575130592
startup,mobilenet-inference,coral_0,140012574500944
setup,mobilenet-inference,coral_0,140012574500944
finish,mobilenet-inference,coral_0,140012574500944
startup,speech-inference,rpi4_2,140012576175552
setup,speech-inference,rpi4_2,140012576175552
finish,speech-inference,rpi4_2,140012576175552
startup,resnet50-inference,nx_0,140012574484064
setup,resnet50-inference,nx_0,140012574484064
startup,resnet50-training,nx_0,140012574495824
setup,resnet50-training,nx_0,140012574495824
finish,resnet50-training,nx_0,140012574495824
finish,resnet50-inference,nx_0,140012574484064
startup,resnet50-preprocessing,rpi4_3,140012575130592
setup,resnet50-preprocessing,rpi4_3,140012575130592
finish,resnet50-preprocessing,rpi4_3,140012575130592
