name,type
resnet50-inference,deploy
resnet50-inference-downtown,deploy
resnet50-inference-suburb,deploy
resnet50-inference-industrial,deploy
resnet50-inference-residential,deploy
resnet50-inference-commercial,deploy
speech-inference,deploy
speech-inference-downtown,deploy
speech-inference-suburb,deploy
speech-inference-industrial,deploy
resnet50-preprocessing,deploy
resnet50-preprocessing-downtown,deploy
resnet50-preprocessing-suburb,deploy
resnet50-preprocessing-industrial,deploy
resnet50-preprocessing-residential,deploy
resnet50-training,deploy
resnet50-training-downtown,deploy
