value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139990819576800,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139990820094032,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139990819576800,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139990819576800,nx_0,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139990820099152,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139990821071632,,
queue,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139990821074976,,
queue,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139990820340080,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139990821397888,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,139990821401152,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,139990821317200,,
queue,speech-inference-industrial,faas-workloads/speech-inference-tflite,139990821320016,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139990821387344,,
queue,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139990820325088,,
queue,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139990819616176,,
queue,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139990820388944,,
queue,resnet50-preprocessing-residential,faas-workloads/resnet-preprocessing,139990821520896,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,139990820977552,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139990820422864,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139990820094032,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139990820094032,nx_0,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139990820099152,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139990820099152,nx_0,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139990821071632,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139990821071632,tx2_0,True
start,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139990821074976,,
finish,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139990821074976,tx2_1,True
start,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139990820340080,,
finish,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139990820340080,nano_0,True
start,speech-inference,faas-workloads/speech-inference-tflite,139990821397888,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139990821397888,rpi4_2,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,139990821401152,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,139990821401152,rpi4_3,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,139990821317200,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,139990821317200,rpi4_4,True
start,speech-inference-industrial,faas-workloads/speech-inference-tflite,139990821320016,,
finish,speech-inference-industrial,faas-workloads/speech-inference-tflite,139990821320016,rpi4_5,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139990821387344,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139990821387344,rpi3_3,True
start,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139990820325088,,
finish,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139990820325088,rpi3_0,True
start,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139990819616176,,
finish,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139990819616176,rpi3_1,True
start,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139990820388944,,
finish,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139990820388944,rpi3_2,True
start,resnet50-preprocessing-residential,faas-workloads/resnet-preprocessing,139990821520896,,
finish,resnet50-preprocessing-residential,faas-workloads/resnet-preprocessing,139990821520896,rockpi_0,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139990820977552,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139990820977552,nano_1,True
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139990820422864,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139990820422864,nano_1,True
