value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140668322137856,nano_0
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140668322139056,tx2_0
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140668322140256,nano_48
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140668322141456,nano_70
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140668322142656,nano_84
deploy,speech-inference,faas-workloads/speech-inference-tflite,140668322144096,rockpi_26
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140668322145296,rockpi_26
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140668322146496,rpi4_52
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,140668322147696,rpi4_53
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140668322148608,rpi3_99
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140668322149424,rpi3_100
deploy,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140668322150240,rpi3_101
deploy,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,140668322151056,rockpi_75
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140668322151920,nano_108
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140668322185952,nano_176
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140668322137856,nx_24
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140668322139056,nano_122
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140668322140256,nano_184
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140668322141456,nx_0
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140668322142656,nx_1
deploy,speech-inference,faas-workloads/speech-inference-tflite,140668322144096,rockpi_75
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140668322145296,coral_0
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140668322146496,coral_1
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,140668322147696,coral_49
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140668322151920,nx_80
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140668322185952,nano_165
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140668322137856,nano_194
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140668322139056,nano_202
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140668322140256,nano_270
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140668322141456,nano_142
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140668322142656,nano_160
deploy,speech-inference,faas-workloads/speech-inference-tflite,140668322144096,rockpi_36
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140668322145296,rockpi_36
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140668322146496,rockpi_92
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,140668322147696,rockpi_92
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140668322151920,nano_290
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140668322185952,nx_10
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140668322137856,nx_58
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140668322139056,nano_100
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140668322140256,nano_277
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140668322141456,nx_15
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140668322142656,nx_63
deploy,speech-inference,faas-workloads/speech-inference-tflite,140668322144096,nx_24
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140668322145296,rockpi_1
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140668322146496,rockpi_1
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,140668322147696,rockpi_44
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140668322151920,nano_82
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140668322185952,nano_97
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140668322137856,nano_274
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140668322139056,tx2_1
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140668322140256,tx2_2
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140668322141456,tx2_71
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140668322142656,nano_51
deploy,speech-inference,faas-workloads/speech-inference-tflite,140668322144096,rockpi_44
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140668322145296,rpi3_78
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140668322146496,rpi3_79
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,140668322147696,rpi3_80
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140668322151920,nano_131
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140668322185952,nano_212
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140668322137856,nano_234
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140668322139056,nano_278
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140668322140256,nano_287
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140668322141456,nano_1
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140668322142656,tx2_3
deploy,speech-inference,faas-workloads/speech-inference-tflite,140668322144096,rpi4_30
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140668322145296,rpi4_31
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140668322146496,nx_0
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,140668322147696,nx_1
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140668322151920,nano_119
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140668322185952,nano_120
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140668322137856,tx2_4
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140668322139056,tx2_84
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140668322140256,nano_121
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140668322141456,nano_159
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140668322142656,nano_168
deploy,speech-inference,faas-workloads/speech-inference-tflite,140668322144096,coral_2
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140668322145296,coral_3
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140668322146496,nx_80
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,140668322147696,coral_19
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140668322151920,nano_218
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140668322185952,nx_52
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140668322137856,nx_67
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140668322139056,nano_222
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140668322140256,nx_44
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140668322141456,nx_95
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140668322142656,tx2_47
deploy,speech-inference,faas-workloads/speech-inference-tflite,140668322144096,rockpi_111
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140668322145296,rockpi_111
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140668322146496,rpi4_34
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,140668322147696,rpi4_35
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140668322151920,nano_26
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140668322185952,nano_81
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140668322137856,nano_196
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140668322139056,nano_225
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140668322140256,nano_273
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140668322141456,nx_34
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140668322142656,nx_60
deploy,speech-inference,faas-workloads/speech-inference-tflite,140668322144096,rockpi_108
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140668322145296,rockpi_108
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140668322146496,rockpi_125
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,140668322147696,rockpi_125
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140668322151920,nano_44
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140668322185952,nano_61
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140668322137856,nano_146
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140668322139056,nano_158
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140668322140256,nano_266
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140668322141456,nano_289
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140668322142656,nano_295
deploy,speech-inference,faas-workloads/speech-inference-tflite,140668322144096,nx_10
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140668322145296,nx_58
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140668322146496,rpi3_36
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,140668322147696,rpi3_37
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140668322151920,nano_22
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140668322185952,nano_73
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140668322137856,tx2_77
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140668322139056,nano_144
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140668322140256,nano_198
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140668322141456,nano_207
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140668322142656,nano_217
deploy,speech-inference,faas-workloads/speech-inference-tflite,140668322144096,rpi3_38
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140668322145296,rockpi_7
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140668322146496,rockpi_7
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,140668322147696,rockpi_5
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140668322151920,nano_285
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140668322185952,nx_82
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140668322137856,tx2_56
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140668322139056,nano_161
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140668322140256,nano_167
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140668322141456,nano_179
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140668322142656,nano_267
deploy,speech-inference,faas-workloads/speech-inference-tflite,140668322144096,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140668322145296,nx_15
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140668322146496,nx_63
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,140668322147696,coral_22
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140668322151920,nx_99
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140668322185952,nano_32
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140668322137856,tx2_50
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140668322139056,nano_125
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140668322140256,nano_203
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140668322141456,nano_262
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140668322142656,nano_283
deploy,speech-inference,faas-workloads/speech-inference-tflite,140668322144096,coral_31
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140668322145296,rockpi_68
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140668322146496,rockpi_68
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,140668322147696,rpi4_102
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140668322151920,nx_2
