bytes,duration,source,sink,action_type
33000000,0.27511854706936484,registry,rpi4_48,docker_pull
33000000,0.27537149961203516,registry,rpi4_49,docker_pull
33000000,0.27515668884553324,registry,rpi3_54,docker_pull
33000000,0.27545122343790324,registry,rpi3_55,docker_pull
70000000,0.5805744875282478,registry,rpi4_56,docker_pull
100000000,0.8279295319928396,registry,nano_0,docker_pull
100000000,0.8276775989517446,registry,nano_1,docker_pull
100000000,0.8278600580738679,registry,nano_2,docker_pull
137000000,1.1328957559819086,registry,rpi3_56,docker_pull
191000000,1.5788850984650658,registry,rockpi_14,docker_pull
191000000,1.5782485218201945,registry,rockpi_11,docker_pull
200000000,1.6544769982655008,registry,xeongpu_0,docker_pull
200000000,1.6512786685134655,registry,nuc_0,docker_pull
200000000,1.6511724607569824,registry,nuc_1,docker_pull
48000000,2.8372082515376125,nuc_9,rpi4_48,data_download
48000000,2.8623716699412842,nuc_9,rpi4_49,data_download
48000000,2.8729451937215726,nuc_9,rpi3_54,data_download
48000000,2.875907517367465,nuc_9,rpi3_55,data_download
33000000,0.2757412330381559,registry,rpi4_20,docker_pull
33000000,0.27522925997343517,registry,rpi4_21,docker_pull
40000000,0.3916552743749122,registry,rockpi_22,docker_pull
70000000,0.5805640919843817,registry,rpi3_45,docker_pull
70000000,0.5806580452202441,registry,rpi3_46,docker_pull
70000000,0.5800277388638229,registry,rpi3_47,docker_pull
70000000,0.580742018224214,registry,rpi4_52,docker_pull
70000000,0.5801049760804489,registry,rpi4_53,docker_pull
103000000,5.60997203800126,nuc_9,nano_2,data_download
103000000,5.617122366457691,nuc_9,nano_1,data_download
103000000,5.947214486169691,nuc_9,rpi4_56,data_download
200000000,1.6509873437021305,registry,nuc_2,docker_pull
200000000,1.651035175233865,registry,nuc_3,docker_pull
103000000,5.961193276915761,nuc_9,nano_0,data_download
103000000,5.760164952937114,nuc_9,xeongpu_0,data_download
40000000,0.34554178048951734,registry,rockpi_21,docker_pull
40000000,0.3453966748266506,registry,rockpi_9,docker_pull
70000000,0.5803155438949208,registry,rpi3_33,docker_pull
70000000,0.5803065913377274,registry,rpi3_34,docker_pull
70000000,0.5805975014826803,registry,rpi3_35,docker_pull
70000000,0.5805138947706165,registry,rpi4_4,docker_pull
70000000,0.5804894873381663,registry,rpi4_5,docker_pull
48000000,6.156002487309603,nuc_9,rockpi_22,data_download
200000000,1.6508955844790165,registry,nuc_4,docker_pull
200000000,1.6510458931780878,registry,nuc_5,docker_pull
48000000,6.899886492752944,nuc_9,rpi4_21,data_download
48000000,7.46059387997227,nuc_9,rpi4_20,data_download
48000000,8.035661551905893,nuc_9,rockpi_22,data_download
33000000,0.27541587502698306,registry,rpi4_50,docker_pull
33000000,0.2750509810500059,registry,rpi4_51,docker_pull
33000000,0.2752630821416311,registry,rpi3_36,docker_pull
33000000,0.2749980923007609,registry,rpi3_37,docker_pull
70000000,0.5804924973738643,registry,rpi3_38,docker_pull
70000000,0.5802593208016962,registry,rpi3_51,docker_pull
70000000,0.5803203887239796,registry,rpi3_52,docker_pull
70000000,0.5802841756308084,registry,rpi3_53,docker_pull
70000000,0.5802654748355032,registry,rpi4_0,docker_pull
200000000,1.651142014964904,registry,nuc_6,docker_pull
200000000,1.651112882437598,registry,nuc_7,docker_pull
33000000,0.2752795427427266,registry,rpi4_1,docker_pull
40000000,0.3388214700205019,registry,rockpi_8,docker_pull
40000000,0.333082071711452,registry,rockpi_15,docker_pull
70000000,0.5804634773794959,registry,rpi4_46,docker_pull
70000000,0.5804867321862304,registry,rpi4_47,docker_pull
70000000,0.5805940292725893,registry,rpi3_15,docker_pull
84000000,0.6959169742442768,registry,coral_2,docker_pull
84000000,0.6957550030868269,registry,coral_3,docker_pull
200000000,1.6510927923119958,registry,nuc_8,docker_pull
33000000,0.2755084034832116,registry,rpi3_16,docker_pull
40000000,0.3379321375853088,registry,rockpi_25,docker_pull
70000000,0.5803809095239778,registry,rpi3_17,docker_pull
70000000,0.5805055818001819,registry,rpi4_36,docker_pull
70000000,0.5806916539474223,registry,rpi4_37,docker_pull
70000000,0.5807136006595037,registry,rpi3_27,docker_pull
70000000,0.5803270844339856,registry,rpi3_28,docker_pull
58000000,18.58349983099184,nuc_9,nuc_3,data_download
200000000,1.6513448633863028,registry,nuc_10,docker_pull
200000000,1.6509965266894255,registry,nuc_11,docker_pull
58000000,21.92716432113321,nuc_9,nuc_0,data_download
58000000,21.908321830847694,nuc_9,nuc_3,data_download
58000000,22.26379517118435,nuc_9,nuc_3,data_download
58000000,22.35117109321416,nuc_9,nuc_1,data_download
58000000,22.470171909808236,nuc_9,nuc_2,data_download
58000000,22.50276207490065,nuc_9,nuc_3,data_download
58000000,22.516330666587066,nuc_9,nuc_1,data_download
58000000,22.536618355416785,nuc_9,nuc_2,data_download
58000000,22.58353596511693,nuc_9,nuc_0,data_download
58000000,22.675039878764764,nuc_9,nuc_1,data_download
40000000,0.3372569351332082,registry,rockpi_26,docker_pull
40000000,0.33717460088884366,registry,rockpi_10,docker_pull
58000000,22.790853016042384,nuc_9,nuc_1,data_download
58000000,22.77648404247091,nuc_9,nuc_0,data_download
58000000,22.77326741345361,nuc_9,nuc_2,data_download
70000000,0.580458932154766,registry,rpi3_29,docker_pull
70000000,0.5803798653127252,registry,rpi4_44,docker_pull
70000000,0.5808015694586643,registry,rpi4_45,docker_pull
70000000,0.5804201845689754,registry,rpi4_34,docker_pull
84000000,0.6959617664557527,registry,coral_4,docker_pull
58000000,23.108148191138397,nuc_9,nuc_2,data_download
58000000,23.14325735388185,nuc_9,nuc_0,data_download
48000000,21.10611552912759,nuc_9,rockpi_21,data_download
48000000,21.475653522721124,nuc_9,rockpi_9,data_download
200000000,1.6511870745837953,registry,nuc_12,docker_pull
200000000,1.6509683888653761,registry,nuc_13,docker_pull
48000000,21.914828848726827,nuc_9,rockpi_21,data_download
48000000,22.20923689423784,nuc_9,rockpi_9,data_download
33000000,0.2751993056332793,registry,rpi4_35,docker_pull
33000000,0.2750101434784469,registry,rpi4_57,docker_pull
40000000,0.3331370170756145,registry,rockpi_11,docker_pull
40000000,0.33286282200423756,registry,coral_0,docker_pull
70000000,0.5807533312549324,registry,rpi4_54,docker_pull
70000000,0.5803655077113348,registry,rpi4_55,docker_pull
70000000,0.5807214424900735,registry,rpi4_2,docker_pull
70000000,0.5803233897556339,registry,rpi4_3,docker_pull
70000000,0.5804574228978225,registry,rpi3_39,docker_pull
200000000,1.650943727135349,registry,nuc_14,docker_pull
200000000,1.6514130316813223,registry,nuc_15,docker_pull
40000000,0.33587219197074347,registry,rockpi_17,docker_pull
40000000,0.3361665491867001,registry,rockpi_24,docker_pull
70000000,0.5803065293508496,registry,rpi3_40,docker_pull
70000000,0.5807139565086956,registry,rpi3_41,docker_pull
70000000,0.5803605414906627,registry,rpi4_28,docker_pull
70000000,0.5803909055929353,registry,rpi4_29,docker_pull
70000000,0.5806411621988516,registry,rpi4_24,docker_pull
200000000,1.6508157276134838,registry,nuc_16,docker_pull
200000000,1.6510353138537965,registry,nuc_17,docker_pull
58000000,32.20010520943182,nuc_9,nuc_4,data_download
48000000,29.28781115218304,nuc_9,rpi4_51,data_download
58000000,33.056795512627225,nuc_9,nuc_5,data_download
58000000,33.129834763504554,nuc_9,nuc_5,data_download
58000000,33.25640051380434,nuc_9,nuc_4,data_download
58000000,33.277337019365916,nuc_9,nuc_4,data_download
58000000,33.382207860330105,nuc_9,nuc_5,data_download
40000000,0.33583961260583095,registry,rockpi_19,docker_pull
40000000,0.3355457748203179,registry,rockpi_30,docker_pull
48000000,30.097555263749456,nuc_9,rpi3_37,data_download
58000000,33.49674614966952,nuc_9,nuc_5,data_download
70000000,0.5802593211500806,registry,rpi4_25,docker_pull
70000000,0.580427581961203,registry,rpi4_30,docker_pull
70000000,0.5805833641030844,registry,rpi4_31,docker_pull
70000000,0.5810130889269516,registry,rpi4_42,docker_pull
58000000,33.55802565159932,nuc_9,nuc_4,data_download
70000000,0.5802541879554113,registry,rpi4_43,docker_pull
48000000,30.697280158626146,nuc_9,rpi3_36,data_download
48000000,30.718805705403543,nuc_9,rpi4_50,data_download
103000000,41.172968159100904,nuc_9,rpi3_45,data_download
103000000,43.090307570823256,nuc_9,rpi3_47,data_download
103000000,43.526635012906056,nuc_9,rpi4_52,data_download
103000000,43.74654054829633,nuc_9,rpi3_46,data_download
103000000,44.38337864237208,nuc_9,rpi4_53,data_download
40000000,0.3356371929142199,registry,rockpi_0,docker_pull
40000000,0.3359897283939972,registry,rockpi_16,docker_pull
70000000,0.5801829771979996,registry,rpi3_12,docker_pull
70000000,0.5804727892670698,registry,rpi3_13,docker_pull
70000000,0.5802514400120273,registry,rpi3_14,docker_pull
70000000,0.5804897338313353,registry,rpi4_8,docker_pull
70000000,0.5803350293228888,registry,rpi4_9,docker_pull
40000000,0.33556006931581095,registry,rockpi_18,docker_pull
40000000,0.3352689417777128,registry,rockpi_23,docker_pull
70000000,0.5804021726232165,registry,rpi4_26,docker_pull
70000000,0.5809377716810573,registry,rpi4_27,docker_pull
70000000,0.5805121980777201,registry,rpi4_16,docker_pull
