value,function_name,node_name,replica_id
deploy,resnet50-inference,nano_0,140302075960560
deploy,resnet50-inference-downtown,nano_1,140302075961424
deploy,resnet50-inference-suburb,nano_2,140302076245088
deploy,resnet50-inference-industrial,xeongpu_0,140302076246048
deploy,speech-inference,rpi4_48,140302076247968
deploy,speech-inference-downtown,rpi4_49,140302076347296
deploy,speech-inference-suburb,rpi3_54,140302076348256
deploy,speech-inference-industrial,rpi3_55,140302076349216
deploy,resnet50-preprocessing,rpi3_56,140302076350176
deploy,resnet50-preprocessing-downtown,rockpi_14,140302076351136
deploy,resnet50-preprocessing-suburb,rockpi_14,140302076352096
startup,resnet50-preprocessing-suburb,rockpi_14,140302076352096
setup,resnet50-preprocessing-suburb,rockpi_14,140302076352096
finish,resnet50-preprocessing-suburb,rockpi_14,140302076352096
deploy,resnet50-preprocessing-industrial,rockpi_11,140302076353056
deploy,resnet50-inference-residential,rpi4_56,140302076354304
deploy,resnet50-training,nuc_0,140302076359632
deploy,resnet50-training-downtown,nuc_1,140302076359584
startup,speech-inference,rpi4_48,140302076247968
setup,speech-inference,rpi4_48,140302076247968
startup,speech-inference-downtown,rpi4_49,140302076347296
setup,speech-inference-downtown,rpi4_49,140302076347296
startup,speech-inference-suburb,rpi3_54,140302076348256
setup,speech-inference-suburb,rpi3_54,140302076348256
startup,speech-inference-industrial,rpi3_55,140302076349216
setup,speech-inference-industrial,rpi3_55,140302076349216
startup,resnet50-inference-residential,rpi4_56,140302076354304
setup,resnet50-inference-residential,rpi4_56,140302076354304
startup,resnet50-inference,nano_0,140302075960560
setup,resnet50-inference,nano_0,140302075960560
startup,resnet50-inference-downtown,nano_1,140302075961424
setup,resnet50-inference-downtown,nano_1,140302075961424
startup,resnet50-inference-suburb,nano_2,140302076245088
setup,resnet50-inference-suburb,nano_2,140302076245088
startup,resnet50-preprocessing,rpi3_56,140302076350176
setup,resnet50-preprocessing,rpi3_56,140302076350176
finish,resnet50-preprocessing,rpi3_56,140302076350176
startup,resnet50-preprocessing-downtown,rockpi_14,140302076351136
setup,resnet50-preprocessing-downtown,rockpi_14,140302076351136
finish,resnet50-preprocessing-downtown,rockpi_14,140302076351136
startup,resnet50-preprocessing-industrial,rockpi_11,140302076353056
setup,resnet50-preprocessing-industrial,rockpi_11,140302076353056
finish,resnet50-preprocessing-industrial,rockpi_11,140302076353056
