deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,5,490.91239906229856,379.180820431519,111.73157863077952,22.75998301208122,8,20
python-pi,5,1273.9463168973057,918.0088544968239,355.93746240048176,27.93975363635156,4,8
python-pi,5,1273.9463168973057,918.0088544968239,355.93746240048176,27.93975363635156,4,8
resnet50-inference,10,490.91239906229856,379.180820431519,111.73157863077952,22.75998301208122,8,20
python-pi,10,1273.9463168973057,918.0088544968239,355.93746240048176,27.93975363635156,4,8
python-pi,10,1273.9463168973057,918.0088544968239,355.93746240048176,27.93975363635156,4,8
resnet50-inference,40,9531.783478491192,388.58171166425115,9143.201766826942,95.92330530229627,98,98
resnet50-inference,40,9531.783478491192,388.58171166425115,9143.201766826942,95.92330530229627,98,98
speech-inference,40,20473.325175303504,3798.5850452286872,16674.740130074817,81.44617441132215,6,6
speech-inference,40,20473.325175303504,3798.5850452286872,16674.740130074817,81.44617441132215,6,6
python-pi,40,10920.563281398097,916.1428051969677,10004.42047620113,91.61084660571026,119,119
python-pi,40,10920.563281398097,916.1428051969677,10004.42047620113,91.61084660571026,119,119
resnet50-inference,45,10295.750148990135,386.73071203325543,9909.01943695688,96.24378305187226,48,48
resnet50-inference,45,10295.750148990135,386.73071203325543,9909.01943695688,96.24378305187226,48,48
python-pi,45,11459.176056613951,917.3988162856531,10541.777240328296,91.9941991313053,53,53
python-pi,45,11459.176056613951,917.3988162856531,10541.777240328296,91.9941991313053,53,53
resnet50-inference,75,4265.409126366915,552.3485960711561,3713.0605302957592,87.05051309951077,174,192
resnet50-inference,75,4265.409126366915,552.3485960711561,3713.0605302957592,87.05051309951077,174,192
speech-inference,75,30105.125018562787,3798.9354996073284,26306.189518955456,87.38110040312102,13,13
speech-inference,75,30105.125018562787,3798.9354996073284,26306.189518955456,87.38110040312102,13,13
resnet50-preprocessing,75,58425.70940299514,7496.885758135349,50928.82364485979,87.16851565049028,1,1
resnet50-preprocessing,75,58425.70940299514,7496.885758135349,50928.82364485979,87.16851565049028,1,1
python-pi,75,7258.499462789053,914.4438659208325,6344.055596868222,87.40175058758689,121,181
python-pi,75,7258.499462789053,914.4438659208325,6344.055596868222,87.40175058758689,121,181
resnet50-inference,80,3024.784815133385,540.7887161789719,2483.9960989544134,82.12141526652287,75,86
resnet50-inference,80,3024.784815133385,540.7887161789719,2483.9960989544134,82.12141526652287,75,86
speech-inference,80,48264.1331323788,3769.388078861951,44494.745053516854,92.19008436653513,1,1
speech-inference,80,48264.1331323788,3769.388078861951,44494.745053516854,92.19008436653513,1,1
python-pi,80,6685.850550964569,914.2913397062387,5771.55921125833,86.32498090202847,60,91
python-pi,80,6685.850550964569,914.2913397062387,5771.55921125833,86.32498090202847,60,91
resnet50-inference,110,582.7127049371401,582.7127049371401,0.0,0.0,0,142
resnet50-inference,110,582.7127049371401,582.7127049371401,0.0,0.0,0,142
speech-inference,110,44978.863241638035,3826.856462453507,41152.00677918453,91.49187821422998,12,12
speech-inference,110,44978.863241638035,3826.856462453507,41152.00677918453,91.49187821422998,12,12
resnet50-preprocessing,110,88582.96022657401,7538.644863362804,81044.31536321121,91.48973477056902,2,2
resnet50-preprocessing,110,88582.96022657401,7538.644863362804,81044.31536321121,91.48973477056902,2,2
python-pi,110,2493.5559294808063,1131.420745952914,1362.1351835278924,54.62621340967909,65,158
