value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_0
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,rockpi_30
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685468127968,rockpi_30
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139685468128832,nano_15
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_25
deploy,fio,faas-workloads/fio,139685468130800,rpi3_21
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_25
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_16
deploy,fio,faas-workloads/fio,139685468130800,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_17
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,rockpi_16
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_23
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_0
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_23
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_0
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685468127968,coral_0
deploy,python-pi,faas-workloads/python-pi,139685468129984,rpi3_22
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_1
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,rpi3_23
deploy,python-pi,faas-workloads/python-pi,139685468129984,rpi3_27
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_2
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_0
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685468127968,rpi3_23
deploy,python-pi,faas-workloads/python-pi,139685468129984,rpi3_28
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_10
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,rpi3_23
deploy,python-pi,faas-workloads/python-pi,139685468129984,rpi3_29
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_0
deploy,python-pi,faas-workloads/python-pi,139685468129984,rpi3_23
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_13
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,rockpi_4
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_14
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_0
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685468127968,rockpi_4
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_11
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_4
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,rockpi_4
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_11
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_7
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_0
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_7
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,coral_1
deploy,python-pi,faas-workloads/python-pi,139685468129984,coral_2
deploy,fio,faas-workloads/fio,139685468130800,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_5
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_0
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685468127968,coral_1
deploy,python-pi,faas-workloads/python-pi,139685468129984,coral_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_3
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,coral_1
deploy,python-pi,faas-workloads/python-pi,139685468129984,nx_12
deploy,fio,faas-workloads/fio,139685468130800,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_4
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_0
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685468127968,coral_1
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_33
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_8
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,coral_1
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_33
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_5
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_0
deploy,python-pi,faas-workloads/python-pi,139685468129984,coral_1
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_6
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,rockpi_5
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_5
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_14
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_0
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685468127968,rockpi_5
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_24
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_1
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,rockpi_5
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_24
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_16
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_0
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_5
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_2
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_10
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_3
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_0
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685468127968,nx_10
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_11
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_10
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_27
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_13
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_0
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685468127968,nx_10
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_27
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_9
deploy,python-pi,faas-workloads/python-pi,139685468129984,nx_0
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_9
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_10
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685468127968,nx_13
deploy,python-pi,faas-workloads/python-pi,139685468129984,nx_14
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_10
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_13
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_0
deploy,fio,faas-workloads/fio,139685468130800,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_19
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_10
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685468127968,nx_13
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_0
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nx_8
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_13
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_32
deploy,python-pi,faas-workloads/python-pi,139685468129984,nx_13
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_11
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_10
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685468127968,rockpi_32
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_14
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_6
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,rockpi_32
deploy,python-pi,faas-workloads/python-pi,139685468129984,rockpi_14
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139685468125552,nano_18
deploy,speech-inference,faas-workloads/speech-inference-tflite,139685468126992,nx_10
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139685468127968,rockpi_32
deploy,python-pi,faas-workloads/python-pi,139685468129984,nx_4
