value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_0,139685468006640
deploy,speech-inference,rockpi_30,139685468007504
deploy,resnet50-preprocessing,rockpi_30,139685468262256
deploy,resnet50-training,nano_15,139685468263216
deploy,python-pi,rockpi_25,139685468264176
deploy,fio,rpi3_21,139685468265136
startup,fio,rpi3_21,139685468265136
setup,fio,rpi3_21,139685468265136
finish,fio,rpi3_21,139685468265136
startup,python-pi,rockpi_25,139685468264176
setup,python-pi,rockpi_25,139685468264176
finish,python-pi,rockpi_25,139685468264176
startup,speech-inference,rockpi_30,139685468007504
setup,speech-inference,rockpi_30,139685468007504
startup,resnet50-inference,nx_0,139685468006640
setup,resnet50-inference,nx_0,139685468006640
startup,resnet50-training,nano_15,139685468263216
setup,resnet50-training,nano_15,139685468263216
finish,resnet50-training,nano_15,139685468263216
finish,speech-inference,rockpi_30,139685468007504
finish,resnet50-inference,nx_0,139685468006640
startup,resnet50-preprocessing,rockpi_30,139685468262256
setup,resnet50-preprocessing,rockpi_30,139685468262256
finish,resnet50-preprocessing,rockpi_30,139685468262256
deploy,python-pi,rockpi_25,139685465931344
startup,python-pi,rockpi_25,139685465931344
setup,python-pi,rockpi_25,139685465931344
finish,python-pi,rockpi_25,139685465931344
deploy,python-pi,rockpi_16,139685465567968
startup,python-pi,rockpi_16,139685465567968
setup,python-pi,rockpi_16,139685465567968
finish,python-pi,rockpi_16,139685465567968
deploy,fio,rpi3_21,139685460819872
startup,fio,rpi3_21,139685460819872
setup,fio,rpi3_21,139685460819872
finish,fio,rpi3_21,139685460819872
deploy,resnet50-inference,nano_17,139685456490080
deploy,speech-inference,rockpi_16,139685456599968
deploy,python-pi,rockpi_23,139685456600448
startup,speech-inference,rockpi_16,139685456599968
setup,speech-inference,rockpi_16,139685456599968
startup,python-pi,rockpi_23,139685456600448
setup,python-pi,rockpi_23,139685456600448
finish,python-pi,rockpi_23,139685456600448
finish,speech-inference,rockpi_16,139685456599968
startup,resnet50-inference,nano_17,139685456490080
setup,resnet50-inference,nano_17,139685456490080
finish,resnet50-inference,nano_17,139685456490080
deploy,resnet50-inference,nano_0,139685465922944
deploy,python-pi,rockpi_23,139685455800752
startup,python-pi,rockpi_23,139685455800752
setup,python-pi,rockpi_23,139685455800752
finish,python-pi,rockpi_23,139685455800752
startup,resnet50-inference,nano_0,139685465922944
setup,resnet50-inference,nano_0,139685465922944
finish,resnet50-inference,nano_0,139685465922944
deploy,resnet50-inference,nx_12,139685446799072
deploy,speech-inference,nx_0,139685446492048
deploy,resnet50-preprocessing,coral_0,139685446810544
deploy,python-pi,rpi3_22,139685446943360
startup,speech-inference,nx_0,139685446492048
setup,speech-inference,nx_0,139685446492048
startup,python-pi,rpi3_22,139685446943360
setup,python-pi,rpi3_22,139685446943360
finish,python-pi,rpi3_22,139685446943360
finish,speech-inference,nx_0,139685446492048
startup,resnet50-inference,nx_12,139685446799072
setup,resnet50-inference,nx_12,139685446799072
startup,resnet50-preprocessing,coral_0,139685446810544
setup,resnet50-preprocessing,coral_0,139685446810544
finish,resnet50-preprocessing,coral_0,139685446810544
finish,resnet50-inference,nx_12,139685446799072
deploy,resnet50-inference,nano_1,139685445936432
deploy,speech-inference,rpi3_23,139685446095136
deploy,python-pi,rpi3_27,139685446095808
startup,speech-inference,rpi3_23,139685446095136
setup,speech-inference,rpi3_23,139685446095136
startup,python-pi,rpi3_27,139685446095808
setup,python-pi,rpi3_27,139685446095808
finish,python-pi,rpi3_27,139685446095808
finish,speech-inference,rpi3_23,139685446095136
startup,resnet50-inference,nano_1,139685445936432
setup,resnet50-inference,nano_1,139685445936432
finish,resnet50-inference,nano_1,139685445936432
teardown,speech-inference,rpi3_23,139685446095136
teardown,speech-inference,nx_0,139685446492048
deploy,resnet50-inference,nano_2,139685440021856
deploy,speech-inference,nx_0,139685439086864
startup,speech-inference,nx_0,139685439086864
setup,speech-inference,nx_0,139685439086864
deploy,resnet50-preprocessing,rpi3_23,139685439087488
deploy,python-pi,rpi3_28,139685439086720
finish,speech-inference,nx_0,139685439086864
startup,python-pi,rpi3_28,139685439086720
setup,python-pi,rpi3_28,139685439086720
finish,python-pi,rpi3_28,139685439086720
startup,resnet50-inference,nano_2,139685440021856
setup,resnet50-inference,nano_2,139685440021856
startup,resnet50-preprocessing,rpi3_23,139685439087488
setup,resnet50-preprocessing,rpi3_23,139685439087488
finish,resnet50-preprocessing,rpi3_23,139685439087488
finish,resnet50-inference,nano_2,139685440021856
teardown,resnet50-preprocessing,rpi3_23,139685439087488
deploy,resnet50-inference,nx_10,139685437196608
deploy,speech-inference,rpi3_23,139685437208272
startup,speech-inference,rpi3_23,139685437208272
setup,speech-inference,rpi3_23,139685437208272
deploy,python-pi,rpi3_29,139685437208608
finish,speech-inference,rpi3_23,139685437208272
startup,python-pi,rpi3_29,139685437208608
