timestamp,strategy,deployment,action,old_replica_count,new_replica_count,selected_node,selected_node_type,current_load_rps,avg_response_time_ms,reason,scaling_direction
5,KubernetesStyleFirstFit,resnet50-inference,no_action,1,1,,,6.6,490.91239906229856,Within thresholds,0
5,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,1.0,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,1.6,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,resnet50-training,no_action,1,1,,,3.6,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,python-pi,scale_up,1,2,rockpi_30,rockpi,0.0,1273.9463168973057,,1
5,KubernetesStyleFirstFit,fio,no_action,1,1,,,11.0,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,resnet50-inference,no_action,1,1,,,12.0,490.91239906229856,Within thresholds,0
10,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,3.0,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,3.2,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,resnet50-training,no_action,1,1,,,7.8,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,python-pi,scale_up,2,3,rockpi_30,rockpi,0.0,1273.9463168973057,,1
10,KubernetesStyleFirstFit,fio,no_action,1,1,,,16.2,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,resnet50-inference,no_action,1,1,,,14.2,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,2.0,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,2.6,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,resnet50-training,no_action,1,1,,,8.2,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,python-pi,no_action,3,3,,,17.6,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,fio,no_action,1,1,,,17.4,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,resnet50-inference,no_action,1,1,,,16.6,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,3.8,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,2.8,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,resnet50-training,no_action,1,1,,,5.6,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,python-pi,no_action,3,3,,,14.8,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,fio,no_action,1,1,,,14.6,0.0,Within thresholds,0
25,KubernetesStyleFirstFit,resnet50-inference,no_action,1,1,,,15.4,0.0,Within thresholds,0
25,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,4.2,0.0,Within thresholds,0
25,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,2.2,0.0,Within thresholds,0
25,KubernetesStyleFirstFit,resnet50-training,no_action,1,1,,,8.6,0.0,Within thresholds,0
25,KubernetesStyleFirstFit,python-pi,no_action,3,3,,,16.6,0.0,Within thresholds,0
25,KubernetesStyleFirstFit,fio,scale_up,1,2,nuc_0,nuc,0.0,0.0,,1
30,KubernetesStyleFirstFit,resnet50-inference,no_action,1,1,,,14.6,0.0,Within thresholds,0
30,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,3.8,0.0,Within thresholds,0
