value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140082693732768,nx_0
deploy,speech-inference,faas-workloads/speech-inference-tflite,140082693734208,rockpi_30
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140082693735184,rockpi_30
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140082693736048,nano_15
deploy,python-pi,faas-workloads/python-pi,140082693737200,rockpi_25
deploy,fio,faas-workloads/fio,140082693738016,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140082693732768,nano_17
deploy,python-pi,faas-workloads/python-pi,140082693737200,rockpi_25
deploy,fio,faas-workloads/fio,140082693738016,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140082693732768,nano_0
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140082693736048,nx_12
deploy,python-pi,faas-workloads/python-pi,140082693737200,rockpi_16
deploy,fio,faas-workloads/fio,140082693738016,rpi3_22
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140082693732768,nano_1
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140082693736048,nano_2
deploy,python-pi,faas-workloads/python-pi,140082693737200,rockpi_16
deploy,fio,faas-workloads/fio,140082693738016,rpi3_22
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140082693732768,nx_10
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140082693736048,nano_12
deploy,python-pi,faas-workloads/python-pi,140082693737200,rockpi_23
deploy,fio,faas-workloads/fio,140082693738016,rpi3_23
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140082693732768,nx_13
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140082693736048,nx_14
deploy,python-pi,faas-workloads/python-pi,140082693737200,rockpi_23
deploy,fio,faas-workloads/fio,140082693738016,rpi3_23
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140082693732768,nx_4
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140082693736048,nx_7
deploy,python-pi,faas-workloads/python-pi,140082693737200,nx_0
deploy,fio,faas-workloads/fio,140082693738016,rpi3_27
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140082693732768,nano_7
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140082693736048,nano_5
deploy,python-pi,faas-workloads/python-pi,140082693737200,coral_0
deploy,fio,faas-workloads/fio,140082693738016,rpi3_27
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140082693732768,nano_3
deploy,speech-inference,faas-workloads/speech-inference-tflite,140082693734208,rpi3_28
