timestamp,strategy,deployment,action,old_replica_count,new_replica_count,selected_node,selected_node_type,current_load_rps,avg_response_time_ms,reason,scaling_direction
5,KubernetesStyleFirstFit,resnet50-inference,scale_up,1,2,nx_10,nx,0.0,645.326752725393,,1
5,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,1.6,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,1.6,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,resnet50-training,no_action,1,1,,,4.4,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,python-pi,scale_up,1,2,rockpi_30,rockpi,0.0,1263.8826410324218,,1
5,KubernetesStyleFirstFit,fio,no_action,1,1,,,9.4,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,resnet50-inference,scale_up,2,3,nx_10,nx,0.0,645.326752725393,,1
10,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,3.6,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,3.6,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,resnet50-training,no_action,1,1,,,9.8,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,python-pi,scale_up,2,3,rockpi_30,rockpi,0.0,1263.8826410324218,,1
10,KubernetesStyleFirstFit,fio,scale_up,1,2,nuc_0,nuc,0.0,0.0,,1
15,KubernetesStyleFirstFit,resnet50-inference,no_action,3,3,,,19.4,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,4.2,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,4.2,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,resnet50-training,no_action,1,1,,,11.0,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,python-pi,scale_up,3,4,rockpi_30,rockpi,0.0,0.0,,1
15,KubernetesStyleFirstFit,fio,scale_up,2,3,nuc_0,nuc,0.0,0.0,,1
20,KubernetesStyleFirstFit,resnet50-inference,scale_up,3,4,nx_10,nx,0.0,0.0,,1
20,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,4.6,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,4.6,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,resnet50-training,no_action,1,1,,,12.2,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,python-pi,scale_up,4,5,rockpi_30,rockpi,0.0,0.0,,1
20,KubernetesStyleFirstFit,fio,scale_up,3,4,nuc_0,nuc,0.0,0.0,,1
25,KubernetesStyleFirstFit,resnet50-inference,scale_up,4,5,nx_10,nx,0.0,0.0,,1
25,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,4.8,0.0,Within thresholds,0
25,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,4.8,0.0,Within thresholds,0
