value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140508320147600,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140508320148464,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140508320147600,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140508320147600,nx_10,True
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140508320387120,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140508320388080,,
queue,python-pi,faas-workloads/python-pi,140508320389040,,
queue,fio,faas-workloads/fio,140508320390000,,
start,speech-inference,faas-workloads/speech-inference-tflite,140508320148464,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140508320148464,rockpi_30,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140508320387120,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140508320387120,rockpi_30,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140508320388080,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140508320388080,nano_3,True
start,python-pi,faas-workloads/python-pi,140508320389040,,
finish,python-pi,faas-workloads/python-pi,140508320389040,rockpi_8,True
start,fio,faas-workloads/fio,140508320390000,,
finish,fio,faas-workloads/fio,140508320390000,rpi3_3,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140508318104976,,
queue,python-pi,faas-workloads/python-pi,140508318364528,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140508318104976,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140508318104976,nx_3,True
start,python-pi,faas-workloads/python-pi,140508318364528,,
finish,python-pi,faas-workloads/python-pi,140508318364528,rockpi_8,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140508318090576,,
queue,python-pi,faas-workloads/python-pi,140508315660736,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140508318090576,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140508318090576,nano_17,True
queue,fio,faas-workloads/fio,140508315661360,,
start,python-pi,faas-workloads/python-pi,140508315660736,,
finish,python-pi,faas-workloads/python-pi,140508315660736,nx_10,True
start,fio,faas-workloads/fio,140508315661360,,
finish,fio,faas-workloads/fio,140508315661360,rpi3_3,True
queue,python-pi,faas-workloads/python-pi,140508316141504,,
queue,fio,faas-workloads/fio,140508315240480,,
start,python-pi,faas-workloads/python-pi,140508316141504,,
finish,python-pi,faas-workloads/python-pi,140508316141504,coral_1,True
start,fio,faas-workloads/fio,140508315240480,,
finish,fio,faas-workloads/fio,140508315240480,rpi3_4,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140508315251760,,
queue,python-pi,faas-workloads/python-pi,140508312517312,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140508315251760,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140508315251760,nano_15,True
queue,fio,faas-workloads/fio,140508312518512,,
start,python-pi,faas-workloads/python-pi,140508312517312,,
finish,python-pi,faas-workloads/python-pi,140508312517312,coral_3,True
start,fio,faas-workloads/fio,140508312518512,,
finish,fio,faas-workloads/fio,140508312518512,rpi3_4,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140508312055392,,
queue,python-pi,faas-workloads/python-pi,140508312264064,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140508312055392,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140508312055392,nano_26,True
queue,fio,faas-workloads/fio,140508312265264,,
start,python-pi,faas-workloads/python-pi,140508312264064,,
finish,python-pi,faas-workloads/python-pi,140508312264064,rpi3_5,True
start,fio,faas-workloads/fio,140508312265264,,
finish,fio,faas-workloads/fio,140508312265264,rpi3_21,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140508309665392,,
queue,python-pi,faas-workloads/python-pi,140508309824960,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140508309665392,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140508309665392,nx_13,True
queue,fio,faas-workloads/fio,140508309826160,,
start,python-pi,faas-workloads/python-pi,140508309824960,,
finish,python-pi,faas-workloads/python-pi,140508309824960,rockpi_13,True
start,fio,faas-workloads/fio,140508309826160,,
finish,fio,faas-workloads/fio,140508309826160,rpi3_21,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140508307356304,,
queue,python-pi,faas-workloads/python-pi,140508307499440,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140508307356304,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140508307356304,nano_18,True
queue,fio,faas-workloads/fio,140508307500640,,
start,python-pi,faas-workloads/python-pi,140508307499440,,
finish,python-pi,faas-workloads/python-pi,140508307499440,rockpi_13,True
start,fio,faas-workloads/fio,140508307500640,,
finish,fio,faas-workloads/fio,140508307500640,rpi3_22,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140508305018880,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140508318104688,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140508305018880,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140508305018880,nano_19,True
queue,python-pi,faas-workloads/python-pi,140508305228560,,
queue,fio,faas-workloads/fio,140508305228704,,
start,speech-inference,faas-workloads/speech-inference-tflite,140508318104688,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140508318104688,nx_3,True
start,python-pi,faas-workloads/python-pi,140508305228560,,
finish,python-pi,faas-workloads/python-pi,140508305228560,rockpi_12,True
start,fio,faas-workloads/fio,140508305228704,,
finish,fio,faas-workloads/fio,140508305228704,rpi3_22,True
