deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,5,490.91239906229856,379.180820431519,111.73157863077952,22.75998301208122,8,20
resnet50-inference,5,490.91239906229856,379.180820431519,111.73157863077952,22.75998301208122,8,20
python-pi,5,1273.9463168973057,918.0088544968239,355.93746240048176,27.93975363635156,4,8
python-pi,5,1273.9463168973057,918.0088544968239,355.93746240048176,27.93975363635156,4,8
resnet50-inference,10,490.91239906229856,379.180820431519,111.73157863077952,22.75998301208122,8,20
resnet50-inference,10,490.91239906229856,379.180820431519,111.73157863077952,22.75998301208122,8,20
python-pi,10,1273.9463168973057,918.0088544968239,355.93746240048176,27.93975363635156,4,8
python-pi,10,1273.9463168973057,918.0088544968239,355.93746240048176,27.93975363635156,4,8
resnet50-inference,40,535.4486497837855,535.4486497837855,0.0,0.0,0,141
resnet50-inference,40,535.4486497837855,535.4486497837855,0.0,0.0,0,141
speech-inference,40,20473.325175303504,3798.5850452286872,16674.740130074817,81.44617441132215,6,6
speech-inference,40,20473.325175303504,3798.5850452286872,16674.740130074817,81.44617441132215,6,6
python-pi,40,4959.848721835107,970.3370268419312,3989.511694993176,80.4361568011108,69,169
python-pi,40,4959.848721835107,970.3370268419312,3989.511694993176,80.4361568011108,69,169
resnet50-inference,45,540.8207331238307,540.8207331238307,0.0,0.0,0,69
resnet50-inference,45,540.8207331238307,540.8207331238307,0.0,0.0,0,69
python-pi,45,4766.547668667229,998.1954261831415,3768.3522424840867,79.05831441181732,26,73
python-pi,45,4766.547668667229,998.1954261831415,3768.3522424840867,79.05831441181732,26,73
resnet50-inference,75,533.1426809858048,533.1426809858048,0.0,0.0,0,125
resnet50-inference,75,533.1426809858048,533.1426809858048,0.0,0.0,0,125
speech-inference,75,46652.03852131727,3781.46092293607,42870.57759838118,91.8943286450212,6,6
speech-inference,75,46652.03852131727,3781.46092293607,42870.57759838118,91.8943286450212,6,6
resnet50-preprocessing,75,58425.70940299514,7496.885758135349,50928.82364485979,87.16851565049028,1,1
resnet50-preprocessing,75,58425.70940299514,7496.885758135349,50928.82364485979,87.16851565049028,1,1
python-pi,75,1111.7780174066258,1111.7780174066258,0.0,0.0,0,147
python-pi,75,1111.7780174066258,1111.7780174066258,0.0,0.0,0,147
resnet50-inference,80,531.7328125926949,531.7328125926949,0.0,0.0,0,51
resnet50-inference,80,531.7328125926949,531.7328125926949,0.0,0.0,0,51
speech-inference,80,48362.54958102402,3767.300362725237,44595.24921829878,92.21029413179778,1,1
speech-inference,80,48362.54958102402,3767.300362725237,44595.24921829878,92.21029413179778,1,1
python-pi,80,1101.429954114683,1101.429954114683,0.0,0.0,0,73
python-pi,80,1101.429954114683,1101.429954114683,0.0,0.0,0,73
resnet50-inference,110,838.4486120250908,838.4486120250908,0.0,0.0,0,133
resnet50-inference,110,838.4486120250908,838.4486120250908,0.0,0.0,0,133
speech-inference,110,37270.06777455568,4341.363078618544,32928.70469593714,88.3516093802695,8,13
speech-inference,110,37270.06777455568,4341.363078618544,32928.70469593714,88.3516093802695,8,13
resnet50-preprocessing,110,43682.6410365258,6517.754648181475,37164.88638834432,85.07930268517516,6,6
resnet50-preprocessing,110,43682.6410365258,6517.754648181475,37164.88638834432,85.07930268517516,6,6
python-pi,110,1072.7811964988077,1072.7811964988077,0.0,0.0,0,157
python-pi,110,1072.7811964988077,1072.7811964988077,0.0,0.0,0,157
resnet50-inference,115,589.544451874149,589.544451874149,0.0,0.0,0,62
resnet50-inference,115,589.544451874149,589.544451874149,0.0,0.0,0,62
speech-inference,115,38986.071199730344,3828.335174761197,35157.736024969156,90.1802488505493,2,4
speech-inference,115,38986.071199730344,3828.335174761197,35157.736024969156,90.1802488505493,2,4
python-pi,115,1074.1452448709972,1074.1452448709972,0.0,0.0,0,68
python-pi,115,1074.1452448709972,1074.1452448709972,0.0,0.0,0,68
resnet50-inference,145,1398.1143626800933,1398.1143626800933,0.0,0.0,0,105
resnet50-inference,145,1398.1143626800933,1398.1143626800933,0.0,0.0,0,105
speech-inference,145,47688.77687543963,4314.589550476917,43374.18732496272,90.95261016707059,9,14
speech-inference,145,47688.77687543963,4314.589550476917,43374.18732496272,90.95261016707059,9,14
resnet50-preprocessing,145,35600.72153071995,6453.884060335462,29146.837470384493,81.87147961378707,4,4
resnet50-preprocessing,145,35600.72153071995,6453.884060335462,29146.837470384493,81.87147961378707,4,4
python-pi,145,1038.4264807799088,1038.4264807799088,0.0,0.0,0,142
python-pi,145,1038.4264807799088,1038.4264807799088,0.0,0.0,0,142
resnet50-inference,150,719.2544085273064,719.2544085273064,0.0,0.0,0,38
resnet50-inference,150,719.2544085273064,719.2544085273064,0.0,0.0,0,38
speech-inference,150,59369.33611543985,3823.120608481171,55546.21550695868,93.56044574753646,2,3
speech-inference,150,59369.33611543985,3823.120608481171,55546.21550695868,93.56044574753646,2,3
python-pi,150,1015.4280807117254,1015.4280807117254,0.0,0.0,0,68
python-pi,150,1015.4280807117254,1015.4280807117254,0.0,0.0,0,68
resnet50-inference,180,1923.192201684784,1923.192201684784,0.0,0.0,0,98
resnet50-inference,180,1923.192201684784,1923.192201684784,0.0,0.0,0,98
speech-inference,180,44089.79931108677,4180.191825722463,39909.6074853643,90.5189139187773,10,19
speech-inference,180,44089.79931108677,4180.191825722463,39909.6074853643,90.5189139187773,10,19
resnet50-preprocessing,180,117989.51203069571,7647.715147638564,110341.79688305713,93.51830936833693,5,5
resnet50-preprocessing,180,117989.51203069571,7647.715147638564,110341.79688305713,93.51830936833693,5,5
python-pi,180,1030.5104796294556,1030.5104796294556,0.0,0.0,0,151
python-pi,180,1030.5104796294556,1030.5104796294556,0.0,0.0,0,151
resnet50-inference,185,933.3554398415025,933.3554398415025,0.0,0.0,0,33
resnet50-inference,185,933.3554398415025,933.3554398415025,0.0,0.0,0,33
speech-inference,185,94390.38048623862,3834.5161875147514,90555.86429872387,95.93759854790098,2,2
speech-inference,185,94390.38048623862,3834.5161875147514,90555.86429872387,95.93759854790098,2,2
python-pi,185,1034.0255303923402,1034.0255303923402,0.0,0.0,0,67
python-pi,185,1034.0255303923402,1034.0255303923402,0.0,0.0,0,67
resnet50-inference,215,2379.8030911176356,2379.8030911176356,0.0,0.0,0,89
resnet50-inference,215,2379.8030911176356,2379.8030911176356,0.0,0.0,0,89
speech-inference,215,32199.571942258826,3794.089683292289,28405.482258966535,88.21695614433645,8,17
speech-inference,215,32199.571942258826,3794.089683292289,28405.482258966535,88.21695614433645,8,17
resnet50-preprocessing,215,53165.78300374037,6919.198138773941,46246.58486496643,86.9856179146517,7,7
resnet50-preprocessing,215,53165.78300374037,6919.198138773941,46246.58486496643,86.9856179146517,7,7
python-pi,215,1017.0865436984174,1017.0865436984174,0.0,0.0,0,153
python-pi,215,1017.0865436984174,1017.0865436984174,0.0,0.0,0,153
resnet50-inference,220,791.31850946481,791.31850946481,0.0,0.0,0,20
resnet50-inference,220,791.31850946481,791.31850946481,0.0,0.0,0,20
speech-inference,220,19924.509758997036,3540.582343401617,16383.927415595415,82.23001526146535,1,4
speech-inference,220,19924.509758997036,3540.582343401617,16383.927415595415,82.23001526146535,1,4
python-pi,220,1010.1994745723335,1010.1994745723335,0.0,0.0,0,67
python-pi,220,1010.1994745723335,1010.1994745723335,0.0,0.0,0,67
resnet50-inference,250,1836.5296486888785,1836.5296486888785,0.0,0.0,0,95
resnet50-inference,250,1836.5296486888785,1836.5296486888785,0.0,0.0,0,95
speech-inference,250,10501.502651943996,3826.1593880688492,6675.343263875149,63.56560089654823,7,29
speech-inference,250,10501.502651943996,3826.1593880688492,6675.343263875149,63.56560089654823,7,29
