bytes,duration,source,sink,action_type
20000000,0.1679730773231122,registry,rpi3_21,docker_pull
62000000,0.5141705927319102,registry,rockpi_25,docker_pull
40000000,0.6592930053570494,registry,rockpi_30,docker_pull
100000000,0.8278291749518977,registry,nx_0,docker_pull
100000000,0.8262025598142959,registry,nano_15,docker_pull
48000000,0.7980547047519959,rockpi_9,rockpi_30,data_download
103000000,1.169268263635007,rockpi_9,nx_0,data_download
191000000,2.300334311784745,registry,rockpi_30,docker_pull
58000000,1.4450332714525058,rockpi_9,nano_15,data_download
58000000,1.5752531755819268,rockpi_9,nano_15,data_download
58000000,1.5800085451169683,rockpi_9,nano_15,data_download
58000000,1.6601975410990018,rockpi_9,nano_15,data_download
100000000,0.8261170009539756,registry,nano_17,docker_pull
103000000,0.8541259930087373,rockpi_9,nano_17,data_download
20000000,0.16849575384123838,registry,rpi3_22,docker_pull
62000000,0.5144987416352684,registry,rockpi_16,docker_pull
100000000,0.8261919676222131,registry,nx_12,docker_pull
100000000,0.82801674937134,registry,nano_0,docker_pull
103000000,2.0252756608862867,rockpi_9,nano_0,data_download
58000000,1.9955423582429201,rockpi_9,nx_12,data_download
58000000,1.955479932164085,rockpi_9,nx_12,data_download
58000000,1.812069753877223,rockpi_9,nx_12,data_download
58000000,1.6998694099258085,rockpi_9,nx_12,data_download
100000000,0.8279748858739353,registry,nano_1,docker_pull
100000000,0.8278312489420916,registry,nano_2,docker_pull
103000000,1.6896168164316698,rockpi_9,nano_1,data_download
58000000,1.6382605329334297,rockpi_9,nano_2,data_download
58000000,1.6307525692671874,rockpi_9,nano_2,data_download
58000000,1.5545137590951086,rockpi_9,nano_2,data_download
58000000,1.0019324547143036,rockpi_9,nano_2,data_download
20000000,0.16781944361101253,registry,rpi3_23,docker_pull
62000000,0.514463808141052,registry,rockpi_23,docker_pull
100000000,0.8261885445966755,registry,nx_10,docker_pull
100000000,0.8261188511685766,registry,nano_12,docker_pull
58000000,1.6415466155716025,rockpi_9,nano_12,data_download
103000000,2.144933841700553,rockpi_9,nx_10,data_download
58000000,1.7796078520439202,rockpi_9,nano_12,data_download
58000000,1.5364990708104358,rockpi_9,nano_12,data_download
58000000,1.4244172525513257,rockpi_9,nano_12,data_download
100000000,0.8262015173431934,registry,nx_13,docker_pull
100000000,0.8261244695592005,registry,nx_14,docker_pull
58000000,1.225413725603481,rockpi_9,nx_14,data_download
103000000,1.6764762051121096,rockpi_9,nx_13,data_download
58000000,1.1861578893954032,rockpi_9,nx_14,data_download
58000000,0.9478657929552661,rockpi_9,nx_14,data_download
58000000,0.6746948941146513,rockpi_9,nx_14,data_download
20000000,0.1684892378361944,registry,rpi3_27,docker_pull
62000000,0.5144834125415017,registry,nx_0,docker_pull
100000000,0.8262126636172944,registry,nx_4,docker_pull
100000000,0.826422957384505,registry,nx_7,docker_pull
103000000,1.301729485490494,rockpi_9,nx_4,data_download
58000000,1.077227662757565,rockpi_9,nx_7,data_download
58000000,1.2095526759954538,rockpi_9,nx_7,data_download
58000000,1.1018725700355532,rockpi_9,nx_7,data_download
58000000,0.9017184666174742,rockpi_9,nx_7,data_download
62000000,0.5144800706600918,registry,coral_0,docker_pull
100000000,0.8262625851610395,registry,nano_7,docker_pull
100000000,0.8262623426746245,registry,nano_5,docker_pull
103000000,1.2699133318071603,rockpi_9,nano_7,data_download
58000000,0.898827165350049,rockpi_9,nano_5,data_download
58000000,0.4829213052671051,rockpi_9,nano_5,data_download
58000000,0.48300734365642484,rockpi_9,nano_5,data_download
58000000,0.4828802519074529,rockpi_9,nano_5,data_download
20000000,0.16811434269047965,registry,rpi3_3,docker_pull
33000000,0.2753493685339379,registry,rpi3_28,docker_pull
55000000,0.45669626691614695,registry,rpi3_29,docker_pull
48000000,0.4018906649964933,rockpi_9,rpi3_28,data_download
100000000,0.8276170844743902,registry,nano_3,docker_pull
100000000,0.8279973862748804,registry,nano_4,docker_pull
103000000,0.8557969417174434,rockpi_9,nano_3,data_download
58000000,0.4844616055898783,rockpi_9,nano_4,data_download
58000000,0.48432297087050813,rockpi_9,nano_4,data_download
58000000,0.4843778633677971,rockpi_9,nano_4,data_download
58000000,0.4849131545106715,rockpi_9,nano_4,data_download
62000000,0.5143040356440736,registry,rockpi_4,docker_pull
100000000,0.8262407502854856,registry,nano_8,docker_pull
100000000,0.8262375095874646,registry,nx_5,docker_pull
58000000,0.9613460239540927,rockpi_9,nx_5,data_download
103000000,1.332525134934059,rockpi_9,nano_8,data_download
58000000,0.48297390590475686,rockpi_9,nx_5,data_download
58000000,0.48295788507495274,rockpi_9,nx_5,data_download
20000000,0.1679011729188531,registry,rpi3_4,docker_pull
58000000,0.48320482123968134,rockpi_9,nx_5,data_download
100000000,0.8261675683732221,registry,nx_6,docker_pull
100000000,0.8262285478809517,registry,nano_14,docker_pull
58000000,1.0622100531974397,rockpi_9,nano_14,data_download
58000000,0.8727226381828714,rockpi_9,nano_14,data_download
103000000,1.7163361017319687,rockpi_9,nx_6,data_download
58000000,0.4828616684005169,rockpi_9,nano_14,data_download
58000000,0.48269420349897274,rockpi_9,nano_14,data_download
62000000,0.5148682311008272,registry,rockpi_11,docker_pull
100000000,0.8262506374306824,registry,nano_16,docker_pull
100000000,0.8278870849210165,registry,nx_1,docker_pull
103000000,1.0980451914015035,rockpi_9,nx_1,data_download
58000000,0.7254612562914886,rockpi_9,nano_16,data_download
58000000,0.4831491418860736,rockpi_9,nano_16,data_download
58000000,0.4829674443497751,rockpi_9,nano_16,data_download
20000000,0.1677951558700954,registry,rpi3_5,docker_pull
100000000,0.826261415804332,registry,nx_2,docker_pull
100000000,0.8263245332274991,registry,nx_3,docker_pull
58000000,0.9491991491065619,rockpi_9,nano_16,data_download
103000000,1.3275212243816767,rockpi_9,nx_2,data_download
58000000,0.4902992598052194,rockpi_9,nx_3,data_download
58000000,0.4828384214862922,rockpi_9,nx_3,data_download
62000000,0.5144454943896477,registry,coral_1,docker_pull
100000000,0.8262217056854979,registry,nx_11,docker_pull
100000000,0.8262957764882373,registry,nano_13,docker_pull
58000000,0.6496003867198397,rockpi_9,nx_3,data_download
103000000,1.2492675832408935,rockpi_9,nx_11,data_download
58000000,0.8632306322195404,rockpi_9,nx_3,data_download
58000000,0.8161296252797001,rockpi_9,nano_13,data_download
58000000,0.4828501330758428,rockpi_9,nano_13,data_download
20000000,0.16806745044701188,registry,rpi3_0,docker_pull
62000000,0.5146023745426476,registry,coral_2,docker_pull
100000000,0.8263111807245593,registry,nx_9,docker_pull
100000000,0.8262346310679902,registry,nano_9,docker_pull
58000000,0.5440104037848101,rockpi_9,nano_13,data_download
103000000,0.915406872967722,rockpi_9,nx_9,data_download
58000000,0.4829588828304452,rockpi_9,nano_13,data_download
58000000,0.48273194510127837,rockpi_9,nano_9,data_download
58000000,0.4826698238738487,rockpi_9,nano_9,data_download
40000000,0.3329147450607195,registry,coral_3,docker_pull
62000000,0.5143233483656076,registry,rockpi_33,docker_pull
48000000,0.4020163689816627,rockpi_9,coral_3,data_download
100000000,0.8263052375725977,registry,nano_10,docker_pull
100000000,0.8262138142589919,registry,nano_19,docker_pull
191000000,1.576689275064183,registry,nx_12,docker_pull
103000000,1.3769967703948964,rockpi_9,nano_10,data_download
58000000,1.1143581988590938,rockpi_9,nano_9,data_download
58000000,1.1684751513122933,rockpi_9,nano_19,data_download
58000000,0.9392094083525393,rockpi_9,nano_9,data_download
58000000,0.9386862043174773,rockpi_9,nano_19,data_download
20000000,0.16776721470931477,registry,rpi3_1,docker_pull
40000000,0.3328850903748446,registry,rockpi_33,docker_pull
62000000,0.5145508896454913,registry,rockpi_5,docker_pull
48000000,0.40210587194216885,rockpi_9,rockpi_33,data_download
100000000,0.8262036526706851,registry,nx_8,docker_pull
100000000,0.8262916935640163,registry,nano_11,docker_pull
58000000,1.4375550126684828,rockpi_9,nano_19,data_download
58000000,1.4376515313160496,rockpi_9,nano_11,data_download
103000000,1.8099066121452267,rockpi_9,nx_8,data_download
58000000,0.8309526970815853,rockpi_9,nano_19,data_download
58000000,0.8309666113222391,rockpi_9,nano_11,data_download
100000000,0.8261180402784021,registry,nano_6,docker_pull
100000000,0.8262562653797971,registry,nano_18,docker_pull
58000000,0.795878847029428,rockpi_9,nano_11,data_download
103000000,1.1667284158957898,rockpi_9,nano_6,data_download
58000000,0.875025603970812,rockpi_9,nano_11,data_download
58000000,0.8752781583517901,rockpi_9,nano_18,data_download
58000000,0.48285377536328156,rockpi_9,nano_18,data_download
20000000,0.16781386531064868,registry,rpi3_2,docker_pull
62000000,0.5145373375046205,registry,rockpi_24,docker_pull
84000000,0.6956767252170977,registry,coral_4,docker_pull
