value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_10,140360572481120
deploy,speech-inference,rockpi_30,140360572481984
deploy,resnet50-preprocessing,rockpi_30,140360572704160
deploy,resnet50-training,nano_3,140360572705120
deploy,python-pi,rockpi_8,140360572706080
deploy,fio,rpi3_3,140360572707040
startup,fio,rpi3_3,140360572707040
setup,fio,rpi3_3,140360572707040
finish,fio,rpi3_3,140360572707040
startup,python-pi,rockpi_8,140360572706080
setup,python-pi,rockpi_8,140360572706080
finish,python-pi,rockpi_8,140360572706080
startup,speech-inference,rockpi_30,140360572481984
setup,speech-inference,rockpi_30,140360572481984
startup,resnet50-inference,nx_10,140360572481120
setup,resnet50-inference,nx_10,140360572481120
startup,resnet50-training,nano_3,140360572705120
setup,resnet50-training,nano_3,140360572705120
finish,resnet50-training,nano_3,140360572705120
finish,speech-inference,rockpi_30,140360572481984
finish,resnet50-inference,nx_10,140360572481120
startup,resnet50-preprocessing,rockpi_30,140360572704160
setup,resnet50-preprocessing,rockpi_30,140360572704160
finish,resnet50-preprocessing,rockpi_30,140360572704160
deploy,resnet50-inference,nx_3,140360570538736
deploy,python-pi,rockpi_8,140360570551504
startup,python-pi,rockpi_8,140360570551504
setup,python-pi,rockpi_8,140360570551504
finish,python-pi,rockpi_8,140360570551504
deploy,fio,rpi3_3,140360570550304
startup,fio,rpi3_3,140360570550304
setup,fio,rpi3_3,140360570550304
finish,fio,rpi3_3,140360570550304
startup,resnet50-inference,nx_3,140360570538736
setup,resnet50-inference,nx_3,140360570538736
finish,resnet50-inference,nx_3,140360570538736
deploy,resnet50-inference,nano_17,140360571951600
deploy,resnet50-training,nano_15,140360569978496
deploy,python-pi,nx_10,140360568127984
deploy,fio,rpi3_4,140360568128848
startup,fio,rpi3_4,140360568128848
setup,fio,rpi3_4,140360568128848
finish,fio,rpi3_4,140360568128848
startup,python-pi,nx_10,140360568127984
setup,python-pi,nx_10,140360568127984
finish,python-pi,nx_10,140360568127984
startup,resnet50-inference,nano_17,140360571951600
setup,resnet50-inference,nano_17,140360571951600
startup,resnet50-training,nano_15,140360569978496
setup,resnet50-training,nano_15,140360569978496
finish,resnet50-training,nano_15,140360569978496
finish,resnet50-inference,nano_17,140360571951600
deploy,resnet50-inference,nano_26,140360568389984
deploy,resnet50-training,nx_13,140360567463632
deploy,python-pi,coral_1,140360567464592
deploy,fio,rpi3_4,140360567465360
startup,fio,rpi3_4,140360567465360
setup,fio,rpi3_4,140360567465360
finish,fio,rpi3_4,140360567465360
startup,python-pi,coral_1,140360567464592
setup,python-pi,coral_1,140360567464592
finish,python-pi,coral_1,140360567464592
startup,resnet50-inference,nano_26,140360568389984
setup,resnet50-inference,nano_26,140360568389984
startup,resnet50-training,nx_13,140360567463632
setup,resnet50-training,nx_13,140360567463632
finish,resnet50-training,nx_13,140360567463632
finish,resnet50-inference,nano_26,140360568389984
deploy,resnet50-inference,nano_18,140360566734752
deploy,resnet50-training,nano_19,140360566944000
deploy,python-pi,coral_3,140360566944960
deploy,fio,rpi3_5,140360566945728
startup,fio,rpi3_5,140360566945728
setup,fio,rpi3_5,140360566945728
finish,fio,rpi3_5,140360566945728
startup,python-pi,coral_3,140360566944960
setup,python-pi,coral_3,140360566944960
finish,python-pi,coral_3,140360566944960
startup,resnet50-inference,nano_18,140360566734752
setup,resnet50-inference,nano_18,140360566734752
startup,resnet50-training,nano_19,140360566944000
setup,resnet50-training,nano_19,140360566944000
finish,resnet50-training,nano_19,140360566944000
finish,resnet50-inference,nano_18,140360566734752
deploy,resnet50-inference,nx_4,140360564355472
deploy,resnet50-training,nano_9,140360564515376
deploy,python-pi,rockpi_13,140360564516336
deploy,fio,rpi3_5,140360564517152
startup,fio,rpi3_5,140360564517152
setup,fio,rpi3_5,140360564517152
finish,fio,rpi3_5,140360564517152
startup,python-pi,rockpi_13,140360564516336
setup,python-pi,rockpi_13,140360564516336
finish,python-pi,rockpi_13,140360564516336
startup,resnet50-inference,nx_4,140360564355472
setup,resnet50-inference,nx_4,140360564355472
startup,resnet50-training,nano_9,140360564515376
setup,resnet50-training,nano_9,140360564515376
finish,resnet50-training,nano_9,140360564515376
finish,resnet50-inference,nx_4,140360564355472
deploy,resnet50-inference,nano_12,140360561960528
deploy,speech-inference,rockpi_13,140360562120192
deploy,resnet50-preprocessing,nx_3,140360562121056
deploy,resnet50-training,nano_21,140360562121968
deploy,python-pi,rockpi_12,140360562122736
deploy,fio,rpi3_21,140360562123504
startup,fio,rpi3_21,140360562123504
setup,fio,rpi3_21,140360562123504
finish,fio,rpi3_21,140360562123504
startup,speech-inference,rockpi_13,140360562120192
setup,speech-inference,rockpi_13,140360562120192
startup,python-pi,rockpi_12,140360562122736
setup,python-pi,rockpi_12,140360562122736
finish,python-pi,rockpi_12,140360562122736
finish,speech-inference,rockpi_13,140360562120192
startup,resnet50-inference,nano_12,140360561960528
setup,resnet50-inference,nano_12,140360561960528
startup,resnet50-training,nano_21,140360562121968
setup,resnet50-training,nano_21,140360562121968
finish,resnet50-training,nano_21,140360562121968
startup,resnet50-preprocessing,nx_3,140360562121056
setup,resnet50-preprocessing,nx_3,140360562121056
finish,resnet50-preprocessing,nx_3,140360562121056
finish,resnet50-inference,nano_12,140360561960528
deploy,resnet50-inference,nx_7,140360561766704
deploy,speech-inference,rockpi_12,140360559796448
deploy,resnet50-preprocessing,rockpi_5,140360559797360
deploy,resnet50-training,nano_20,140360559798272
deploy,python-pi,rockpi_5,140360559799040
deploy,fio,rpi3_21,140360559799808
startup,fio,rpi3_21,140360559799808
setup,fio,rpi3_21,140360559799808
finish,fio,rpi3_21,140360559799808
startup,speech-inference,rockpi_12,140360559796448
setup,speech-inference,rockpi_12,140360559796448
finish,speech-inference,rockpi_12,140360559796448
startup,resnet50-inference,nx_7,140360561766704
setup,resnet50-inference,nx_7,140360561766704
startup,resnet50-training,nano_20,140360559798272
setup,resnet50-training,nano_20,140360559798272
finish,resnet50-training,nano_20,140360559798272
startup,python-pi,rockpi_5,140360559799040
setup,python-pi,rockpi_5,140360559799040
finish,python-pi,rockpi_5,140360559799040
startup,resnet50-preprocessing,rockpi_5,140360559797360
setup,resnet50-preprocessing,rockpi_5,140360559797360
finish,resnet50-preprocessing,rockpi_5,140360559797360
finish,resnet50-inference,nx_7,140360561766704
deploy,resnet50-inference,nx_11,140360559473328
deploy,speech-inference,rockpi_21,140360559633424
deploy,resnet50-preprocessing,rockpi_21,140360559635632
deploy,resnet50-training,nano_22,140360559634144
deploy,python-pi,rockpi_19,140360559634720
deploy,fio,rpi3_22,140360559636400
startup,fio,rpi3_22,140360559636400
setup,fio,rpi3_22,140360559636400
finish,fio,rpi3_22,140360559636400
startup,python-pi,rockpi_19,140360559634720
setup,python-pi,rockpi_19,140360559634720
finish,python-pi,rockpi_19,140360559634720
startup,speech-inference,rockpi_21,140360559633424
setup,speech-inference,rockpi_21,140360559633424
startup,resnet50-inference,nx_11,140360559473328
setup,resnet50-inference,nx_11,140360559473328
startup,resnet50-training,nano_22,140360559634144
setup,resnet50-training,nano_22,140360559634144
finish,resnet50-training,nano_22,140360559634144
finish,speech-inference,rockpi_21,140360559633424
startup,resnet50-preprocessing,rockpi_21,140360559635632
setup,resnet50-preprocessing,rockpi_21,140360559635632
finish,resnet50-preprocessing,rockpi_21,140360559635632
finish,resnet50-inference,nx_11,140360559473328
deploy,resnet50-inference,nano_10,140360557218976
deploy,speech-inference,rockpi_19,140360557230112
deploy,resnet50-preprocessing,nx_13,140360557230208
deploy,resnet50-training,nano_11,140360557231792
deploy,python-pi,rockpi_16,140360557429328
deploy,fio,rpi3_22,140360557430240
startup,fio,rpi3_22,140360557430240
setup,fio,rpi3_22,140360557430240
finish,fio,rpi3_22,140360557430240
startup,speech-inference,rockpi_19,140360557230112
setup,speech-inference,rockpi_19,140360557230112
startup,python-pi,rockpi_16,140360557429328
setup,python-pi,rockpi_16,140360557429328
finish,python-pi,rockpi_16,140360557429328
finish,speech-inference,rockpi_19,140360557230112
startup,resnet50-inference,nano_10,140360557218976
setup,resnet50-inference,nano_10,140360557218976
startup,resnet50-training,nano_11,140360557231792
setup,resnet50-training,nano_11,140360557231792
finish,resnet50-training,nano_11,140360557231792
startup,resnet50-preprocessing,nx_13,140360557230208
setup,resnet50-preprocessing,nx_13,140360557230208
finish,resnet50-preprocessing,nx_13,140360557230208
finish,resnet50-inference,nano_10,140360557218976
deploy,resnet50-inference,nano_28,140360554965376
deploy,speech-inference,rockpi_16,140360555125088
deploy,resnet50-preprocessing,rockpi_14,140360555125952
deploy,resnet50-training,nano_0,140360555126864
deploy,python-pi,rockpi_14,140360555127632
deploy,fio,rpi3_23,140360555128400
startup,fio,rpi3_23,140360555128400
setup,fio,rpi3_23,140360555128400
finish,fio,rpi3_23,140360555128400
startup,speech-inference,rockpi_16,140360555125088
setup,speech-inference,rockpi_16,140360555125088
finish,speech-inference,rockpi_16,140360555125088
startup,resnet50-inference,nano_28,140360554965376
setup,resnet50-inference,nano_28,140360554965376
startup,resnet50-training,nano_0,140360555126864
setup,resnet50-training,nano_0,140360555126864
finish,resnet50-training,nano_0,140360555126864
startup,python-pi,rockpi_14,140360555127632
setup,python-pi,rockpi_14,140360555127632
finish,python-pi,rockpi_14,140360555127632
startup,resnet50-preprocessing,rockpi_14,140360555125952
setup,resnet50-preprocessing,rockpi_14,140360555125952
finish,resnet50-preprocessing,rockpi_14,140360555125952
finish,resnet50-inference,nano_28,140360554965376
deploy,resnet50-inference,nano_1,140360555983632
deploy,speech-inference,nx_4,140360552716640
deploy,resnet50-preprocessing,rockpi_10,140360552717504
deploy,resnet50-training,nano_2,140360552718416
deploy,python-pi,rockpi_10,140360552719184
deploy,fio,rpi3_23,140360552719952
startup,fio,rpi3_23,140360552719952
setup,fio,rpi3_23,140360552719952
finish,fio,rpi3_23,140360552719952
startup,speech-inference,nx_4,140360552716640
setup,speech-inference,nx_4,140360552716640
finish,speech-inference,nx_4,140360552716640
startup,resnet50-inference,nano_1,140360555983632
setup,resnet50-inference,nano_1,140360555983632
startup,resnet50-training,nano_2,140360552718416
setup,resnet50-training,nano_2,140360552718416
finish,resnet50-training,nano_2,140360552718416
startup,python-pi,rockpi_10,140360552719184
setup,python-pi,rockpi_10,140360552719184
finish,python-pi,rockpi_10,140360552719184
finish,resnet50-inference,nano_1,140360555983632
startup,resnet50-preprocessing,rockpi_10,140360552717504
setup,resnet50-preprocessing,rockpi_10,140360552717504
finish,resnet50-preprocessing,rockpi_10,140360552717504
deploy,resnet50-inference,nano_5,140360550387952
deploy,speech-inference,nx_7,140360550629728
deploy,resnet50-preprocessing,rockpi_0,140360550630592
deploy,resnet50-training,nx_5,140360550631504
deploy,python-pi,rockpi_0,140360550632320
deploy,fio,rpi3_27,140360550633088
startup,fio,rpi3_27,140360550633088
setup,fio,rpi3_27,140360550633088
finish,fio,rpi3_27,140360550633088
startup,speech-inference,nx_7,140360550629728
setup,speech-inference,nx_7,140360550629728
startup,resnet50-inference,nano_5,140360550387952
setup,resnet50-inference,nano_5,140360550387952
startup,resnet50-training,nx_5,140360550631504
setup,resnet50-training,nx_5,140360550631504
finish,resnet50-training,nx_5,140360550631504
startup,python-pi,rockpi_0,140360550632320
setup,python-pi,rockpi_0,140360550632320
finish,python-pi,rockpi_0,140360550632320
finish,speech-inference,nx_7,140360550629728
finish,resnet50-inference,nano_5,140360550387952
startup,resnet50-preprocessing,rockpi_0,140360550630592
setup,resnet50-preprocessing,rockpi_0,140360550630592
finish,resnet50-preprocessing,rockpi_0,140360550630592
deploy,resnet50-inference,nx_12,140360550101248
deploy,speech-inference,rockpi_28,140360548245776
