value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140360572481120,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140360572481984,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140360572481120,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140360572481120,nx_10,True
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140360572704160,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140360572705120,,
queue,python-pi,faas-workloads/python-pi,140360572706080,,
queue,fio,faas-workloads/fio,140360572707040,,
start,speech-inference,faas-workloads/speech-inference-tflite,140360572481984,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140360572481984,rockpi_30,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140360572704160,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140360572704160,rockpi_30,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140360572705120,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140360572705120,nano_3,True
start,python-pi,faas-workloads/python-pi,140360572706080,,
finish,python-pi,faas-workloads/python-pi,140360572706080,rockpi_8,True
start,fio,faas-workloads/fio,140360572707040,,
finish,fio,faas-workloads/fio,140360572707040,rpi3_3,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140360570538736,,
queue,python-pi,faas-workloads/python-pi,140360570551504,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140360570538736,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140360570538736,nx_3,True
queue,fio,faas-workloads/fio,140360570550304,,
start,python-pi,faas-workloads/python-pi,140360570551504,,
finish,python-pi,faas-workloads/python-pi,140360570551504,rockpi_8,True
start,fio,faas-workloads/fio,140360570550304,,
finish,fio,faas-workloads/fio,140360570550304,rpi3_3,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140360571951600,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140360569978496,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140360571951600,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140360571951600,nano_17,True
queue,python-pi,faas-workloads/python-pi,140360568127984,,
queue,fio,faas-workloads/fio,140360568128848,,
start,resnet50-training,faas-workloads/resnet-training-gpu,140360569978496,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140360569978496,nano_15,True
start,python-pi,faas-workloads/python-pi,140360568127984,,
finish,python-pi,faas-workloads/python-pi,140360568127984,nx_10,True
start,fio,faas-workloads/fio,140360568128848,,
finish,fio,faas-workloads/fio,140360568128848,rpi3_4,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140360568389984,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140360567463632,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140360568389984,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140360568389984,nano_26,True
queue,python-pi,faas-workloads/python-pi,140360567464592,,
queue,fio,faas-workloads/fio,140360567465360,,
start,resnet50-training,faas-workloads/resnet-training-gpu,140360567463632,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140360567463632,nx_13,True
start,python-pi,faas-workloads/python-pi,140360567464592,,
finish,python-pi,faas-workloads/python-pi,140360567464592,coral_1,True
start,fio,faas-workloads/fio,140360567465360,,
finish,fio,faas-workloads/fio,140360567465360,rpi3_4,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140360566734752,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140360566944000,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140360566734752,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140360566734752,nano_18,True
queue,python-pi,faas-workloads/python-pi,140360566944960,,
queue,fio,faas-workloads/fio,140360566945728,,
start,resnet50-training,faas-workloads/resnet-training-gpu,140360566944000,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140360566944000,nano_19,True
start,python-pi,faas-workloads/python-pi,140360566944960,,
finish,python-pi,faas-workloads/python-pi,140360566944960,coral_3,True
