deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,5,645.326752725393,379.58887028480694,265.737882440586,41.17881078357616,18,22
python-pi,5,1263.8826410324218,914.566203908963,349.31643712345897,27.638360222917097,4,8
python-pi,5,1263.8826410324218,914.566203908963,349.31643712345897,27.638360222917097,4,8
resnet50-inference,10,645.326752725393,379.58887028480694,265.737882440586,41.17881078357616,18,22
resnet50-inference,10,645.326752725393,379.58887028480694,265.737882440586,41.17881078357616,18,22
python-pi,10,1263.8826410324218,914.566203908963,349.31643712345897,27.638360222917097,4,8
python-pi,10,1263.8826410324218,914.566203908963,349.31643712345897,27.638360222917097,4,8
resnet50-inference,40,1456.4077018064706,537.3772817263367,919.0304200801337,63.102551499844765,115,289
resnet50-inference,40,1456.4077018064706,537.3772817263367,919.0304200801337,63.102551499844765,115,289
speech-inference,40,24712.12441986265,3830.068747455345,20882.0556724073,84.50125662050776,6,6
speech-inference,40,24712.12441986265,3830.068747455345,20882.0556724073,84.50125662050776,6,6
python-pi,40,9826.841606993394,1095.979903578735,8730.861703414657,88.84707877250439,204,238
python-pi,40,9826.841606993394,1095.979903578735,8730.861703414657,88.84707877250439,204,238
resnet50-inference,45,772.7431908305384,556.3969099727188,216.34628085781947,27.997177254359517,30,129
resnet50-inference,45,772.7431908305384,556.3969099727188,216.34628085781947,27.997177254359517,30,129
python-pi,45,9896.953439867375,1098.6777593913307,8798.275680476041,88.89882865402208,95,110
python-pi,45,9896.953439867375,1098.6777593913307,8798.275680476041,88.89882865402208,95,110
resnet50-inference,75,627.3539262805513,627.3539262805513,0.0,0.0,0,236
resnet50-inference,75,627.3539262805513,627.3539262805513,0.0,0.0,0,236
speech-inference,75,31641.947108769193,3804.1314346447393,27837.815674124457,87.97756844239693,11,11
speech-inference,75,31641.947108769193,3804.1314346447393,27837.815674124457,87.97756844239693,11,11
resnet50-preprocessing,75,60961.53531269395,7613.725193871289,53347.810118822665,87.51060786967108,1,1
resnet50-preprocessing,75,60961.53531269395,7613.725193871289,53347.810118822665,87.51060786967108,1,1
python-pi,75,10329.499687085205,1058.4539464402772,9271.045740644928,89.75309571127008,166,333
python-pi,75,10329.499687085205,1058.4539464402772,9271.045740644928,89.75309571127008,166,333
resnet50-inference,80,616.154951934628,616.154951934628,0.0,0.0,0,107
resnet50-inference,80,616.154951934628,616.154951934628,0.0,0.0,0,107
speech-inference,80,21468.944397544157,3898.987737877036,17569.95665966712,81.83894063127275,1,1
speech-inference,80,21468.944397544157,3898.987737877036,17569.95665966712,81.83894063127275,1,1
python-pi,80,10174.577568888324,1044.6176533417245,9129.959915546598,89.73306118834905,70,148
python-pi,80,10174.577568888324,1044.6176533417245,9129.959915546598,89.73306118834905,70,148
resnet50-inference,110,625.9139460336854,625.9139460336854,0.0,0.0,0,112
resnet50-inference,110,625.9139460336854,625.9139460336854,0.0,0.0,0,112
speech-inference,110,36379.677894783425,3551.8062634249063,32827.87163135853,90.23683971667545,12,21
speech-inference,110,36379.677894783425,3551.8062634249063,32827.87163135853,90.23683971667545,12,21
resnet50-preprocessing,110,39089.95992431416,7578.7238815923365,31511.236042721815,80.61209605672086,5,5
resnet50-preprocessing,110,39089.95992431416,7578.7238815923365,31511.236042721815,80.61209605672086,5,5
python-pi,110,9186.98385357337,1175.0903094242385,8011.893544149132,87.20918281610808,71,184
python-pi,110,9186.98385357337,1175.0903094242385,8011.893544149132,87.20918281610808,71,184
resnet50-inference,115,621.8229973143691,621.8229973143691,0.0,0.0,0,47
resnet50-inference,115,621.8229973143691,621.8229973143691,0.0,0.0,0,47
speech-inference,115,55540.85080646772,3484.586884688246,52056.263921779486,93.72608299280417,2,3
speech-inference,115,55540.85080646772,3484.586884688246,52056.263921779486,93.72608299280417,2,3
