value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_10,139668512041392
deploy,speech-inference,rockpi_30,139668512042256
deploy,resnet50-preprocessing,rockpi_30,139668512280912
deploy,resnet50-training,nano_3,139668512281872
deploy,python-pi,rockpi_8,139668512282832
deploy,fio,rpi3_3,139668512283792
startup,fio,rpi3_3,139668512283792
setup,fio,rpi3_3,139668512283792
finish,fio,rpi3_3,139668512283792
startup,python-pi,rockpi_8,139668512282832
setup,python-pi,rockpi_8,139668512282832
finish,python-pi,rockpi_8,139668512282832
startup,speech-inference,rockpi_30,139668512042256
setup,speech-inference,rockpi_30,139668512042256
startup,resnet50-inference,nx_10,139668512041392
setup,resnet50-inference,nx_10,139668512041392
startup,resnet50-training,nano_3,139668512281872
setup,resnet50-training,nano_3,139668512281872
finish,resnet50-training,nano_3,139668512281872
finish,speech-inference,rockpi_30,139668512042256
finish,resnet50-inference,nx_10,139668512041392
startup,resnet50-preprocessing,rockpi_30,139668512280912
setup,resnet50-preprocessing,rockpi_30,139668512280912
finish,resnet50-preprocessing,rockpi_30,139668512280912
deploy,python-pi,rockpi_8,139668510146720
startup,python-pi,rockpi_8,139668510146720
setup,python-pi,rockpi_8,139668510146720
finish,python-pi,rockpi_8,139668510146720
deploy,fio,rpi3_3,139668510159824
startup,fio,rpi3_3,139668510159824
setup,fio,rpi3_3,139668510159824
finish,fio,rpi3_3,139668510159824
deploy,resnet50-inference,nx_3,139668510615936
deploy,resnet50-training,nano_17,139668509583216
deploy,python-pi,nx_10,139668509583888
deploy,fio,rpi3_4,139668509584512
startup,fio,rpi3_4,139668509584512
setup,fio,rpi3_4,139668509584512
finish,fio,rpi3_4,139668509584512
startup,python-pi,nx_10,139668509583888
setup,python-pi,nx_10,139668509583888
finish,python-pi,nx_10,139668509583888
startup,resnet50-inference,nx_3,139668510615936
setup,resnet50-inference,nx_3,139668510615936
startup,resnet50-training,nano_17,139668509583216
setup,resnet50-training,nano_17,139668509583216
finish,resnet50-training,nano_17,139668509583216
finish,resnet50-inference,nx_3,139668510615936
deploy,resnet50-inference,nano_15,139668509252656
deploy,resnet50-training,nano_26,139668507009152
deploy,python-pi,coral_1,139668507010112
deploy,fio,rpi3_4,139668507010880
startup,fio,rpi3_4,139668507010880
setup,fio,rpi3_4,139668507010880
