value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512041392,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139668512042256,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512041392,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512041392,nx_10,True
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139668512280912,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,139668512281872,,
queue,python-pi,faas-workloads/python-pi,139668512282832,,
queue,fio,faas-workloads/fio,139668512283792,,
start,speech-inference,faas-workloads/speech-inference-tflite,139668512042256,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139668512042256,rockpi_30,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139668512280912,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139668512280912,rockpi_30,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139668512281872,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139668512281872,nano_3,True
start,python-pi,faas-workloads/python-pi,139668512282832,,
finish,python-pi,faas-workloads/python-pi,139668512282832,rockpi_8,True
start,fio,faas-workloads/fio,139668512283792,,
finish,fio,faas-workloads/fio,139668512283792,rpi3_3,True
queue,python-pi,faas-workloads/python-pi,139668510146720,,
queue,fio,faas-workloads/fio,139668510159824,,
start,python-pi,faas-workloads/python-pi,139668510146720,,
finish,python-pi,faas-workloads/python-pi,139668510146720,rockpi_8,True
start,fio,faas-workloads/fio,139668510159824,,
finish,fio,faas-workloads/fio,139668510159824,rpi3_3,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139668510615936,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,139668509583216,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139668510615936,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139668510615936,nx_3,True
queue,python-pi,faas-workloads/python-pi,139668509583888,,
queue,fio,faas-workloads/fio,139668509584512,,
start,resnet50-training,faas-workloads/resnet-training-gpu,139668509583216,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139668509583216,nano_17,True
start,python-pi,faas-workloads/python-pi,139668509583888,,
finish,python-pi,faas-workloads/python-pi,139668509583888,nx_10,True
start,fio,faas-workloads/fio,139668509584512,,
finish,fio,faas-workloads/fio,139668509584512,rpi3_4,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139668509252656,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,139668507009152,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139668509252656,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139668509252656,nano_15,True
queue,python-pi,faas-workloads/python-pi,139668507010112,,
queue,fio,faas-workloads/fio,139668507010880,,
start,resnet50-training,faas-workloads/resnet-training-gpu,139668507009152,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139668507009152,nano_26,True
start,python-pi,faas-workloads/python-pi,139668507010112,,
finish,python-pi,faas-workloads/python-pi,139668507010112,coral_1,True
start,fio,faas-workloads/fio,139668507010880,,
finish,fio,faas-workloads/fio,139668507010880,rpi3_4,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139668506394528,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,139668506505664,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139668506394528,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139668506394528,nx_13,True
queue,python-pi,faas-workloads/python-pi,139668506506720,,
queue,fio,faas-workloads/fio,139668506507488,,
start,resnet50-training,faas-workloads/resnet-training-gpu,139668506505664,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139668506505664,nano_18,True
start,python-pi,faas-workloads/python-pi,139668506506720,,
finish,python-pi,faas-workloads/python-pi,139668506506720,coral_3,True
