value,name,function_id
deploy,resnet50-inference,139792967289392
deploy,resnet50-inference-downtown,139792967290448
deploy,resnet50-inference-suburb,139792967291648
deploy,resnet50-inference-industrial,139792967292848
deploy,resnet50-inference-residential,139792967294048
deploy,speech-inference,139792967295248
deploy,speech-inference-downtown,139792967296448
deploy,speech-inference-suburb,139792967297648
deploy,speech-inference-industrial,139792967298848
deploy,resnet50-preprocessing,139792967300048
deploy,resnet50-preprocessing-downtown,139792967300864
deploy,resnet50-preprocessing-suburb,139792967301680
deploy,resnet50-preprocessing-industrial,139792967302496
deploy,resnet50-training,139792967368912
deploy,resnet50-training-downtown,139792967370112
